sample_id,task,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,mean_exact_kl_reduction
gov_report:30,gov_report,0.6407746502522021,0.5921846136921664,0.0485900365600358
gov_report:31,gov_report,0.3225210127914278,0.3099884713016839,0.01253254148974392
gov_report:32,gov_report,0.7020894412110389,0.6486902738677524,0.053399167343286535
gov_report:33,gov_report,0.170789217629325,0.14305756804266037,0.02773164958666463
gov_report:34,gov_report,0.1555653032431934,0.15222822376303688,0.0033370794801565185
gov_report:35,gov_report,1.1771123305010842,1.0390026442120377,0.13810968628904652
synthetic_niah_30,niah_single_1,0.026364674157542584,0.02360341929337177,0.002761254864170816
synthetic_niah_31,niah_single_1,0.009292272414389421,0.015757131228574178,-0.0064648588141847565
synthetic_niah_32,niah_single_1,0.33378962566272224,0.334175634120322,-0.0003860084575997291
synthetic_niah_33,niah_single_1,0.1749460997965706,0.17306354913591715,0.0018825506606534592
synthetic_niah_34,niah_single_1,0.011602298789452922,0.012469823864139565,-0.0008675250746866432
synthetic_niah_35,niah_single_1,0.5670558408058041,0.5139161551506094,0.05313968565519467
