sample_id,task,anchor,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,mean_exact_kl_reduction,primary_wins
gov_report:30,gov_report,16,1.3913109926249447,1.3745176582299337,0.016793334395011073,True
gov_report:30,gov_report,32,0.3438486399968852,0.2011845494502964,0.1426640905465888,True
gov_report:30,gov_report,48,0.1871643181347764,0.20085163339626888,-0.013687315261492472,False
gov_report:31,gov_report,16,0.03370224233838215,0.035248849309482466,-0.0015466069711003172,False
gov_report:31,gov_report,32,0.0649469032456409,0.07271528179046527,-0.0077683785448243725,False
gov_report:31,gov_report,48,0.8689138927902604,0.822001282805104,0.04691260998515645,True
gov_report:32,gov_report,16,0.10339977435069159,0.09663692841422744,0.006762845936464146,True
gov_report:32,gov_report,32,0.5188780074666965,0.5241509044175245,-0.005272896950827999,False
gov_report:32,gov_report,48,1.4839905418157286,1.3252829887715052,0.15870755304422346,True
gov_report:33,gov_report,16,0.09754041407603609,0.09308032334135419,0.0044600907346818985,True
gov_report:33,gov_report,32,0.2575484023900607,0.17532141081438724,0.08222699157567348,True
gov_report:33,gov_report,48,0.15727883642187823,0.16077096997223972,-0.003492133550361487,False
gov_report:34,gov_report,16,0.2628571624682081,0.2372163218260539,0.025640840642154217,True
gov_report:34,gov_report,32,0.07653349636051132,0.0892672904195706,-0.012733794059059278,False
gov_report:34,gov_report,48,0.12730525090086076,0.1302010590434861,-0.0028958081426253557,False
gov_report:35,gov_report,16,2.5873626403914898,2.1249944210792933,0.4623682193121965,True
gov_report:35,gov_report,32,0.7412934732537906,0.7881148299147753,-0.04682135666098475,False
gov_report:35,gov_report,48,0.20268087785797206,0.20389868164204472,-0.0012178037840726574,False
synthetic_niah_30,niah_single_1,16,0.025013343541260724,0.011824284367261129,0.013189059173999595,True
synthetic_niah_30,niah_single_1,32,0.04456297635090323,0.05330377397740449,-0.008740797626501262,False
synthetic_niah_30,niah_single_1,48,0.009517702580463805,0.0056821995354496835,0.0038355030450141214,True
synthetic_niah_31,niah_single_1,16,0.01248967857232941,0.013024058034748265,-0.0005343794624188547,False
synthetic_niah_31,niah_single_1,32,0.006260571443625906,0.02440117699970301,-0.018140605556077105,False
synthetic_niah_31,niah_single_1,48,0.009126567227212945,0.009846158651271253,-0.0007195914240583079,False
synthetic_niah_32,niah_single_1,16,0.03622955865711219,0.034738405854017884,0.0014911528030943089,True
synthetic_niah_32,niah_single_1,32,0.017657085830478536,0.02175413558643413,-0.004097049755955595,False
synthetic_niah_32,niah_single_1,48,0.9474822325005761,0.946034360920514,0.001447871580062099,True
synthetic_niah_33,niah_single_1,16,0.01016002218139711,0.01016002218139711,0.0,False
synthetic_niah_33,niah_single_1,32,0.48897633812887875,0.48045670327584844,0.008519634853030311,True
synthetic_niah_33,niah_single_1,48,0.025701939079435965,0.0285739219505059,-0.0028719828710699336,False
synthetic_niah_34,niah_single_1,16,0.008163726923008596,0.008118115878168908,4.5611044839688475e-05,True
synthetic_niah_34,niah_single_1,32,0.019473052156143922,0.021553790163594044,-0.0020807380074501225,False
synthetic_niah_34,niah_single_1,48,0.007170117289206246,0.007737565550655745,-0.0005674482614494991,False
synthetic_niah_35,niah_single_1,16,0.009104632612169539,0.009062646469882196,4.198614228734243e-05,True
synthetic_niah_35,niah_single_1,32,1.6771364098804042,1.5170361810680788,0.16010022881232544,True
synthetic_niah_35,niah_single_1,48,0.014926479924838532,0.01564963791386731,-0.0007231579890287776,False
