task,sequences,mean_exact_kl_reduction,median_exact_kl_reduction,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,sequence_wins,sequence_win_rate,two_sided_sign_test_p
all,12,0.02781377163187348,0.00793481048495022,0.00859154895234699,0.052775643294145434,9,0.75,0.14599609375
gov_report,6,0.047283360124822316,0.038160843073350215,0.017279099476694107,0.08719858756395922,6,1.0,0.03125
niah_single_1,6,0.008344183138924635,0.000748271101526865,-0.0026030493320694393,0.02682112971624474,3,0.5,1.0
