split,task,method,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
calibration,all,block_rms_action,32,42,0.95,360,8,0.32481806449214845,0.6037338969404188,0.12222222222222222,0.2963050278738835,0.00043478260869561636,0.0008454106280193252,-0.005555555555555556,-0.00795393135105982
calibration,all,block_rms_action,32,31415,0.95,360,8,0.3698228392060766,0.6067632850241546,0.13333333333333333,0.31131022462455415,0.0,0.00030193236714975904,0.0,-0.0016336209554982909
calibration,all,block_rms_action,32,271828,0.95,360,8,0.3733014782708045,0.6111815619967793,0.125,0.2894745028035656,0.0,0.00018115942028985648,0.0,0.0011042908323661042
calibration,all,block_rms_action,64,42,0.95,360,8,0.3454721766554003,0.6069243156199677,0.13333333333333333,0.29296597791536344,0.0,0.0004931561996779377,0.008333333333333333,0.0037126083645769117
calibration,all,block_rms_action,64,31415,0.95,360,8,0.3834782608695652,0.6130736714975845,0.125,0.30701963322494336,-0.001739130434782632,-0.0009158615136875952,-0.002777777777777778,-6.891427104764899e-06
calibration,all,block_rms_action,64,271828,0.95,360,8,0.38999999999999996,0.6140700483091788,0.125,0.2952904766711452,0.0,-4.025764895330223e-05,-0.002777777777777778,-0.002694416483003554
calibration,all,block_rms_action,128,42,0.95,360,8,0.3646046915114035,0.6118055555555556,0.1361111111111111,0.2946635184663859,0.0,0.0006239935587761693,0.002777777777777778,-0.00268864604654106
calibration,all,block_rms_action,128,31415,0.95,360,8,0.38347826086956516,0.6135768921095008,0.12777777777777777,0.2940941620203304,0.0,0.0003723832528180358,0.0,0.004755069235826998
calibration,all,block_rms_action,128,271828,0.95,360,8,0.3960869565217391,0.6163848631239935,0.1361111111111111,0.2927067940991038,0.0,0.0002717391304347858,-0.005555555555555556,0.002421854911344986
calibration,all,block_rms_ema,32,42,0.95,360,8,0.3278260869565217,0.6015197262479871,0.12777777777777777,0.29348327691808623,0.0,-0.001368760064412238,0.0,-0.005132180395262562
calibration,all,block_rms_ema,32,31415,0.95,360,8,0.36851858592878034,0.6035628019323672,0.11388888888888889,0.31605402707351177,-0.003913421673423512,-0.0028985507246376803,-0.019444444444444445,-0.006377423404455914
calibration,all,block_rms_ema,32,271828,0.95,360,8,0.3652968122884995,0.608202495974235,0.1111111111111111,0.29223403186494795,-0.0008695652173913021,-0.0027979066022544327,-0.013888888888888888,-0.001655238229016269
calibration,all,block_rms_ema,64,42,0.95,360,8,0.3298181117665438,0.6051328502415458,0.1388888888888889,0.2864150696799356,0.0,-0.0012983091787439596,0.013888888888888888,0.010263516600004827
calibration,all,block_rms_ema,64,31415,0.95,360,8,0.37652173913043474,0.6135265700483092,0.11944444444444445,0.30136542460634974,0.0,-0.00046296296296295946,-0.008333333333333333,0.0056473171914888445
calibration,all,block_rms_ema,64,271828,0.95,360,8,0.38895535406207976,0.6121678743961353,0.12777777777777777,0.2866366413503379,-0.002608979298545866,-0.0019424315619967825,0.0,0.005959418837803754
calibration,all,block_rms_ema,128,42,0.95,360,8,0.3589521394031975,0.610768921095008,0.14444444444444443,0.27307789695783224,0.0,-0.0004126409017713353,0.011111111111111112,0.018896975462012557
calibration,all,block_rms_ema,128,31415,0.95,360,8,0.37478260869565216,0.6137479871175523,0.13055555555555556,0.2962778431291044,0.0,0.0005434782608695647,0.002777777777777778,0.0025713881270530226
calibration,all,block_rms_ema,128,271828,0.95,360,8,0.3817391304347826,0.6143719806763285,0.12777777777777777,0.28807923294573046,-0.00043478260869561636,-0.0017411433172302728,-0.013888888888888888,0.007049416064718273
calibration,all,block_rms_innovation,32,42,0.95,360,8,0.32347826086956516,0.5991445249597424,0.1361111111111111,0.29871300448998306,-0.0021741021410596056,-0.003743961352657003,0.008333333333333333,-0.01036190796715941
calibration,all,block_rms_innovation,32,31415,0.95,360,8,0.31739130434782603,0.5985909822866345,0.1361111111111111,0.3211634524222556,-0.008260869565217401,-0.007870370370370373,0.002777777777777778,-0.01148684875319976
calibration,all,block_rms_innovation,32,271828,0.95,360,8,0.3756521739130434,0.6077898550724637,0.1111111111111111,0.31121828120438166,-0.00521739130434784,-0.003210547504025769,-0.013888888888888888,-0.0206394875684499
calibration,all,block_rms_innovation,64,42,0.95,360,8,0.33608695652173914,0.6052737520128825,0.12777777777777777,0.3025101661363567,-0.002608979298545866,-0.0011574074074074084,0.002777777777777778,-0.005831579856416244
