sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,exact_top_index,fresh_top_index,reused_top_index,top1_stale,exact_optimum_stale,harmful_stale,reuse_normalized_regret,fresh_normalized_regret,refresh_benefit,fresh_reused_spearman,fresh_exact_spearman,reused_exact_spearman,fresh_pairwise_accuracy,reused_pairwise_accuracy,pairwise_degradation,fresh_margin,reused_margin,retained_overlap,core_turnover,token_age_mean,token_age_std,recent_window_exits,retained_attention_mass,cache_occupancy,selector_score_drift,selected_core_score_margin,compressed_residual_norm_drift,compressed_sketch_l2,query_norm_drift,key_query_alignment_mean,key_query_alignment_std,attention_entropy,attention_concentration,sink_attention_mass,recent_attention_mass,core_attention_mass,layer_attention_summary_drift,action_norm_median,action_norm_spread,action_to_compressed_state_ratio,action_only_margin,cheap_rank_disagreement,top_reused_one_midpoint_shift,harmful_stale_eps_0p01,harmful_stale_eps_0p02,harmful_stale_eps_0p05,harmful_stale_eps_0p1,controlled_physical_spearman,scalar_physical_spearman,action_only_physical_spearman,fresh_physical_normalized_regret,action_only_physical_normalized_regret
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,32,0,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.1651599309234155e-06,4.1651599309234155e-06,1.0,0.0,739.25,418.57130515600323,0.0,0.9999999999999997,1.0,0.0,0.36947780415698883,0.0,0.0,0.0,0.13176970838579458,0.18898721582431138,2.1450004313299993,0.5049450289627606,0.0005387222414605982,0.993768704380116,0.005692573378423445,0.0,1.203044968579,0.572008002140634,0.06052899325962333,2.1771136154350342e-06,1.7677669529663689,0.0,False,False,False,False,-0.7142857142857144,-0.7142857142857144,-0.7142857142857144,1.0,1.0
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,33,1,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.299197224640294e-06,6.299197224640294e-06,0.9844961240310077,0.0,740.0,419.00357993697384,0.03125,0.6176219639604857,1.0,0.7935594834070901,0.06675742196109946,0.17227212217994683,26.070289526265483,1.2091761176754183,0.1663694097264796,0.3015102190382015,2.021163870561064,0.3823780360395143,0.0008351097401667195,0.9935475238445033,0.005617366415329936,0.7935594834070901,0.9493865502925918,0.33496454791398,0.04074705516367643,5.81439827557801e-06,1.0805535653010916,0.0,False,False,False,False,-0.28571428571428575,-0.28571428571428575,-0.523809523809524,1.0,1.0
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,34,2,0,0,0,0,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.6652808930177957e-07,3.6652808930177957e-07,0.9692307692307692,0.0,740.75,419.4358562402599,0.0625,0.3619955003892105,1.0,1.4364987359537462,0.39847361180835766,0.009613303817783346,22.763439498999364,0.15679242899195123,0.1516488459085792,0.3119018264829004,2.141311434442324,0.5182390557095736,0.0027902514233591608,0.9784411173959774,0.018768631180663575,1.4364987359537462,1.2728691887645651,0.16452351908773388,0.06466370219440559,1.3325655831030357e-05,1.09665069185341,0.0,False,False,False,False,0.523809523809524,0.523809523809524,0.4285714285714286,0.0048644617041403064,0.7871509801248319
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,36,4,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.713447194496531e-05,6.713447194496531e-05,0.9393939393939394,0.0,742.25,420.3004133949906,0.125,0.22852964108700966,1.0,1.5760255487677282,0.19216520009937704,0.0700003595870008,22.818297374565276,0.08443813828707322,0.25791265031614125,0.2042566780391742,2.087979841084401,0.44003664927456765,0.0012504703968767314,0.9872552141911081,0.011494315412015258,1.5760255487677282,1.4226375229961827,0.7551408971422874,0.06689473308111407,3.9936436381261684e-05,1.6405999109410574,0.0,False,False,False,False,-0.523809523809524,-0.523809523809524,-0.6190476190476191,1.0,1.0
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,40,8,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.178708755016468e-05,3.178708755016468e-05,0.8823529411764706,0.0,745.25,422.02954576664416,0.25,0.21980683442622725,1.0,1.6164221363709181,0.37961921657794784,0.026152019757647436,21.885938769538996,0.09852927266130646,0.2259659308607508,0.24477013356272442,2.2438266794610406,0.4993302723247617,0.002655530295923371,0.9711910195581372,0.026153450145939297,1.6164221363709181,1.6103866377552052,0.5416306793799157,0.08319947387234476,4.441437774941508e-06,1.4341069558943653,0.0,False,False,False,False,0.8333333333333335,0.8333333333333335,0.8571428571428572,0.0,0.0
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,48,16,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.082884278945855e-07,7.082884278945855e-07,0.7777777777777778,0.0,751.25,425.48788173107823,0.5,0.10514829061135626,1.0,1.8058062151589327,0.3394492092556009,0.06759124789826607,25.648932118179687,0.3395350415535642,0.2047476117629987,0.2254443883546455,2.172787999096943,0.4838449770848931,0.0010728295959677306,0.9859957978642188,0.012931372539813366,1.8058062151589327,1.4134861838950077,0.5141172316751568,0.07627229528693134,5.8916990238878746e-06,1.7900291563023996,0.0,False,False,False,False,-0.7857142857142858,-0.7857142857142858,-0.8095238095238096,0.9955730573411912,0.9955730573411912
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,64,32,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8502262826092983e-07,1.8502262826092983e-07,0.6,0.0,763.25,432.4048305696873,1.0,0.015051428434677012,1.0,1.9884047990189617,0.13329862821973576,0.03871713951229058,22.248688650905848,2.3134029750753107,0.257330122982162,0.3026358525461707,2.5734096673763442,0.31740401805273993,0.0008156482889461374,0.9849485715653228,0.014235780145730879,1.9884047990189617,1.2197068774657578,0.5693819634286776,0.06383896879850706,6.1541694256708e-08,1.0606601717798212,0.0,False,False,False,False,0.07142857142857144,0.07142857142857144,0.07142857142857144,0.9931828340110664,0.9931828340110664
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,32,0,14,2,2,2,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8.349176198047537e-06,8.349176198047537e-06,1.0,0.0,739.25,418.57130515600323,0.0,1.0000000000000002,1.0,0.0,0.6228800724771646,0.0,0.0,0.0,-0.07659572051573398,0.07691385572375016,1.6978129488491507,0.6747776408017984,0.6748510117100596,0.27576744356009425,0.04938154472984628,0.0,1.3288999262505643,1.76559663102843,0.02251270585837413,1.6664746545141937e-07,1.0815699630377797,0.0,False,False,False,False,0.7619047619047621,0.7619047619047621,0.8571428571428572,0.0005965520577599205,0.00031956142696201614
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,33,1,14,5,5,5,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00031613856802481435,0.00031613856802481435,0.9844961240310077,0.0,740.0,419.00357993697384,0.03125,0.9334921844477592,1.0,0.28929214844630613,0.5595661714955342,0.06334701171799678,32.46301159065295,0.0021347575483536703,-0.04592574954249551,0.0590280301117476,1.9331584744670323,0.6260739870477748,0.6261582661035602,0.27695874581314783,0.09688298808329185,0.28929214844630613,0.6167766534066239,1.8639965000569423,0.011155386527209916,1.054938246318597e-06,0.7293689845225784,0.0,False,False,False,False,0.6666666666666669,0.6666666666666669,0.6190476190476191,0.06627827880729377,0.0014618509044408837
gov_report:106,gov_report,physical_evaluation,fixed_tau_old_core,32,34,2,14,7,7,7,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.572326879576479e-05,2.572326879576479e-05,0.9692307692307692,0.0,740.75,419.4358562402599,0.0625,0.9149809304833357,1.0,0.9985353509034456,0.15209722873974274,0.02942805582258681,64.14851880221025,0.018352908018017103,-0.04712247493080373,0.07273024222079844,2.4218876757475023,0.346859430007338,0.3472189066632897,0.3243465815381941,0.3284345117985163,0.9985353509034456,2.6440171180340415,11.962303805613168,0.04615002589818092,1.2046508385452252e-06,1.5264883569160084,0.0,False,False,False,False,0.0,0.0,0.7380952380952381,0.7350440966702828,0.0
