sample_id,task,anchor,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,blend_attention_contribution_50_w4_shared,blend_attention_contribution_75_w4_shared,contribution_mean_w4_shared,mean_exact_kl_reduction,primary_wins
gov_report:18,gov_report,16,0.10068735830600417,0.10085211662362781,0.09908766411126635,0.09871897056063972,0.09509807253880354,0.0015996941947378218,True
gov_report:18,gov_report,32,1.1474305121012094,1.112019877660373,1.264992040381344,1.239728778511335,1.0514889143125856,-0.11756152828013455,False
gov_report:18,gov_report,48,0.7358799547655508,0.7792562760878354,0.8448972394689918,1.1334889268036932,1.1111742327921093,-0.10901728470344096,False
gov_report:19,gov_report,16,0.4878051716132177,0.48185291927075014,0.4713615214495803,0.4650097796220507,0.4956426930530142,0.016443650163637358,True
gov_report:19,gov_report,32,0.10047449992039503,0.09712400246714736,0.09454806887543299,0.10376153864730497,0.12827915522404965,0.005926431044962044,True
gov_report:19,gov_report,48,0.5557381774237271,0.5632050115750502,0.23281047280983813,0.28517956953329815,0.3332695927051361,0.322927704613889,True
gov_report:20,gov_report,16,0.06753020557095368,0.06695670334669757,0.060195738541111155,0.11634340482260086,0.12187948794382919,0.0073344670298425285,True
gov_report:20,gov_report,32,0.9369504836094054,0.7149450783357025,0.7802050170822881,0.7293880335951073,0.7259477576144491,0.1567454665271173,True
gov_report:20,gov_report,48,0.9217979057575576,0.9294890885357745,0.9656343049718998,0.9465942003153032,0.9242539024126017,-0.043836399214342237,False
synthetic_niah_18,niah_single_1,16,0.036879631952551506,0.03431836319655979,0.013300496351618563,0.013166544662272628,0.007935559397527214,0.023579135600932943,True
synthetic_niah_18,niah_single_1,32,0.03319520922980246,0.03170206245420104,0.03774315419408936,0.03775780944144458,0.03775780944144458,-0.0045479449642868985,False
synthetic_niah_18,niah_single_1,48,0.030865360236264294,0.031095934110304313,0.028291079089214577,0.026794004549127948,0.02646353046635852,0.0025742811470497173,True
synthetic_niah_19,niah_single_1,16,0.009352080500185878,0.009952194136392478,0.010118412006774768,0.010368722352943283,0.010458172612758831,-0.0007663315065888909,False
synthetic_niah_19,niah_single_1,32,0.02368808461505978,0.026092876159964362,0.026721165846538497,0.02692384513647994,0.026164889673964353,-0.003033081231478718,False
synthetic_niah_19,niah_single_1,48,0.10167193673260044,0.10070582217304036,0.12153164675692096,0.12079815327888355,0.11837466483120807,-0.01985971002432052,False
synthetic_niah_20,niah_single_1,16,0.008836061238750581,0.00942439031773823,0.009385681640253996,0.008514783855944397,0.008362318292958859,-0.0005496204015034145,False
synthetic_niah_20,niah_single_1,32,0.0002649451526073321,0.0002798175536775638,0.00026877243184131316,0.0002768867856275392,0.0003379214591205937,-3.8272792339810735e-06,False
synthetic_niah_20,niah_single_1,48,0.02542222214742651,0.024792849676487094,0.024792849676487094,0.02535384587736189,0.02535384587736189,0.0006293724709394155,True
