stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_head_peak_w4_shared,576,0.6034127657249371,3.3016196489334106,13.23330307006836,0.5911081544552377
task,gov_report,attention_mean_w1_shared,576,0.5938947145543193,3.1196727752685547,14.242084503173828,0.6103487510193243
task,gov_report,attention_mean_w4_shared,576,0.622871202185849,3.370940864086151,11.012908935546875,0.6543809789177123
task,gov_report,attention_temporal_volatility_w4_shared,576,0.6328311622412252,3.297754406929016,11.651182174682617,0.6463320840507522
task,gov_report,blend_attention_contribution_25_w4_shared,576,0.607468560751991,3.315739870071411,14.277442932128906,0.6402518328904035
task,gov_report,blend_attention_contribution_50_w4_shared,576,0.6354318435561758,3.4090763926506042,14.269620895385742,0.6642723659398373
task,gov_report,blend_attention_contribution_75_w4_shared,576,0.6096579336638999,3.2134469151496887,14.087867736816406,0.6404435153290162
task,gov_report,contribution_mean_w1_shared,576,0.5445872840658448,3.0730322003364563,14.84729290008545,0.5807188346222044
task,gov_report,contribution_mean_w4_shared,576,0.542267397998739,2.826330006122589,11.08154296875,0.5841778620793325
task,gov_report,contribution_q75_w4_shared,576,0.5380107368795223,2.9114795923233032,11.869283676147461,0.5627816133219985
task,gov_report,key_diagonal_leverage_shared,576,1.1824693814147507,4.480463624000549,12.077008247375488,1.3194560712987797
task,gov_report,protected_attention_rescue_m16_shared,576,0.631262837974126,3.392398178577423,14.099482536315918,0.6666173210235914
task,gov_report,protected_attention_rescue_m4_shared,576,0.5924188773168122,3.1234483122825623,14.348264694213867,0.6104569057106127
task,gov_report,protected_attention_rescue_m8_shared,576,0.6146873594826407,3.355234444141388,14.306292533874512,0.6368345120598217
task,gov_report,uniform_position_coverage_shared,576,1.0486356794317961,4.73907470703125,11.338712692260742,1.1744034632197347
task,gov_report,value_adjacent_change_shared,576,1.032424661441709,4.587961316108704,10.80397891998291,1.1396618963083371
task,gov_report,value_diagonal_leverage_shared,576,1.0794578291860577,4.241839170455933,13.685492515563965,1.191936162389101
task,niah_single_1,attention_head_peak_w4_shared,576,0.2824542742428595,0.2718566805124283,14.217340469360352,0.2631922035023588
task,niah_single_1,attention_mean_w1_shared,576,0.2230762574007671,0.24674240499734879,14.430190086364746,0.20521701601774783
task,niah_single_1,attention_mean_w4_shared,576,0.26211159218409075,0.25451985001564026,14.331291198730469,0.2508120088307295
