sample_id,task,anchor,attention_head_peak_w4_shared,attention_mean_w1_shared,attention_mean_w4_shared,attention_temporal_volatility_w4_shared,blend_attention_contribution_25_w4_shared,blend_attention_contribution_50_w4_shared,blend_attention_contribution_75_w4_shared,contribution_mean_w1_shared,contribution_mean_w4_shared,contribution_q75_w4_shared,key_diagonal_leverage_shared,protected_attention_rescue_m16_shared,protected_attention_rescue_m4_shared,protected_attention_rescue_m8_shared,uniform_position_coverage_shared,value_adjacent_change_shared,value_diagonal_leverage_shared,mean_exact_kl_reduction,primary_wins,primary_nonworse
gov_report:106,gov_report,16,0.04479215264643699,0.04899311661756656,0.06770426704861165,0.0656194101084111,0.04879596361416816,0.07056945706108309,0.06580929023130011,0.03459970158053238,0.06565332185709849,0.06599148259556387,0.1809615132806357,0.07117068492800627,0.04885541712076247,0.04844223678333037,0.1718594552949071,0.18565410339647315,0.13367798625199612,-0.016626293490844546,False,False
gov_report:106,gov_report,32,0.14021378966026532,0.14088837774761487,0.13405856221834256,0.13821811366142356,0.1480556293099653,0.16816022940110997,0.15030119324364932,0.15481754090433242,0.1502295107820828,0.15363211380463326,0.5375416303832026,0.15918296663585352,0.1507169868928031,0.14758386679022806,0.3778664754536294,0.5634647527185734,0.467525720159756,0.0026702640861913096,True,True
gov_report:106,gov_report,48,0.10694389839923701,0.11048098774573134,0.13987470189321982,0.5287546545810784,0.11362713551579873,0.10830941017864859,0.117872793978961,0.09713363783518503,0.12743474854795522,0.12679827904275953,0.9881330316619596,0.10577347609995513,0.11490426692731148,0.10659086601185663,1.231711876106374,1.2227948399408888,1.615942308008016,-0.41827366683534706,False,False
gov_report:107,gov_report,16,1.0118327752425103,0.9637455710258109,0.9220505105913617,1.029820153467881,0.9001730557520204,0.8983676342159015,0.9193458682498203,1.0923577461662717,0.9544105979593951,0.9220465712560326,1.2817998141181306,0.9881327356742986,0.9974322772800406,0.9802021083046384,0.7844012197933807,1.0436506515361543,1.1809076100616949,-0.0660745824420701,False,False
gov_report:107,gov_report,32,0.9755202429514611,0.9562357136019273,1.3361015811060497,1.275006930456584,1.2030068947242398,1.3402153912720678,1.2566839385217463,0.8709488146505464,1.3347469260879734,1.2937489442956576,0.8948565961691202,1.174976116642938,0.9640434673492564,1.187201208442275,1.0827258625649847,1.3137745350322803,1.290346746769501,-0.3187712168546568,False,False
gov_report:107,gov_report,48,0.32396747039456386,0.04644661022757646,0.3085340189136332,0.037265847335220315,0.055774326843675226,0.3185095951339463,0.3270747804926941,0.04792639295919798,0.32988816501165275,0.33097920831642114,1.5151280752761522,0.31782830074371304,0.0483671014662832,0.3191932606860064,2.4570069810724817,2.1928016047459096,2.0784202546346933,0.009180762892356142,True,True
gov_report:108,gov_report,16,2.3782394508393736,2.0883828955120407,1.1680668478875305,0.556198698220669,2.0845267277363746,2.005715827419408,2.0247513122631062,1.9399544995758333,0.032763596201220935,0.03203230491862996,2.9918621015385725,2.018762894345855,2.0746226808169013,2.062212565486334,2.7058461942942813,2.4275881887297146,2.3231589821807574,1.5321841972913717,True,True
gov_report:108,gov_report,32,1.2691640804800954,0.9000054474801118,1.297803109038341,1.4184377037163358,1.0620490800312155,1.0476362967212935,1.187633184164497,0.9686506368456094,1.337814161992128,1.2593369092389821,1.1307646137283882,1.0283976355279947,0.896009457037735,0.9187689813354609,1.099360944586806,1.198879793377273,1.0051411327021924,-0.518432256236224,False,False
gov_report:108,gov_report,48,0.2109724115557583,0.3025281843503649,0.22045215926436867,0.22603732392883558,0.28728662416409634,0.3058816687837407,0.22402543773864636,0.2959263865640196,0.20127058067112102,0.218990839900016,1.4779291968807229,0.21680837816796839,0.31327824816810335,0.22408076787110076,0.9065586125507252,1.5267380019067787,0.8668739804616052,0.0764908604215293,True,True
gov_report:109,gov_report,16,0.788684771687258,1.104583211359568,0.7943749537225813,0.8040029241237789,0.8546178648830391,0.8631100483471528,0.8769174415501766,1.1048282479168847,0.8930291433935054,0.9242489328607917,1.1511375786503777,0.8626806466199923,1.1252766267280094,0.844081379880663,1.1819406748109031,0.9578191257314757,1.3911275418358855,0.300580287235789,True,True
gov_report:109,gov_report,32,1.6973871139634866,1.442260753514347,1.6682930170443342,1.5860879047179424,1.4431606058315083,1.7137289154029531,1.6245883396172758,1.4515864682580286,1.576463323018288,1.7700852268994822,1.3388429428159725,1.6831826553602696,1.4384611715977371,1.4481720825806406,1.5845108711055218,0.9812299028417328,0.7659574974022689,-0.14382715120359535,False,False
gov_report:109,gov_report,48,0.36391834228666653,0.3609397549123514,0.34813884257590644,0.4447001034822051,0.3610872464350905,0.34262555827157826,0.38320631737420285,0.400829229118699,0.4955601466745634,0.45565618252717854,1.3570103236791056,0.34719329541462685,0.3552451471072118,0.35676864870902136,0.831098380862386,0.8057861083325406,1.2709469837973302,-0.0837603485698537,False,False
