sample_id,task,stage,target_anchor,history_length,candidate_id,candidate_source,deleted_position,layer,boundary,theory_u_norm,actual_u_norm,injection_cosine,injection_relative_l2,injection_norm_ratio,local_r_norm,actual_r_norm,adjacent_cosine,adjacent_relative_l2,adjacent_norm_ratio,actual_boundary_norm,state_norm,action_state_ratio,deleted_attention_mass_mean,deleted_attention_mass_std,attention_entropy,attention_concentration,head_disagreement,deleted_key_norm,key_norm_mean,key_norm_variance,deleted_value_norm,value_norm_mean,value_norm_variance,deleted_token_age,selector_attention,selector_value_norm,selector_aov,selector_aor,selector_v_ridge,selector_key_query,selector_age,selector_random,single_boundary_theory_risk,candidate_probe_risk,single_boundary_fisher_risk,probe_fisher_risk
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,0,1,0.0009324948345602795,0.0009327774021397223,0.9995651049384886,0.029489293035162612,0.9996970685837857,0.001109938137717195,0.0011099299677455507,0.9992456488683888,0.03884216037578313,1.000007360799223,0.0011099299677455507,22.21974525362237,4.99527841137714e-05,3.346201992826536e-05,9.020700235851109e-05,1.3995308876037598,0.6117538809776306,9.020700235851109e-05,778.0042724609375,778.7630615234375,1837.49169921875,4.4183855056762695,4.23435640335083,0.8532294034957886,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,1.4115064481937803e-12,1.474172960236802e-12,1.4145722986700477e-12,1.4760525954708584e-12
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,1,2,0.0022272798944338785,0.002242592912491738,0.9951465948745846,0.09842334468979827,0.9931717352834916,0.0022056866196855027,0.002381917102858884,0.8941168346412562,0.44896821998622854,0.9260131752856295,0.002381917102858884,26.50747346995104,8.320999065361232e-05,0.00012810663611162454,0.000191551647731103,2.949690103530884,0.24269001185894012,0.000191551647731103,91.18141174316406,90.90900421142578,3931.908447265625,4.293812274932861,4.099548816680908,0.7911749482154846,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,2,3,0.00425933835832261,0.004263171802597686,0.9874853112070222,0.1581381665798454,0.99910079995539,0.004034007536650262,0.004919811084350883,0.8798390600668422,0.47902998075924125,0.8199517151139771,0.004919811084350883,39.144889070931384,0.00010305323715033533,7.189232564996928e-05,0.00015394527872558683,1.8687925338745117,0.4641329050064087,0.00015394527872558683,25.848609924316406,26.24045181274414,55.260929107666016,5.924777030944824,5.977014064788818,1.4542144536972046,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,3,4,0.0003206878811212906,0.0012541289089013398,0.24672449402238492,0.9691272804378418,0.2557056765418351,0.0002955585013119791,0.0047100648127628335,0.13993616116348498,0.9931643926748109,0.06275041067611342,0.0047100648127628335,39.29349492958392,7.521817589441611e-06,1.0478084732312709e-05,1.30826338136103e-05,1.8153430223464966,0.4907861649990082,1.30826338136103e-05,22.216686248779297,20.734027862548828,7.395064830780029,6.180036544799805,6.224969863891602,1.3393332958221436,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,4,5,0.0003943020331112026,0.001084758861868787,0.3727068950345738,0.9279948652824016,0.3634927973134158,0.0003773637414464959,0.004645118598899801,0.07272511880680992,0.9973883593788175,0.08123877429865295,0.004645118598899801,41.78852953436474,9.030318741801416e-06,8.945577974373009e-06,1.2287533536436968e-05,1.6775660514831543,0.5654489398002625,1.2287533536436968e-05,19.950393676757812,17.82339096069336,4.865762710571289,7.589626789093018,7.040922164916992,2.0471184253692627,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,6.888557940763189e-13,4.562513390973037e-11,6.925528007565233e-13,4.56250802470433e-11
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,5,6,0.0005980862289044947,0.0013152071291358863,0.5952950587058927,0.8157068143932333,0.4547467966490173,0.0004341704089082377,0.003771398520988633,0.16356411530493847,0.9877213333611732,0.11512185903769842,0.003771398520988633,40.07941114305509,1.0832754187893558e-05,6.607480827369727e-06,1.125978997151833e-05,1.3290314674377441,0.6930937767028809,1.125978997151833e-05,19.318965911865234,16.96992301940918,4.109137535095215,9.340749740600586,8.075624465942383,1.8821910619735718,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,6,7,0.0002598607484652192,0.0009987611349954039,0.22455769790443125,0.9751117926545675,0.2601830801780398,0.00031260236093043,0.0034921228007387655,0.12645414880045486,0.9926599334282291,0.08951642847848831,0.0034921228007387655,46.554463311354176,6.7147667204271986e-06,5.6629055507073645e-06,1.0346326234866865e-05,1.321036696434021,0.6098397970199585,1.0346326234866865e-05,23.118560791015625,19.350360870361328,6.347279071807861,8.240209579467773,6.646595001220703,1.1457581520080566,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,7,8,0.0020877303600503926,0.0023333528207132147,0.9369960711454253,0.35188696479518977,0.8947341102972396,0.0020212357427181523,0.0037282649218211483,0.5615315145282248,0.8276825776737469,0.5421384437806629,0.0037282649218211483,50.820444041277696,3.977209921811096e-05,3.357915920787491e-05,6.608811963815242e-05,2.265261650085449,0.3844684660434723,6.608811963815242e-05,34.23894500732422,33.89528274536133,197.66250610351562,7.872262477874756,6.595244407653809,1.8759430646896362,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,9.029114046365191e-12,3.847504075192567e-11,9.032056191812451e-12,3.847829524514508e-11
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,8,9,0.0025928285903924083,0.002519083487124431,0.9616632948805484,0.28244467199109974,1.029274576902633,0.0023597067606763,0.0041004303846898325,0.618970456391074,0.7866175583294007,0.5754778253246201,0.0041004303846898325,53.2828878673684,4.428639015494196e-05,4.374423951958306e-05,6.807201134506613e-05,1.6176036596298218,0.6090368032455444,6.807201134506613e-05,21.794858932495117,19.56606674194336,7.60729455947876,8.515670776367188,7.788924694061279,1.4527653455734253,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
gov_report:124,gov_report,scope_history_anchor,48,16,physical_delete_attention_94,attention,94,9,10,0.02361214687384038,0.023615782579734727,0.9991822256665316,0.04043909706789298,0.9998460476216668,0.0195066312786436,0.019425716979799015,0.9797971744441879,0.20147283538295493,1.0041653185274309,0.019425716979799015,53.73326813652855,0.0003630270771746107,0.00035430595744401217,0.0008658570004627109,1.7781082391738892,0.528532087802887,0.0008658570004627109,20.078243255615234,18.9466609954834,4.516743183135986,7.565309524536133,7.510903835296631,1.2643945217132568,901.0,-0.409834072911046,0.4384282330939272,-0.38367927610400754,-0.3872782554416817,0.11302383794512541,0.6224275415628138,94.0,0.8328869453252553,,,,
