sample_id,task,stage,target_anchor,candidate_pool_variant,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b27_path_k1_risk,theory_b1_risk,probe_b1_risk,theory_b5_risk,probe_b5_risk,theory_b8_risk,probe_b8_risk,theory_b11_risk,probe_b11_risk,theory_b15_risk,probe_b15_risk,theory_b19_risk,probe_b19_risk,theory_b23_risk,probe_b23_risk,theory_b27_risk,probe_b27_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_attention_50,median_attention,50,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,1.265776791885097e-06,0.0946070669959802,0.08899531180191632,0.5151339722716264,93,128,129,128,0.0,1.2596845682195305e-06,6.764827333009899e-08,4.337575505780567e-08,1.4271612196653898e-08,2.999459029533476e-08,9.973784058122498e-07,1.8309978875539718e-10,1.7538552968335184e-10,2.7529574992173815e-08,3.9012709591213125e-08,1.2202400198269966e-08,9.00192109617949e-08,5.2346927489808646e-08,6.521282647412149e-07,1.7375073540844654e-09,9.120774329254898e-07,1.499765401523041e-08,1.0388067107503883e-06,1.4575924558962283e-09,1.0314915447684817e-06,3.7282250185888404e-08,9.971131841646002e-07,0.002192052784154199,0.002523833771008595,0.0025193368165195473,0.00011132554936921224,4.096999168395996,778.4063720703125,0.00019747853121827432,0.07577063004936449,0.06929723058625746,0.07715127866195831,0.0014180237194523215,7.772206783294678,17.962120056152344,0.002358462135569882,0.020874886096255058,0.01959425714785627,0.05613374947432675,0.0007820471655577421,5.663120269775391,33.208396911621094,0.0005091335156080685,0.02062687688864208,0.020284345080262518,0.11054678967009882,0.0004986759158782661,8.188514709472656,18.20248794555664,0.00048446897650726117,0.005986916532300401,0.005069253376388239,0.1365417522192299,0.00011597192496992648,7.978291034698486,19.48809814453125,0.00010197216838359624,0.006199756165992401,0.005901920388651904,0.0990382559319092,0.00010280669084750116,8.487594604492188,21.61745834350586,8.885032339815761e-05,0.004396588170938085,0.0046986364429820685,0.11004277039319052,7.722403097432107e-05,12.535320281982422,19.725648880004883,3.5975359523906984e-05,0.035221188875414436,0.04064504104870415,0.233629537585911,0.00017304102948401123,34.65992736816406,15.235272407531738,0.00013939287403993573
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_aov_75,median_aov,75,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,1.4569581981707593e-05,0.0852440370485477,0.06829526673454024,1.4201741754385184,93,128,129,128,,1.4723102940960946e-05,4.77492587268852e-07,9.523846759257435e-09,1.5115924447617767e-09,1.922526620201876e-09,1.459992544050766e-05,1.9986416739271382e-10,1.9368343017507554e-10,6.798758395491994e-10,2.5355801079639598e-08,3.204153006866002e-10,1.540543685200812e-08,7.687274586124084e-09,5.6925695730397326e-08,1.9994792652395339e-10,1.469969555334966e-07,4.200344946506604e-07,1.1583966892198048e-05,9.859121288725736e-10,1.5058444675479683e-05,7.782245405444204e-09,1.4592728245976664e-05,0.0022326102831532854,0.002480379013194522,0.002478733217768621,5.886923463549465e-05,4.408453464508057,778.4180908203125,0.0001940783937582943,0.007443288740298771,0.008001342305489375,0.03361052970875629,0.0002459130191709846,6.227390289306641,18.69365119934082,0.0002723177059397876,0.003784204375795477,0.003497489757645477,0.022785490635047013,0.00010282848961651325,7.575443267822266,33.537864685058594,9.087812018982673e-05,0.012060856521969024,0.012620157183743522,0.04314074195484676,0.0002117771509801969,9.655708312988281,20.190410614013672,0.00030141838989508336,0.0016261677037310524,0.0013942440619463144,0.04599579339551478,3.481322346488014e-05,10.552074432373047,21.053680419921875,2.8046357066080505e-05,0.03563668760995736,0.03390191077666732,0.18473778507748997,0.0007457697647623718,9.836434364318848,21.55088996887207,0.0005103755282965468,0.002879937298881922,0.0033100923131556994,0.24968855483495,3.359875699970871e-05,13.160160064697266,22.003719329833984,2.5343897632462908e-05,0.014414793815277048,0.016160430200310803,0.5239757689492722,4.841221743845381e-05,44.137813568115234,17.63809585571289,5.542247598283373e-05
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_v_ridge_11,high_v_ridge,11,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,4.663753310333511e-06,0.08739522972161191,0.08406657220382543,1.1265146823939007,93,128,129,128,,4.636524194566905e-06,8.728256330855144e-07,1.5273714880173776e-08,5.587440648653348e-07,7.493719852573238e-07,4.615150718700672e-06,3.743484862134742e-11,4.293962638363012e-11,1.4038466132628864e-07,2.548899237471371e-07,5.0212292083470095e-09,3.99349959848363e-07,6.7629822179901295e-09,4.5320475547873005e-07,2.4670470877284497e-12,4.987728158548311e-07,1.9774876983357954e-09,2.2947435724289056e-06,5.942087437303646e-07,3.7222900262373496e-06,1.4402867722275735e-08,4.616487176083801e-06,0.001384289211764825,0.0015349362477858491,0.001532411965473393,4.158076990279369e-05,4.786486625671387,778.4161987304688,0.00012010179085816122,0.13867545614984678,0.12739578644739996,0.22581362221671158,0.0010987441055476665,9.124982833862305,15.49339771270752,0.0043357885448733115,0.016832728227403317,0.0157837371092887,0.14941767540596781,0.0004957891069352627,6.5965576171875,33.74650192260742,0.0004101216751034054,0.012132888880883267,0.013201505224965025,0.11769647463655482,0.0002610727970022708,8.759201049804688,17.17888069152832,0.0003153032399807356,0.00025037902189433027,0.00020142250254868746,0.11252285082823991,4.713352154794848e-06,9.852259635925293,16.852642059326172,4.0517780077456205e-06,0.0036571168427244334,0.0033089684594801686,0.13675806252052544,6.11713549005799e-05,9.668230056762695,22.558656692504883,4.9814788810845264e-05,0.07288745636477896,0.0873446051909809,0.18722318419027678,0.00057128636399284,12.616143226623535,16.273738861083984,0.000668758609513735,0.019243030544878997,0.022454793865373086,0.4106756804572626,8.849328878568485e-05,38.00852966308594,13.287090301513672,7.700910546794649e-05
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_low_key_query_60,low_key_query,60,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,3.651392207875358e-05,0.9599971803684132,0.9133746089237691,9.283379962899163,93,128,129,128,,3.272057517645093e-05,1.3541465544738594e-06,5.839732348306919e-07,4.742009562466002e-08,3.7628085106600694e-07,3.9534158308118924e-05,5.680114177606158e-11,5.12077431021516e-11,1.0848088207234826e-07,3.919108746073521e-07,4.338377439011467e-08,6.268923540072462e-07,3.43410153998733e-07,1.0017636394554481e-05,1.7695463484489475e-07,4.9302655755006485e-05,8.664997433908292e-08,3.896165202367584e-05,4.443485809235367e-09,4.087379001560228e-05,2.3353343480726763e-07,3.954471726893519e-05,0.000979721403807153,0.0013758852906113664,0.001377181218464027,0.00022633855405729264,3.1908457279205322,779.73486328125,0.00010765677574960853,0.07317898287692431,0.07175605756008391,0.11116853825774206,0.0018329690210521221,5.322068214416504,15.60141372680664,0.0024421458595315373,0.033009258953961076,0.03098077547414658,0.08618911958075944,0.001240947050973773,4.769776344299316,33.06454086303711,0.0008049986796841734,0.11621664250912106,0.12106879130733524,0.3342862169076627,0.003537788288667798,7.8204240798950195,16.157093048095703,0.002891593156177799,0.05817054597126363,0.05028414202304921,0.7071141574545177,0.0010018666507676244,8.048284530639648,17.47884750366211,0.001011506550704783,0.017297365704714355,0.016917420150637328,0.4429109478709296,0.00029791577253490686,8.427913665771484,21.811199188232422,0.0002546829086913475,0.005642929512427561,0.005747354782109218,0.5438698207420746,0.00018368575547356158,6.036947727203369,16.941150665283203,4.400492719683575e-05,0.10861404594423392,0.11761940776068487,1.1002519668669954,0.0036248471587896347,10.397464752197266,15.948335647583008,0.00040337780126709213
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_age_95,high_age,95,1,True,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,4.819852020713026e-05,0.20608991640331958,0.19635543841725406,6.280080252026595,93,128,129,128,,4.780307617621406e-05,7.247141136440202e-07,2.668185297974158e-07,4.9229779524826713e-08,1.9902750987514498e-07,4.9303381342362594e-05,1.433941622104522e-10,1.3646850968733134e-10,3.2139470896373786e-10,3.965414977603489e-09,5.579335169583299e-09,1.0722915434676098e-08,8.915977592235643e-08,3.4843789224990325e-07,1.6556874221082233e-07,1.5434493517879925e-06,3.4618052048159226e-07,4.783642807241697e-05,5.008037516716218e-08,4.9672211763019536e-05,9.043179714728045e-08,4.932058800518722e-05,0.0020317247979295687,0.002918230761487419,0.0029199190079069346,7.357537833740935e-05,4.716275691986084,778.139892578125,0.0002283383046674349,0.005106340119929869,0.005573470470562846,0.01880291231444216,0.0001561464450787753,6.89832878112793,18.4055233001709,0.0001896875092602346,0.008544712991635162,0.007546518814827205,0.014687225059026941,0.0002715937444008887,6.866134166717529,34.86793518066406,0.00019608733445737023,0.04458254727673,0.04590287447980088,0.06723532320903522,0.0005596387782134116,7.809615135192871,19.940689086914062,0.0010963390008390946,0.04621720469331901,0.04096326480265925,0.08086310637837987,0.0010647013550624251,9.326231002807617,17.945579528808594,0.0008240094992005973,0.04941414994595608,0.041023204043804114,0.3480359597039137,0.0012050411896780133,9.179771423339844,20.85932159423828,0.0006175828723696431,0.021625778514844502,0.022372631255453704,0.5906394270064977,0.000319742743158713,13.04567813873291,18.602901458740234,0.00017129723967320302,0.09933354329819419,0.11071150804439722,1.1225325853010604,0.00038653495721518993,38.86375427246094,15.206233978271484,0.00037968703924081803
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_aor_59,high_aor,59,2,True,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,5.076933018345663e-05,1.0685831496797344,1.102239796143522,17.038577668558247,93,128,129,128,,5.18735504398387e-05,1.1676190690623317e-05,2.3074211613930497e-06,3.1488580660134972e-06,1.6865605344247475e-06,5.062542251030856e-05,7.34366575739401e-10,7.416747090147812e-10,3.1122918607736743e-08,6.626422525250628e-08,3.2002303854659366e-06,3.4809582027805358e-06,1.2301066824535613e-06,6.740968835730344e-06,2.023242246429802e-06,5.720706879533287e-05,1.5609800657075503e-06,4.7666462850486996e-05,1.5125317835114674e-08,5.018761099872637e-05,4.247933270590964e-08,5.063101808086326e-05,0.00674215160357376,0.00833574893465951,0.0083364656196179,0.00025503759388811886,4.74366569519043,778.7014770507812,0.000652234499407231,0.06533895887337912,0.060170348200481914,0.0864020018044802,0.0013979794457554817,8.106836318969727,16.540973663330078,0.0020478377954549092,0.5791039474772313,0.5864698762912018,0.5983427124927306,0.008879149332642555,7.394992828369141,33.66836166381836,0.015238723655672567,0.16328207461740768,0.15122600958310606,0.5264330139263803,0.004503475967794657,7.201598167419434,17.393917083740234,0.003611864706210987,0.13613782759203752,0.10999420487789438,0.853079273438693,0.002332929288968444,7.725628852844238,16.223854064941406,0.0022126231908770545,0.09087783846377767,0.08545241693195472,0.58554670383681,0.0016217584488913417,8.29125690460205,22.122726440429688,0.0012864414257699982,0.008228238439786838,0.00937036807276237,0.7386549406839081,0.00010173214104725048,9.917257308959961,19.06756591796875,7.174472091631289e-05,0.04367758878831922,0.048562859829465885,1.5261665867151306,0.00035958809894509614,33.06416320800781,15.537151336669922,0.0001665471710341307
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_attention_1053,high_attention,1053,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,7.445376038318907e-05,1.606614030724756,1.5101574576100896,14.572881684219105,93,128,129,128,,7.548621294140609e-05,5.841474195632983e-06,1.0546188272186961e-06,2.3672481127460565e-07,3.524793916866468e-06,6.510290708043587e-05,6.904027291541111e-07,6.908145485323789e-07,3.714741089816398e-06,5.127128310549313e-06,1.972964076612244e-07,6.871639793750025e-06,1.4491918237297986e-06,8.451153190410746e-06,4.623852976949638e-08,1.3580604952019077e-05,7.164423594703994e-07,5.860640956980006e-05,6.735156365975665e-08,5.5476115857862524e-05,8.442265791211345e-07,6.510423315885189e-05,0.0932707613267432,0.10180550050997764,0.10180233047194134,0.0057175955735147,3.531764507293701,778.9329833984375,0.007965818090554109,0.7083222623782804,0.6912576204998817,0.8087095482133422,0.019386349245905876,5.736909866333008,16.988697052001953,0.023526263749368604,0.09129378655039357,0.08646522406615505,0.5235528315368373,0.004434714559465647,5.201253890991211,33.3926887512207,0.0022466962219824292,0.20545197490874947,0.1942544971720694,0.4766234953173987,0.004000179003924131,8.631532669067383,18.68142318725586,0.004639552179501137,0.02177509720013712,0.01786405342481193,0.4458663009397284,0.0003875803668051958,10.713394165039062,22.806795120239258,0.00035935001243642063,0.05297399989679843,0.04818026413880862,0.49867531347092725,0.0008726303349249065,10.563478469848633,23.70123291015625,0.0007253286673220637,0.029667681162712366,0.0339087002166627,0.6319872575342295,0.0002653130213730037,11.315760612487793,20.040742874145508,0.0002596237644870024,0.20358373392237872,0.20442695347759615,1.5218375278695178,0.002749093808233738,14.85686206817627,16.12889862060547,0.0007010857866356826
gov_report:132,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_low_v_ridge_90,low_v_ridge,90,0,False,physical_delete_median_aov_75,physical_delete_median_attention_50,0.12109906270041662,0.00011767758266031936,0.6178073476780096,0.5381157618460835,15.70123009487438,93,128,129,128,,0.00011243658447576189,1.4466416466617635e-06,1.8821903702618653e-07,1.3989599115067836e-07,1.5411914911283648e-07,0.00011924970115934443,8.469339443743468e-10,8.417077589396656e-10,6.824850612461382e-10,2.034679903458952e-09,1.7193764411132275e-08,1.6130135811291002e-08,1.12685253313573e-06,9.889700226128504e-07,4.009940733067522e-08,9.850983053905256e-07,1.9141068270575274e-06,5.3557782355900864e-05,1.0031886846162614e-07,0.00012613750851914163,1.1868478130339956e-07,0.00011924610112774782,0.005971257160746485,0.007613585964655959,0.0076158104967821135,0.00019901474297512323,4.974637985229492,778.2282104492188,0.0005957285265279093,0.006528604665755969,0.006055929943137838,0.014150588456191937,9.315609349869192e-05,9.22301197052002,18.3603515625,0.00020610753627125323,0.017762459949641096,0.01558008600928535,0.01712163825063331,0.0004749549843836576,7.3722052574157715,34.64202880859375,0.00040483004298284305,0.11989414531667056,0.13098595773404637,0.13588094651337868,0.0017225256888195872,8.893704414367676,19.070127487182617,0.0031284536241687495,0.02616605212789485,0.022293665667286976,0.152559350235372,0.0005933457869105041,8.72243881225586,16.999366760253906,0.0004484552774380947,0.12286324493683778,0.11735694405234672,0.4331753009495454,0.0017539850668981671,9.612728118896484,20.706336975097656,0.0017667473882093895,0.026573804075863783,0.02938686698616812,0.8283941469364242,0.00022819836158305407,13.289724349975586,19.72500228881836,0.00022500210815154265,0.07733436267196432,0.0860149862604686,1.8792709248522328,0.0004153565096203238,42.04442596435547,16.3436222076416,0.0002949898889506612
gov_report:133,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_low_random_63,low_random,63,0,False,physical_delete_median_aov_34,physical_delete_low_random_63,0.1488662272183111,3.909352443775627e-07,0.05787150925565066,0.06396101081616141,0.4390282050450547,93,128,129,128,0.0,3.8899448385249673e-07,8.730878638297948e-08,1.900352125754345e-08,6.320860625492957e-08,6.102729179798035e-08,4.098900822227183e-07,1.5551757434044376e-13,2.0663632657265242e-13,2.320285049105635e-11,7.5761498856203e-11,7.578098541004921e-11,2.2430260439879734e-10,6.95724830892099e-11,2.0124501986650096e-10,2.4498108036905073e-10,8.696735982022609e-10,1.1252989763555139e-08,2.397892344072343e-07,6.488838912475114e-08,3.4851576996593187e-07,1.60764250439289e-08,4.099315620376896e-07,4.286674261516045e-05,6.694489374969813e-05,4.285420017966504e-05,1.49140726080077e-06,4.543278217315674,779.6101684570312,3.8080465813973204e-06,0.005179720495788914,0.004761380849798927,0.005780320399144033,0.00011296398588456213,7.0858564376831055,18.500152587890625,0.00012707597515384676,0.0037635622501054657,0.0038352005523765013,0.007248678132800783,0.00010272476356476545,6.122679710388184,32.68620681762695,8.845983913460157e-05,0.0035642461249663685,0.002914393793869633,0.006347140083496655,6.662893429165706e-05,8.289739608764648,20.52330780029297,6.0583147864295114e-05,0.004548094057156662,0.0040279633298997124,0.00692373261503079,5.71169366594404e-05,10.137185096740723,21.291332244873047,7.392642235183468e-05,0.015737613223254295,0.016080469093817662,0.04796508963220206,0.0004891869029961526,7.774223327636719,20.643569946289062,0.0002323801971559617,0.06852461450589181,0.07137961673122205,0.11988681906555762,0.00029326986987143755,14.468971252441406,20.182109832763672,0.0005635883472819394,0.0793602822670399,0.08480238822009496,0.3230610278744404,0.00035554132773540914,48.2310676574707,18.20968246459961,0.0002876184883033354
gov_report:133,gov_report,disagreement_replication,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_aov_34,median_aov,34,0,False,physical_delete_median_aov_34,physical_delete_low_random_63,0.1488662272183111,1.5684624130949255e-06,0.02872510043488275,0.04931113200166394,0.4550634447086809,93,128,129,128,,1.5681480535671233e-06,1.771681079813011e-06,2.573465028003305e-10,8.239486386273773e-11,2.322528921015712e-11,1.563658804220675e-06,2.765290601129838e-10,2.779988109512928e-10,2.4369485339174316e-11,2.097261789845163e-09,8.421861062005558e-11,4.5913578799082175e-09,1.7276812799595909e-12,5.341741576396057e-09,1.580697176878193e-13,7.89549429657114e-09,1.737997057949767e-06,1.5449935969004728e-06,1.971283489800619e-12,1.532655251235322e-06,6.2342655920199505e-12,1.5640663782235157e-06,0.006200684505573782,0.010077816758945682,0.010077762250974868,0.00021158256276976317,4.414711952209473,778.438232421875,0.0005732594901164479,0.0025294980790369808,0.0023774932029897297,0.027486337554179282,6.0393951571313664e-05,8.337921142578125,18.987892150878906,6.345265726943918e-05,0.0024666247064047495,0.0028949679452591587,0.01711597162928871,6.062877946533263e-05,6.8780131340026855,35.0518684387207,6.677314399602042e-05,0.0003611805530194269,0.0003343633243971765,0.014433625264978994,4.74687749374425e-06,9.669397354125977,18.670629501342773,6.950599045661276e-06,0.00013763458660216135,0.00012329784488209218,0.014069440908837244,3.20252297569823e-06,9.424023628234863,18.833755493164062,2.262922427362686e-06,0.16653675917733612,0.21984883835218183,0.22108043112903075,0.0011519069084897637,9.570629119873047,21.813953399658203,0.003177053859730422,0.00043149070027900696,0.0005157830158258426,0.17516997536604476,3.788864205489517e-06,14.097299575805664,20.509498596191406,4.072441276057329e-06,0.0017979095461991158,0.0019187679291572924,0.2665827894962939,8.224195880757179e-06,35.078670501708984,16.522642135620117,6.507754590080857e-06
