sample_id,task,split,anchor,layer,boundary_layer,candidate_id,candidate_source,mask_hash,candidate_seed,history_id,gamma,state_norm,state_workpoint_norm,action_u_norm,action_r_norm,scaled_action_norm,action_to_state_workpoint_ratio,nonlinear_increment_norm,residual_norm,physical_history_kl,controlled_exact_kl,retained_mass_min,retained_mass_median,retained_mass_max,state_action_interaction,state_action_interaction_sign,operating_point_output_max_error,adjacent_method,reference_jvp_method,state_jvp_method,jacobian_drift_cosine,jacobian_drift_relative_l2,jacobian_drift_symmetric_norm_ratio,jacobian_drift_maximum_absolute_error,jacobian_drift_predicted_norm,jacobian_drift_truth_norm,jacobian_drift_error_norm,jacobian_drift_finite,jacobian_drift_low_norm,cosine,relative_l2,symmetric_norm_ratio,maximum_absolute_error,predicted_norm,truth_norm,error_norm,finite,low_norm,projection_coefficient,parallel_error_norm,parallel_relative_error,orthogonal_error_norm,orthogonal_relative_error,fisher_truth_norm,fisher_error_norm,fisher_relative_error,failure_type,large_action
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H3,1.0,23.83177364490185,51.31061461471732,13.340689061607108,19.931326663769106,19.931326663769106,0.38844451218193443,373.9480271268935,344.0368763205585,0.0041436891629934355,0.0004978097019510578,0.0008168724884808096,0.5415928903465939,0.9828726053237915,-0.0016774131914778826,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.11276910430774538,1.2360801393012373,0.7673293625344055,3.647668242454529,122.96406520047951,197.5347224240226,244.1687472107171,True,False,0.4094868604320362,0.9200125454969037,0.6913059845787114,3.751664102077484,197.5347224240226,373.9480271268935,344.0368763205585,True,False,0.21630779531905028,293.06015381516676,0.7836922046809497,180.21409077605915,0.4819228280482578,0.06553046595288627,0.02518140487592404,0.38427019417240893,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H3,1.0,23.83177364490185,51.31061461471732,13.118439939768113,19.36976853567317,19.36976853567317,0.37750022448800247,382.3182769761757,333.79935241211894,0.0041436891629934355,0.0004570070972322036,0.0007006307132542133,0.5130794097597761,0.983128272241441,-0.0015676723576377512,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.10532244973088734,1.2338732668125585,0.7693164064887222,3.5630900859832764,122.48960954711163,195.9479241230019,241.77490526278768,True,False,0.48816232394226167,0.8730928457101196,0.6777083763517252,3.7259185910224915,195.9479241230019,382.3182769761757,333.79935241211894,True,False,0.2501957132891852,286.6638829646291,0.7498042867108148,171.01411016169843,0.4473082257910344,0.062115045047886064,0.024360020810365663,0.392175853556669,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H3,1.0,23.83177364490185,51.31061461471732,13.098008318204343,19.591877245832755,19.591877245832755,0.38182893331028733,379.86630291162277,327.99432591787087,0.0041436891629934355,0.00048639574531916314,0.0006088077257126176,0.6543135303229601,0.9898580167217286,-0.0016088012784318414,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.08705515533908996,1.2150253155043025,0.7566433966040506,3.701138973236084,122.55853471925155,201.39469151470738,244.699648598549,True,False,0.5050644716922316,0.8634467532493397,0.6929578741593417,3.739868253469467,201.39469151470738,379.86630291162277,327.99432591787087,True,False,0.26777132557388367,278.1489994401271,0.7322286744261163,173.8200562213458,0.4575821937588016,0.06362818393778688,0.024256286047082205,0.3812192105121064,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_07_random_reference,random_reference,6ed347c930c943268e891d3a8722b46a0957049fa8daf45acad2464fecfbab5e,1532748431032598259,H3,1.0,23.83177364490185,51.31061461471732,13.112304658197036,18.726212140155567,18.726212140155567,0.3649578606837495,340.40867128672386,286.8125685438623,0.0041436891629934355,0.0004219479008595845,0.0010082868252634788,0.5425280153037564,0.984585953630727,-0.0014287383847127436,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.08416245736479024,1.2367891063863439,0.7867438801741818,3.2228662967681885,120.73057773442221,186.18144478475637,230.26718272105725,True,False,0.5386757495568905,0.8425536501750335,0.7071209242350602,2.897578239440918,186.18144478475637,340.40867128672386,286.8125685438623,True,False,0.29462066563674183,240.1172419637104,0.7053793343632581,156.86031871217872,0.46080000876374966,0.0525601151962386,0.023050195371836675,0.4385491790833486,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H2,1.0,23.657065516340047,53.30724835061556,13.340689061607108,19.931326663769106,19.931326663769106,0.373895244651827,370.83777936144827,294.6258135356231,0.003739197489571057,0.000579048231029169,0.0008168724884808096,0.5415928903465939,0.9828726053237915,-0.0013816809821700492,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.0694988028408115,1.212050710704935,0.7645955132430994,3.2298957109451294,122.96406520047951,198.68068178192578,240.81106155712416,True,False,0.6120546921165793,0.7944870504913069,0.6977146320526691,3.4872794449329376,198.68068178192578,370.83777936144827,294.6258135356231,True,False,0.3279154667761727,249.2343358438996,0.6720845332238272,157.1197499934531,0.4236886281219788,0.06483715244282572,0.02832059390370768,0.43679576965816264,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_05_old_stale_core,old_stale_core,f81edc5f8438fadb0b5ce62b6fba6fc0aa342de4f80e925e4a448a87b8a4e9d7,3213596281055260906,H1,1.0,22.76792972229665,52.119316578513214,13.340689061607108,19.931326663769106,19.931326663769106,0.3824172681494067,370.0251292417727,292.9351729002821,0.004706350363472418,0.0005744243403877759,0.0008168724884808096,0.5415928903465939,0.9828726053237915,-0.0015696732081417017,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.08481246160918296,1.2143967993983444,0.7573129799202196,3.358404040336609,122.96406520047951,201.77370758517475,245.03334469417368,True,False,0.6149113254754687,0.7916629162471819,0.705750675202023,3.4950065910816193,201.77370758517475,370.0251292417727,292.9351729002821,True,False,0.3353094916324745,245.95219126447324,0.6646905083675256,159.11799123401732,0.4300194193839478,0.06769764724437746,0.03042418266547929,0.44941270345264667,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H1,1.0,22.76792972229665,52.119316578513214,13.118439939768113,19.36976853567317,19.36976853567317,0.3716427959390891,373.59237137677945,281.03152005413705,0.004706350363472418,0.000559407623779962,0.0007006307132542133,0.5130794097597761,0.983128272241441,-0.0014635082008754715,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.07477719571797924,1.202223133036754,0.7474460248061029,3.2897021770477295,122.48960954711163,205.265453646614,246.7748767872429,True,False,0.6697896409554338,0.7522410562572973,0.7092085302235263,3.4165270775556564,205.265453646614,373.59237137677945,281.03152005413705,True,False,0.36800717849739584,236.10769687825962,0.6319928215026043,152.42004703708199,0.40798490203474114,0.0629808966595369,0.02859272758808847,0.45399048131460357,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_03_v_ridge,v_ridge,8c2899cc6b7e6108e365c0dc80e87d6f5a900140bdeb65ad53c67d38d92ee66a,8477898595171751370,H2,1.0,23.657065516340047,53.30724835061556,13.118439939768113,19.36976853567317,19.36976853567317,0.3633608774602882,370.22791971245834,278.45449092811924,0.003739197489571057,0.0005458571016614379,0.0007006307132542133,0.5130794097597761,0.983128272241441,-0.0012817070177865986,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.058662914314779074,1.1996831408781559,0.7551969256097362,3.155867099761963,122.48960954711163,201.9015668290769,242.21790584172788,True,False,0.67088021628771,0.7521164020919439,0.7057897611589691,3.3541591465473175,201.9015668290769,370.22791971245834,278.45449092811924,True,False,0.3658604865033377,234.7761528893397,0.6341395134966623,149.72328326793965,0.40440840708130255,0.05978778467339157,0.026388972901614214,0.44137733227233245,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H1,1.0,22.76792972229665,52.119316578513214,13.098008318204343,19.591877245832755,19.591877245832755,0.3759043389665192,371.20872414507335,277.00135332990095,0.004706350363472418,0.0005920017355322714,0.0006088077257126176,0.6543135303229601,0.9898580167217286,-0.001481666281257947,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.04274550964409956,1.178315098017175,0.7357434040782634,3.4145350456237793,122.55853471925155,210.59711177354285,248.14975640157613,True,False,0.674235090404599,0.7462145561580205,0.7239429334394009,3.3920145630836487,210.59711177354285,371.20872414507335,277.00135332990095,True,False,0.3825124612106093,229.21676144949123,0.6174875387893908,155.52950207987718,0.4189812683903791,0.06460786675261562,0.028623088141790234,0.4430279094554912,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_06_fresh_core,fresh_core,6c1217eb5a590e96480e39223e14a9d3802df01e09356a2780fa3ce20ae3baa6,8564930942381446972,H2,1.0,23.657065516340047,53.30724835061556,13.098008318204343,19.591877245832755,19.591877245832755,0.36752745362078926,367.96222514039613,274.61433513691316,0.003739197489571057,0.0005803011887216845,0.0006088077257126176,0.6543135303229601,0.9898580167217286,-0.0012997409201666993,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.02516279328471508,1.1759137298788565,0.7453226333146058,3.2718727588653564,122.55853471925155,206.31524219587598,242.60892598141217,True,False,0.6754100189338403,0.7463112145061466,0.7185211119386186,3.3393392264842987,206.31524219587598,367.96222514039613,274.61433513691316,True,False,0.37870023637531924,228.61484350253969,0.6212997636246808,152.14560918086514,0.41348159888644526,0.06150016491743967,0.026172857459748865,0.4255737768327024,direction,True
