policy,baseline,metric,task_bucket,paired_samples,mean_delta_policy_minus_baseline,delta_ci95_low,delta_ci95_high,wins,ties,losses
b2_direct_action_generator,qk_pool,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
b2_direct_action_generator,qk_tiered_v,official_score,all,2,0.0,0.0,0.0,0,2,0
b2_direct_action_generator,qk_tiered_v,mean_trajectory_exact_kl,all,2,0.00012572555666622335,1.5261191958833732e-06,0.00024992499413656333,2,0,0
b2_direct_action_generator,qk_tiered_v,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
b2_direct_action_generator,qk_tiered_v,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
b2_direct_action_generator,token_rarity,official_score,all,2,0.32785,0.0,0.6557,1,1,0
b2_direct_action_generator,token_rarity,mean_trajectory_exact_kl,all,2,-0.28696584625402466,-0.5739316662266845,-2.628136489533396e-08,0,0,2
b2_direct_action_generator,token_rarity,rouge_l,GovReport,1,0.006557377049180328,0.006557377049180328,0.006557377049180328,1,0,0
b2_direct_action_generator,token_rarity,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
full_cache,qk_pool,official_score,all,2,0.0,0.0,0.0,0,2,0
full_cache,qk_pool,mean_trajectory_exact_kl,all,2,-0.00022734665498068673,-0.00045276807625782567,-1.9252337035477853e-06,0,0,2
full_cache,qk_pool,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
full_cache,qk_pool,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
full_cache,qk_tiered_v,official_score,all,2,0.0,0.0,0.0,0,2,0
full_cache,qk_tiered_v,mean_trajectory_exact_kl,all,2,-0.00022323562964721784,-0.0004443487194123463,-2.122539882089356e-06,0,0,2
full_cache,qk_tiered_v,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
full_cache,qk_tiered_v,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
full_cache,token_rarity,official_score,all,2,0.32785,0.0,0.6557,1,1,0
full_cache,token_rarity,mean_trajectory_exact_kl,all,2,-0.2873148074403381,-0.5746259399402334,-3.674940442868063e-06,0,0,2
full_cache,token_rarity,rouge_l,GovReport,1,0.006557377049180328,0.006557377049180328,0.006557377049180328,1,0,0
full_cache,token_rarity,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
qk_pool,qk_tiered_v,official_score,all,2,0.0,0.0,0.0,0,2,0
