sample_id,sample_cluster,task,anchor,future_step,global_generation_index,strategy,target_horizon,layer,head,attention_output_relative_error,delta_nll,approx_kl
gov_report:0,gov_report::gov_report:0,gov_report,0,7,6,attention_weighted_v_ridge_leverage,64,14,11,0.19677041471004486,0.28012043024347477,0.3242239474322382
gov_report:0,gov_report::gov_report:0,gov_report,0,7,6,attention_weighted_v_ridge_leverage,64,27,0,0.4098080098628998,0.28012043024347477,0.3242239474322382
gov_report:0,gov_report::gov_report:0,gov_report,0,7,6,attention_weighted_v_ridge_leverage,64,27,11,0.2248091846704483,0.28012043024347477,0.3242239474322382
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,0,0,0.11281748861074448,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,0,11,0.035118646919727325,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,14,0,0.3897503912448883,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,14,11,0.21308273077011108,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,27,0,0.15327176451683044,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,8,7,attention_weighted_v_ridge_leverage,64,27,11,0.16631759703159332,0.4509893879637481,0.1212596853553156
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,0,0,0.0722903460264206,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,0,11,0.03168848901987076,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,14,0,0.20402930676937103,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,14,11,0.241880863904953,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,27,0,0.10668860375881195,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,9,8,attention_weighted_v_ridge_leverage,64,27,11,0.16037476062774658,0.012568921355779139,0.0037508815835135007
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,0,0,0.14452126622200012,-0.26202691764417807,0.2612458318135772
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,0,11,0.12585286796092987,-0.26202691764417807,0.2612458318135772
