sample_id,sample_cluster,task,anchor,horizon_left,horizon_right,mean_jaccard,mean_retention,availability,scope
gov_report:2,gov_report::gov_report:2,gov_report,16,1,64,0.501227212404027,0.6636363636363637,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,16,4,16,0.6525919192210802,0.787012987012987,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,16,4,64,0.5680876596617502,0.7202922077922078,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,16,16,64,0.6899402847659338,0.8137987012987014,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,1,4,0.6623327175756153,0.7920454545454545,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,1,16,0.5701708225315213,0.7209415584415585,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,1,64,0.5396205661133315,0.6961038961038961,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,4,16,0.6653825062842215,0.7961038961038959,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,4,64,0.5463302399207773,0.7038961038961039,available,selected_core_all_28_layers
gov_report:2,gov_report::gov_report:2,gov_report,48,16,64,0.6735013982891026,0.8021103896103897,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,1,4,0.6939640585894676,0.8175324675324677,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,1,16,0.4294594113918621,0.5954545454545456,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,1,64,0.3973749262065723,0.5655844155844155,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,4,16,0.5199103851874923,0.677922077922078,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,4,64,0.46043365356703053,0.6248376623376622,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,0,16,64,0.6797065757866244,0.8063311688311687,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,1,4,0.6776419947684639,0.7987012987012986,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,1,16,0.5921078542293289,0.739935064935065,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,1,64,0.5068216423834125,0.6673701298701299,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,4,16,0.6731165193105734,0.8021103896103894,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,4,64,0.5220337807514988,0.6801948051948052,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,16,16,64,0.6800733957097612,0.8068181818181819,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,1,4,0.6570192391992347,0.7897727272727274,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,1,16,0.5245662969410422,0.683603896103896,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,1,64,0.4322767532818985,0.5967532467532467,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,4,16,0.6314931519780947,0.77012987012987,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,4,64,0.45332847140056565,0.6146103896103898,available,selected_core_all_28_layers
gov_report:3,gov_report::gov_report:3,gov_report,48,16,64,0.571760498360656,0.7214285714285714,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,1,4,0.5473929071168178,0.6993506493506494,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,1,16,0.42221909235589844,0.5886363636363636,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,1,64,0.3154059677249422,0.4732142857142857,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,4,16,0.6430764694276603,0.7808441558441558,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,4,64,0.4370200744183924,0.6008116883116884,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,0,16,64,0.579209439315469,0.7285714285714286,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,1,4,0.6894442085187358,0.812987012987013,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,1,16,0.5241080613007033,0.6839285714285713,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,1,64,0.424545861150078,0.5915584415584415,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,4,16,0.5636805134650273,0.7180194805194805,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,4,64,0.42121490855050087,0.5862012987012987,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,16,16,64,0.5967928410045408,0.7425324675324676,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,48,1,4,0.6785469789294651,0.8071428571428572,available,selected_core_all_28_layers
