policy,feature,label,n,n_positive,spearman,rank_auc,precision_at_0.05,benefit_alerted_at_0.05,benefit_nonalerted_at_0.05,benefit_lift_at_0.05,precision_at_0.1,benefit_alerted_at_0.1,benefit_nonalerted_at_0.1,benefit_lift_at_0.1,precision_at_0.25,benefit_alerted_at_0.25,benefit_nonalerted_at_0.25,benefit_lift_at_0.25
ALL,churn_jaccard_mean,tail_event,504,10,-0.029472988640506965,0.5153846153846154,0.0,0.0036716685007016016,-0.003182626356895657,0.006854294857597259,0.0,-0.012387986527365053,-0.0017913810265797955,-0.010596605500785257,0.0,-0.006247723853840967,-0.0017076008117765027,-0.004540123042064464
ALL,churn_jaccard_mean,any_benefit,504,248,-0.029472988640506965,0.4793976814516129,0.6,0.0036716685007016016,-0.003182626356895657,0.006854294857597259,0.48,-0.012387986527365053,-0.0017913810265797955,-0.010596605500785257,0.49206349206349204,-0.006247723853840967,-0.0017076008117765027,-0.004540123042064464
ALL,churn_jaccard_min,tail_event,504,10,-0.028076319623902068,0.5107287449392712,0.0,0.0036716685007016016,-0.003182626356895657,0.006854294857597259,0.0,-0.012387986527365053,-0.0017913810265797955,-0.010596605500785257,0.0,-0.006247723853840967,-0.0017076008117765027,-0.004540123042064464
ALL,churn_jaccard_min,any_benefit,504,248,-0.028076319623902068,0.48021673387096775,0.6,0.0036716685007016016,-0.003182626356895657,0.006854294857597259,0.48,-0.012387986527365053,-0.0017913810265797955,-0.010596605500785257,0.49206349206349204,-0.006247723853840967,-0.0017076008117765027,-0.004540123042064464
ALL,churn_jaccard_max,tail_event,504,10,,0.5,0.0,0.0024112817882184687,-0.0031168441693965373,0.0055281259576150064,0.0,-0.010347982864136695,-0.002016051033543271,-0.008331931830593425,0.0,-0.006346304164265612,-0.001674740708301621,-0.004671563455963991
ALL,churn_jaccard_max,any_benefit,504,248,,0.5,0.6,0.0024112817882184687,-0.0031168441693965373,0.0055281259576150064,0.52,-0.010347982864136695,-0.002016051033543271,-0.008331931830593425,0.49206349206349204,-0.006346304164265612,-0.001674740708301621,-0.004671563455963991
ALL,score_tv_mean,tail_event,504,10,0.04069201012688604,0.6261133603238866,0.0,-0.030070260451561203,-0.0014215653468610642,-0.02864869510470014,0.02,-0.017302620208078674,-0.0012501218106421722,-0.016052498397436502,0.031746031746031744,-0.0097383980217069,-0.0005440427558211918,-0.009194355265885709
ALL,score_tv_mean,any_benefit,504,248,0.04069201012688604,0.544465095766129,0.6,-0.030070260451561203,-0.0014215653468610642,-0.02864869510470014,0.58,-0.017302620208078674,-0.0012501218106421722,-0.016052498397436502,0.5396825396825397,-0.0097383980217069,-0.0005440427558211918,-0.009194355265885709
ALL,boundary_margin_mean,tail_event,512,10,0.004981069308058394,0.5061752988047808,0.0,0.0014514419135705258,-0.0030255633789882993,0.004477005292558825,0.0,-0.000636588985843414,-0.003037354173877366,0.002400765188033952,0.0,-0.003068722426684373,-0.0027080464630726045,-0.0003606759636117685
ALL,boundary_margin_mean,any_benefit,512,248,0.004981069308058394,0.5162054007820137,0.5769230769230769,0.0014514419135705258,-0.0030255633789882993,0.004477005292558825,0.49019607843137253,-0.000636588985843414,-0.003037354173877366,0.002400765188033952,0.4921875,-0.003068722426684373,-0.0027080464630726045,-0.0003606759636117685
