policy,samples,mean_trajectory_kl,median_trajectory_kl,p95_trajectory_kl,mean_official_score,mean_niah,source
teacher_panel,10,0.23215639493562223,0.187376663491583,0.4013729999829561,52.93378,1.0,teacher
a2_temporal_volatility,10,0.2637625886835279,0.1038672369786232,0.7822427461571455,52.99619,1.0,cheap-p35
attention,10,0.09758068291238264,0.03879517008487665,0.27359626511990276,52.748720000000006,1.0,cheap-p35
b2_uniform,10,0.0960895936624186,0.06458111448699055,0.2556737253001337,53.059180000000005,1.0,cheap-p35
dynamic_b3,10,0.11877535443925784,0.0819573717111643,0.31399835147873684,53.15712,1.0,cheap-p35
snapkv,10,0.15963503570223847,0.12965482928771146,0.32597416867687923,43.044,0.8,cheap-p35
