sample_id,sample_cluster,task,anchor,strategy,layer,lag,top_core_jaccard,selection_boundary_margin_anchor,selection_boundary_margin_future,selected_core_retention,selected_core_turnover,selected_core_replacements_estimate,sink_jaccard,recent_jaccard,whole_cache_jaccard,set_scope,unavailable_metrics
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0,4,1.0,0.0013143569231033325,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0,8,0.9819819819819819,0.0013143569231033325,0.0003563612699508667,0.9909090909090909,0.00909090909090915,2.000000000000013,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0,16,0.9730941704035875,0.0013143569231033325,0.0003306567668914795,0.9863636363636364,0.013636363636363558,2.9999999999999827,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0,32,0.9469026548672567,0.0013143569231033325,0.0010094493627548218,0.9727272727272728,0.027272727272727226,5.999999999999989,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0,64,0.9047619047619048,0.0013143569231033325,0.0,0.9500000000000001,0.04999999999999993,10.999999999999986,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,1,0.9909502262443439,0.0001612156629562378,7.355213165283203e-05,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,4,0.9819819819819819,0.0001612156629562378,5.412101745605469e-05,0.9909090909090909,0.00909090909090915,2.000000000000013,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,8,0.9642857142857143,0.0001612156629562378,6.03795051574707e-05,0.9818181818181818,0.018181818181818188,4.000000000000002,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,16,0.9298245614035088,0.0001612156629562378,3.129243850708008e-05,0.9636363636363636,0.036363636363636376,8.000000000000004,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,32,0.9047619047619048,0.0001612156629562378,0.0001923888921737671,0.9500000000000001,0.04999999999999993,10.999999999999986,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
