sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,x_value,y_value,relationship,x_metric,y_metric
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,14.0,,16.0,8.517800154095312e-07,0.10642596576509722,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,14.0,,32.0,8.106425468668021e-07,0.2871624651129434,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,14.0,,64.0,8.234315487243293e-07,0.2141797327823175,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,1.0,8.828811530747771e-07,0.042440463620920826,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,4.0,8.875919377260288e-07,0.19055551424370856,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,8.0,9.053977976236638e-07,0.39768946224772717,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,16.0,7.65273085789886e-07,0.6509576371807388,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,32.0,8.74339065148888e-07,0.5191758154401954,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,snapkv,27.0,,64.0,9.346210845251335e-07,0.5830040077624038,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,1.0,8.317857123074646e-07,0.010527816151053545,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,4.0,8.64815632439786e-07,0.011922988023480964,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,8.0,9.328833812105586e-07,0.019249648329358143,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,16.0,8.06625166660524e-07,0.02722991287431243,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,32.0,7.576102802886453e-07,0.07182864719545867,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,0.0,,64.0,8.054284705849568e-07,0.10256390577145406,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,1.0,9.149555069143389e-07,0.003024437928027001,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,4.0,1.001916814402648e-06,0.006803612844535889,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,8.0,9.177408628602279e-07,0.011983386891591206,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,16.0,8.957424597610952e-07,0.023982856975858276,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,32.0,8.617033131486096e-07,0.04574805106579253,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14.0,,64.0,7.541104594110948e-07,0.07520318265247794,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,1.0,9.60344834766147e-07,0.004360414333156517,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,4.0,1.0017975284881686e-06,0.0056793977864317965,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,8.0,9.252924826341768e-07,0.009127175473443461,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,16.0,1.0130025884791394e-06,0.01423084197750432,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,32.0,1.0405290140624857e-06,0.04916965023244989,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27.0,,64.0,9.110782741572621e-07,0.07800389552620188,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,1.0,9.342414273305621e-07,0.01361889226979373,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,4.0,8.793895176495425e-07,0.02392663806951739,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
