token_class,rows,mean_attn,mean_fut_attn_4,spearman_attn_future,partial_delta_given_attn,revival_4_rate
capitalized,2282076,0.00019196223520197828,0.00019010309979511147,0.8671620588017692,-0.083492929121566,0.13917678464696182
common,14829300,0.00022710568440473112,0.00022692401443982424,0.8721928941708188,-0.05703261427732665,0.09547868071992609
generated,167400,0.0020204972808684357,0.0019472550752696813,0.850524557675668,-0.10267883434479623,0.032347670250896056
numeric,479808,0.000355382434784898,0.0003197768769807192,0.881092318956235,-0.04659801203655754,0.11195103041216486
punctuation,2502720,0.0002806804361701366,0.0002771125299996958,0.9083678860654556,-0.1470476204040756,0.1364075885436645
rare,4552992,0.00038336239366544567,0.0003775642328648603,0.8444913684608253,-0.08847703257098763,0.1548911133601816
structural,133416,0.001813671087295866,0.0018025532606526268,0.9039665991765365,-0.035457151287661394,0.111493374108053
