arm,mean_kl,median_kl,p95_step_kl,mean_niah,mean_gov_official
qk_pool_256,0.008622821484542699,0.00886767461713985,0.05092808585613961,1.0,5.82952
qk_tiered_v_256,0.00814224756856026,0.0081888918743166,0.04006567504256957,1.0,6.22386
qk_pool_352,0.00430389797103557,0.0045440553532412,0.022310131043195697,1.0,6.02216
qk_tiered_v_352,0.00484457691626249,0.0044141913001064,0.02430067239329216,1.0,6.16292
