horizon,model,eval_set,test_spearman,test_r2
1,qk_only,heldout,0.8954397700788435,0.8017491084345395
1,qk_plus_v,heldout,0.897051382674939,0.8047226077547986
2,qk_only,heldout,0.8924443876253249,0.7963804205103964
2,qk_plus_v,heldout,0.8944877571051604,0.8000552415772734
4,qk_only,heldout,0.8823330974138952,0.7783976808369665
4,qk_plus_v,heldout,0.8853302125878796,0.783663297107728
8,qk_only,heldout,0.8597161459777849,0.7389757098953196
8,qk_plus_v,heldout,0.8647238905408239,0.7474345322561271
