candidate,rows,mean_kl,median_kl,p95_kl,mean_oracle_regret,regret_positive_fraction,mean_risk_rank,selected_fraction,min_kl_fraction
a2_temporal_volatility,640,0.23605579793443382,0.001454841229133308,1.0973285615444157,0.0038994029988115276,0.7375,2.4453125,0.0765625,0.0015625
b2_uniform,640,0.23606100769402188,0.0014366405084729195,1.0967004060745214,0.003904612758399639,0.746875,2.4109375,0.0453125,0.0015625
attention,640,0.23606580332035715,0.001482249761465937,1.0968476057052585,0.003909408384734851,0.7421875,2.4640625,0.053125,0.0015625
uniform,640,0.2362042517594542,0.001834715309087187,1.1288267791271207,0.004047856823831926,0.640625,2.715625,0.209375,0.0015625
snapkv,640,0.23641084515511118,0.0014295673463493586,1.0969754397869083,0.004254450219488934,0.64375,2.5984375,0.175,0.0015625
stale_prev,630,0.24040568895638348,0.001920028356835246,1.1416208565235137,0.004572079511017265,0.42698412698412697,2.323809523809524,0.44761904761904764,0.0015873015873015873
