layer,head,spearman_attn_delta,var_log_attn,var_log_pv
0,0,0.9963464668071877,2.7712500636637296,0.025125016055816327
0,1,0.9778559077291363,12.392027471932064,0.09560195998797193
0,2,0.995508565120711,11.210877663338264,0.033739229880394954
0,3,0.9918346799255204,8.762645659631968,0.08451447003887183
0,4,0.9685234610876128,21.980308639243283,0.08957836072798672
0,5,0.9793984900854459,12.576169782794713,0.1945423643114788
0,6,0.9846347366971575,3.2514864907539036,0.04025418453232782
0,7,0.955400425823854,6.027398155160464,0.099756396108104
1,0,0.9671601522923312,5.597023500440453,0.6127931361801044
1,1,0.983445005602553,3.583202584728928,0.13277433506403163
1,2,0.9584775504665136,3.6094144769282406,0.3810900673811835
1,3,0.9261451554666222,7.892699829432163,0.6561696299401246
1,4,0.970570880312768,2.7368244821344123,0.083722512316329
1,5,0.9836384073081543,3.6702552140157536,0.17530055192664074
1,6,0.9740910206064312,5.576536337585225,0.4008812088050406
1,7,0.9607671710840515,6.411720987801819,0.22267632061997336
2,0,0.9873980015874743,8.394220582608042,0.3768873411128662
2,1,0.9942443295078691,11.495743718860322,0.31628675638946796
2,2,0.9849460244308331,6.280934648470774,0.42007915090252945
2,3,0.9868621163570728,5.119989307412257,0.24197124253195823
2,4,0.9873853316407634,7.2138398527836785,0.3819715990586442
2,5,0.9792976350680485,7.458012512854948,0.49121827976064436
2,6,0.9886540057552574,4.290143199141379,0.15322871389921786
2,7,0.9843004456520188,5.254752611272584,0.16306436835690344
3,0,0.9950654831541947,6.293126112204031,0.401266545048803
3,1,0.9943001363826345,13.93775749206496,0.2884443982252951
3,2,0.9954640827832962,13.939012558330237,0.3653214138912861
3,3,0.9940181451393627,24.48645869062194,0.5843102884972619
3,4,0.9948091240560231,17.71699471451938,0.4607256815701988
3,5,0.9978241542773686,37.58284143279618,0.44886471216555435
3,6,0.9873154769381618,11.109760550338185,0.7435536288940054
3,7,0.991852370350047,22.829069262346312,0.5921504651339717
4,0,0.9945925956991022,14.430806777206984,0.6403553075819862
4,1,0.9965737403988199,23.268743956311216,0.3981290215529938
4,2,0.9886236245292368,30.29206941856937,0.691577662368981
4,3,0.9938467026956124,35.41362306667613,0.6105724928916522
4,4,0.9940985629658735,44.167677582968494,0.8108900230054256
4,5,0.9960837744547126,14.680293208084217,0.378390758581354
4,6,0.9942229772195066,24.956942903283842,0.39516178302731086
4,7,0.9903714376377798,8.459546804182928,0.4187972443716595
5,0,0.9943674304658061,7.122169358059166,0.15689001424544508
5,1,0.9910626123259,7.724046457746378,0.22969478462658638
5,2,0.9878524727395731,7.2040355573308235,0.6272641861689099
5,3,0.9906925198713522,7.698429482343145,0.35231266954478807
5,4,0.9984479751956454,38.3619899193621,0.35638999601481886
