bucket,feature,rows,spearman_raw,partial_spearman_given_attn,partial_spearman_attn_given_feature
deep_inside,delta,3594240,0.30585663710382743,-0.05320761119457885,0.7054766854045592
deep_inside,pv,3594240,-0.2695435882806207,-0.07632151046514662,0.7090484961315617
deep_inside,vn,3594240,-0.2695304043214545,-0.07658562980076196,0.709083395577278
deep_inside,apv,3594240,0.29907926535598883,-0.06525998926507746,0.7071901892283949
near_inside,delta,1105920,0.025287951394871184,-0.08455121935496786,0.6566479447096091
near_inside,pv,1105920,-0.3505056742111298,-0.07747860310956371,0.592933348221887
near_inside,vn,1105920,-0.3531377305537031,-0.07867611320383133,0.5920192993314872
near_inside,apv,1105920,0.020665774621999023,-0.09578393077340513,0.6575503862120964
boundary_in,delta,368640,0.028115486475364212,-0.08441148806807475,0.6679885188805363
boundary_in,pv,368640,-0.36686686643744193,-0.07801142135592702,0.6012764048325178
boundary_in,vn,368640,-0.36979271756580673,-0.07932971783276703,0.6002068035802858
boundary_in,apv,368640,0.02328946903027866,-0.0955311620027158,0.6688536653192505
boundary_out,delta,368640,0.03613523458053647,-0.08101512293361589,0.6757924936705708
boundary_out,pv,368640,-0.37278651472516294,-0.07582425579436375,0.6092978036228162
boundary_out,vn,368640,-0.3758453499529053,-0.07728596089135568,0.6081871035104317
boundary_out,apv,368640,0.03155202123668061,-0.09183231982761267,0.6765999812501663
near_out,delta,1105920,0.05976921082376722,-0.06984021595100809,0.6866769113743856
near_out,pv,1105920,-0.3760366750562568,-0.06599758688440596,0.6239799818919505
near_out,vn,1105920,-0.3792390586753865,-0.06747556852352517,0.6227902623463665
near_out,apv,1105920,0.05539054990642125,-0.08027596638796962,0.6873990127215606
far_out,delta,18404352,0.4776078262068659,-0.07060681009168539,0.7772615366527909
far_out,pv,18404352,-0.4031226157831385,-0.09253968251012888,0.8072469280385595
far_out,vn,18404352,-0.4073507782755055,-0.0949602390702635,0.8063696041759121
far_out,apv,18404352,0.47735940619391815,-0.0767202300009321,0.7782963825430899
