cycle,var_log_attn,var_log_pv,var_log_delta
q1,3.885522597842971,1.7988132125831486,3.8202994219576385
q2,4.181230567022128,1.799030540753063,4.141007533663819
q3,3.3641047164498743,1.8005649655191025,3.655330398488937
q4,4.420204844933987,1.8009132523903586,4.56516492914585
