offset,mean,median,size
1,8.94374747975541e-06,4.031214449165717e-15,48
2,-4.266057679389696e-05,5.036977779315777e-13,48
4,0.0002848578992284787,-3.0568603204272904e-13,48
8,8.618054905403358e-05,2.7650729877417776e-15,48
16,5.665619572161018e-06,1.8474132474992876e-14,48
32,-2.4582739949763388e-05,-6.169771047141379e-16,48
