record_scope,sample_id,sample_cluster,task,strategy,stale_anchor,refresh_anchor,refresh_lag,stale_future_step,global_generation_index,target_horizon_condition,same_reference_token_verified,reference_token_id,reference_token_position,stale_loss,refreshed_loss,refresh_benefit,stale_approx_kl,refreshed_approx_kl,refresh_benefit_approx_kl,stale_attention_output_error,refreshed_attention_output_error,refresh_benefit_attention_output_error,layer,head,metric,counterfactual_scope
global_output,gov_report:3,gov_report::gov_report:3,gov_report,future_attention_oracle,0,16,16,17,16,64,True,35654.0,911.0,-0.0009728419146561862,0.001504107330081439,-0.002476949244737625,0.000675678159487337,0.0010228729892547018,-0.00034719482976736473,0.1558887461821238,0.14071134477853775,0.01517740140358606,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:3,gov_report::gov_report:3,gov_report,snapkv,0,16,16,17,16,64,True,35654.0,911.0,-0.017398403074505353,-0.008326080676081205,-0.009072322398424149,0.054057963572781836,0.004544562644078078,0.04951340092870376,0.31835453522702056,0.20331363007426262,0.11504090515275794,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:3,gov_report::gov_report:3,gov_report,v_ridge_leverage,0,16,16,17,16,64,True,35654.0,911.0,4.616108420256612,3.3428492573537802,1.273259162902832,4.275138049777893,3.044073477586826,1.231064572191067,0.37335381532708806,0.38191928528249264,-0.008565469955404581,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:4,gov_report::gov_report:4,gov_report,attention_weighted_v_ridge_leverage,0,16,16,17,16,64,True,320.0,997.0,0.004615702264548105,0.00375108566933946,0.0008646165952086449,0.001075940726770838,0.0007823633618179876,0.00029357736495285044,0.2798785964647929,0.17692767021556696,0.10295092624922594,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:4,gov_report::gov_report:4,gov_report,future_attention_oracle,0,16,16,17,16,64,True,320.0,997.0,-0.0009451307649008811,-0.0017556533510081351,0.000810522586107254,0.0001552503413614003,0.00021672091470479124,-6.147057334339093e-05,0.15425918127099672,0.11103672875712316,0.04322245251387356,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:4,gov_report::gov_report:4,gov_report,snapkv,0,16,16,17,16,64,True,320.0,997.0,0.0011125174989707887,-0.0014807539353363097,0.0025932714343070984,0.0015481266422336458,0.0006073037095803225,0.0009408229326533233,0.2779540146390597,0.2459426587447524,0.032011355894307314,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,gov_report:4,gov_report::gov_report:4,gov_report,v_ridge_leverage,0,16,16,17,16,64,True,320.0,997.0,0.24491464492732362,0.0943872198169835,0.15052742511034012,0.2145977671358636,0.07252595641723654,0.14207181071862707,0.4286535494029522,0.5073873400688171,-0.07873379066586494,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,attention_weighted_v_ridge_leverage,0,16,16,17,16,64,True,24308.0,504.0,0.000561689743133087,0.00018352865643223026,0.0003781610867008567,0.00013807401312357793,1.2319455138865837e-05,0.0001257545579847121,0.17874480100969473,0.10611339534322421,0.07263140566647051,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,future_attention_oracle,0,16,16,17,16,64,True,24308.0,504.0,0.00029087522468884686,7.569430797715881e-05,0.00021518091671168804,5.753159399726037e-05,2.4080304602568344e-06,5.5123563537003534e-05,0.1403571187208096,0.025493710457036894,0.11486340826377271,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,snapkv,0,16,16,17,16,64,True,24308.0,504.0,-0.0002029908175451567,-0.00020596732449362776,2.9765069484710693e-06,4.3030247737496404e-05,1.707166250096329e-05,2.5958585236533115e-05,0.16095603567858538,0.04469126959641775,0.11626476608216763,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
