layer,partial_delta_given_attn,partial_pv_given_attn,spearman_attn_future
0,-0.019994239985949003,-0.12370145983200258,0.8384621656492145
1,-0.10212242772534737,-0.14387237511878842,0.8850849073099071
2,0.09703000502343921,0.030665701316694993,0.862924133490286
3,0.016333270738274355,-0.012648252162533758,0.8551132840246018
4,0.023967526914295507,0.07585191634087152,0.9088566286190727
5,0.11495042667889288,0.05681531853251192,0.851585647039024
6,0.01963366724241274,-0.0033580691956011425,0.9022805544411945
7,0.14992153087394733,0.1385994600163566,0.823067954051301
8,0.284369339115038,0.2191149910959839,0.8816965793092346
9,0.21701393116075515,0.16055567611592972,0.8472753817456489
10,0.2431858639426477,0.17811448684721093,0.8782718171930026
11,0.22360253118909665,0.17762803102280447,0.8394563433845561
12,0.09780233585027188,0.19550021701200543,0.8486024836239986
13,0.19505210796172026,0.16589874558337148,0.8340003168509528
14,0.26105131739899473,0.22863893503977112,0.8737594364868356
15,0.21842892197795188,0.1788645146766699,0.8325448134172069
16,0.28211095239054346,0.24253099746569892,0.8729470013940879
17,0.1876511056587198,0.19908054524648677,0.8537011615638604
18,0.27168945408458856,0.23293280873378558,0.86097938607817
19,0.1663309119942203,0.15964759646334784,0.8535295450496648
20,0.1942754812044367,0.17639467655328142,0.8444726660149205
21,0.20997541412223175,0.17581415088907484,0.8750781469609189
22,0.15714654655019672,0.15134263385997943,0.8938410203050481
23,0.1824537292386874,0.18021215864627957,0.8625685472378906
24,0.014397159291053844,0.12932279083391487,0.8880853255549802
25,0.1329791909191384,0.1930378426646399,0.9072205072029834
26,0.14856486244429765,0.14240077095701825,0.8906913961600555
27,0.21670354168948233,0.1944045411714816,0.9118646359456996
28,0.08017890632323935,0.13777766792401103,0.863091134236803
29,0.06336400592211848,0.051060550016600134,0.8704705424258719
30,0.10384964509486028,0.14965685404890042,0.9056422320232457
31,0.148335437543407,0.06922130892383996,0.8626032715487039
32,0.0657635513319797,0.030529821202525387,0.8521782077461536
33,0.09579372980620471,0.05106888106204485,0.8650911749646362
34,0.04074252783104643,0.0554640917599569,0.8260691456732351
35,-0.02553421926786556,-0.07381680063461712,0.8842446660304435
