sample_id,cycle,layer,pool,mass_k28,mass_k92,mass_k156,mass_k220,mass_k284
gov_report:86,0,0,911,0.546542890303169,0.6889421843215177,0.7540608764689192,0.7976636239118433,0.8318092781085517
gov_report:86,0,1,911,0.671259779534672,0.8258795272854844,0.8763618640146194,0.9068615103028617,0.9282120085606844
gov_report:86,0,2,911,0.7521242591115027,0.8610084059084911,0.8900288605139235,0.9101663607948932,0.9263366778873001
gov_report:86,0,3,911,0.7990795235227096,0.9018005305245868,0.9256764729189404,0.9404812021978628,0.9517266503455558
gov_report:86,0,4,911,0.8371147013775208,0.9261429652659185,0.9462336351274541,0.9586871820951255,0.967872258359627
gov_report:86,0,5,911,0.7960925921818932,0.8845102606393358,0.9152010778161845,0.9354436708026626,0.9497391416980351
gov_report:86,0,6,911,0.6963512659731741,0.8280451627228022,0.8719136381406105,0.9009834754834188,0.921957944253811
gov_report:86,0,7,911,0.9301676917437108,0.957972538858404,0.9678892435713947,0.9744918336162273,0.9794269559780472
gov_report:86,0,8,911,0.9467209845225214,0.9732158752219519,0.9797167271153099,0.9838254745591793,0.9869921013858649
gov_report:86,0,9,911,0.9803812696312164,0.9922851113820204,0.9940854279838399,0.9952535837940745,0.9961499326065787
gov_report:86,0,10,911,0.9713781874138799,0.9833610544544102,0.9870346894194274,0.9896899649261787,0.9917424374696894
gov_report:86,0,11,911,0.949018906536836,0.9810967028941823,0.9859714140871552,0.9891094593829824,0.9913716862483632
gov_report:86,0,12,911,0.9513251413288314,0.9863203826139377,0.9907163438752379,0.9929057288131818,0.9944213184332032
gov_report:86,0,13,911,0.9605818866148332,0.9918123815386025,0.9946992758187831,0.9960943147642698,0.9970177481025351
gov_report:86,0,14,911,0.9587288291483509,0.9877231627997131,0.9909369070491326,0.9929068695092321,0.9944110318164566
gov_report:86,0,15,911,0.9316543210487056,0.9768566745853859,0.9851829078738196,0.9893130351635205,0.9919944287682202
gov_report:86,0,16,911,0.8766577259890721,0.9772511922710212,0.9856814713484481,0.9897083510878574,0.9923271585941953
gov_report:86,0,17,911,0.9348784608156502,0.9902236950995347,0.9946574061420237,0.9964416339054597,0.9974723742756002
gov_report:86,0,18,911,0.8987582046384615,0.9897392923820515,0.9948090520621565,0.9964863888264257,0.9974832865223965
gov_report:86,0,19,911,0.9305077646255221,0.9882299965122012,0.9926287360571279,0.9947684320641743,0.9961596450839864
gov_report:86,0,20,911,0.9400142269554668,0.9904461397169542,0.9939269941305637,0.9957034662403532,0.9968909361118526
gov_report:86,0,21,911,0.8793304816676037,0.9730149192341544,0.9835635525009462,0.9885811102718353,0.9916812118444557
gov_report:86,0,22,911,0.8931515488329925,0.9695335338158789,0.9808043736086572,0.9864024916298534,0.9899140357396272
gov_report:86,0,23,911,0.877451889216836,0.9741553063391637,0.9871617125547997,0.9923572683729425,0.9950532097847847
gov_report:86,0,24,911,0.859845838326505,0.9601432458333751,0.977949269061411,0.9859412414336515,0.9907789168183123
gov_report:86,0,25,911,0.9379018824253792,0.9766130588064673,0.9854229911624784,0.9900610127470071,0.9928528720215746
gov_report:86,0,26,911,0.9440638877100326,0.9789424955854963,0.9874031252478881,0.9915129133446904,0.9938826939677042
gov_report:86,0,27,911,0.9357661303027591,0.9727009194345371,0.9832807337224667,0.9885206015623796,0.9918874228228479
gov_report:86,0,28,911,0.9091383394732494,0.960631684742201,0.9753910566120055,0.9834086247534568,0.9880055588399302
gov_report:86,0,29,911,0.9501148710409404,0.9793661696421442,0.9874860352283886,0.9919092407641139,0.9944011082801455
gov_report:86,0,30,911,0.9603116838067898,0.9841744465365916,0.9902392347262245,0.9932541947786444,0.9951750040668126
gov_report:86,0,31,911,0.9277753239965106,0.9685767530273082,0.9809354026774573,0.9872246413709875,0.991140745991024
gov_report:86,0,32,911,0.9449140496232266,0.9737378539873298,0.9830320109903209,0.9878385859596842,0.9910568126870399
gov_report:86,0,33,911,0.9094578415067608,0.9633174832599993,0.977660866805939,0.9852890335912298,0.9901293545054184
gov_report:86,0,34,911,0.8929657375592946,0.9485923373921213,0.967516724358721,0.9772792060415703,0.9834806381130135
gov_report:86,0,35,911,0.9128251531663973,0.9407520998580767,0.954502392644492,0.9643409189898076,0.9716862073527724
gov_report:86,1,0,912,0.5347674606993117,0.6903511532456821,0.7621282513280245,0.8090496564974192,0.8450877903570528
gov_report:86,1,1,912,0.5842311163678888,0.7634509143157827,0.8301258189852099,0.8703078793620582,0.8985448795828517
gov_report:86,1,2,912,0.7652067794700425,0.8713462270874968,0.896348372345842,0.9148146660791276,0.9300325205911013
gov_report:86,1,3,912,0.8013083521707847,0.9044735934340241,0.9316225439780301,0.9480165254640829,0.959775116345217
gov_report:86,1,4,912,0.8514187662522087,0.9291160419558848,0.9497126658356871,0.9618440730942719,0.9706049684540682
gov_report:86,1,5,912,0.8288849793342474,0.9073683723081906,0.932831673920893,0.9479315347448972,0.9587520121574947
gov_report:86,1,6,912,0.7343918675012553,0.8530546019126222,0.8906354237011945,0.9136025745942876,0.9300875193345102
