sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,0,0,0.6379399796288788,0.6815488286605307,0.6909090909090909,0.04360884903165185
synthetic_niah_86,niah_single_1,0,0,1,0.7398765382056319,0.7997119587300677,0.5863636363636363,0.0598354205244358
synthetic_niah_86,niah_single_1,0,0,2,0.8058295369462859,0.8498983461431836,0.5590909090909091,0.04406880919689771
synthetic_niah_86,niah_single_1,0,0,3,0.8974593159706499,0.9361156135310885,0.4727272727272727,0.038656297560438646
synthetic_niah_86,niah_single_1,0,0,4,0.9072187094578275,0.9412834082827563,0.6545454545454545,0.034064698824928796
synthetic_niah_86,niah_single_1,0,0,5,0.7562379168429628,0.8122040983600722,0.6454545454545455,0.055966181517109415
synthetic_niah_86,niah_single_1,0,0,6,0.7390490351576406,0.8090251003695071,0.5227272727272727,0.0699760652118665
synthetic_niah_86,niah_single_1,0,0,7,0.7791184090004436,0.8098879344833743,0.6636363636363637,0.03076952548293066
synthetic_niah_86,niah_single_1,0,1,0,0.8710168277891333,0.8973547301801909,0.5681818181818182,0.0263379023910576
synthetic_niah_86,niah_single_1,0,1,1,0.8393668883338778,0.8751339349891285,0.5363636363636364,0.035767046655250656
synthetic_niah_86,niah_single_1,0,1,2,0.8823200175265136,0.906687168145114,0.7454545454545455,0.024367150618600397
synthetic_niah_86,niah_single_1,0,1,3,0.7938510939321248,0.835713150754457,0.6181818181818182,0.04186205682233213
synthetic_niah_86,niah_single_1,0,1,4,0.7466408461647159,0.7871366627587996,0.6363636363636364,0.04049581659408363
synthetic_niah_86,niah_single_1,0,1,5,0.847898974781112,0.8966925091671032,0.6318181818181818,0.04879353438599121
synthetic_niah_86,niah_single_1,0,1,6,0.8161541458947076,0.8578546146124612,0.5272727272727272,0.04170046871775357
synthetic_niah_86,niah_single_1,0,1,7,0.7087019964073404,0.837522848026247,0.5227272727272727,0.12882085161890655
synthetic_niah_86,niah_single_1,0,2,0,0.9469635799351309,0.959532310055148,0.6590909090909091,0.012568730120017135
synthetic_niah_86,niah_single_1,0,2,1,0.9101931591816877,0.9335043538971065,0.6363636363636364,0.02331119471541876
synthetic_niah_86,niah_single_1,0,2,2,0.9203587317005265,0.9372747573906561,0.6227272727272727,0.01691602569012962
synthetic_niah_86,niah_single_1,0,2,3,0.9167548038644708,0.9228889126155005,0.6818181818181818,0.00613410875102971
synthetic_niah_86,niah_single_1,0,2,4,0.9793939638454875,0.9857779007426162,0.55,0.006383936897128684
synthetic_niah_86,niah_single_1,0,2,5,0.9489392737388334,0.9737729071189677,0.6,0.024833633380134335
synthetic_niah_86,niah_single_1,0,2,6,0.8706581280056052,0.9188674480285577,0.38636363636363635,0.04820932002295253
synthetic_niah_86,niah_single_1,0,2,7,0.893083040429578,0.9095881636257205,0.42727272727272725,0.0165051231961425
synthetic_niah_86,niah_single_1,0,3,0,0.8595895780517009,0.8966522959604848,0.4590909090909091,0.037062717908783904
synthetic_niah_86,niah_single_1,0,3,1,0.9965935067336367,0.9975246826815372,0.6727272727272727,0.0009311759479004866
synthetic_niah_86,niah_single_1,0,3,2,0.9834369427449504,0.9894390028785559,0.5590909090909091,0.006002060133605491
synthetic_niah_86,niah_single_1,0,3,3,0.9886908338855244,0.9967763330058851,0.6590909090909091,0.008085499120360717
synthetic_niah_86,niah_single_1,0,3,4,0.9943442077437133,0.9956662320539762,0.740909090909091,0.0013220243102628482
synthetic_niah_86,niah_single_1,0,3,5,0.995020788591238,0.9976392221203321,0.7,0.0026184335290940774
synthetic_niah_86,niah_single_1,0,3,6,0.9914079701727995,0.9949190587567915,0.5363636363636364,0.0035110885839920725
synthetic_niah_86,niah_single_1,0,3,7,0.9934598914955813,0.9973486297509364,0.6136363636363636,0.003888738255355073
synthetic_niah_86,niah_single_1,0,4,0,0.9975589797608319,0.9978139959490745,0.8954545454545455,0.0002550161882426405
synthetic_niah_86,niah_single_1,0,4,1,0.9970200277930649,0.9990547064410641,0.4409090909090909,0.002034678647999222
synthetic_niah_86,niah_single_1,0,4,2,0.988150011921923,0.9896250075170417,0.8,0.0014749955951187665
synthetic_niah_86,niah_single_1,0,4,3,0.994228444648644,0.9965796640685399,0.5363636363636364,0.0023512194198959113
synthetic_niah_86,niah_single_1,0,4,4,0.9962849226804031,0.9974955254621338,0.7090909090909091,0.0012106027817306853
synthetic_niah_86,niah_single_1,0,4,5,0.9852201463056597,0.9859291402591996,0.8772727272727273,0.0007089939535399603
synthetic_niah_86,niah_single_1,0,4,6,0.9819818341740608,0.9855230468130151,0.5,0.0035412126389542387
synthetic_niah_86,niah_single_1,0,4,7,0.9934735614393676,0.9947902517800631,0.8,0.001316690340695481
