sample_id,sample_cluster,task,anchor,strategy,layer,head,singular_value_rank,singular_value,spectrum_scope
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,1,266.15203857421875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,2,221.44227600097656,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,3,192.58877563476562,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,4,174.589111328125,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,5,174.091064453125,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,6,154.55551147460938,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,7,148.31072998046875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,8,140.02659606933594,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,1,85.8519058227539,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,2,39.33211898803711,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,3,24.224937438964844,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,4,21.378381729125977,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,5,19.663427352905273,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,6,18.888275146484375,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,7,17.924917221069336,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,0,8,17.538349151611328,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,1,42.64251708984375,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,2,33.118526458740234,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,3,24.460290908813477,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,4,23.582674026489258,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,5,22.14893913269043,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,6,20.732131958007812,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,7,19.680543899536133,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,8,18.935029983520508,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,1,159.9712677001953,selected_core_at_anchor_first_8_values
