rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:churn_jaccard_mean*churn_x_1minus_margin,synthetic_niah_96,0.5407627037169644,0.0,,,,,-0.006247143161698962,False
and:churn_jaccard_mean&tv_x_churn,gov_report:96,0.5912698412698413,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:churn_jaccard_mean&tv_x_churn,gov_report:97,0.5555555555555556,0.3671875,,0.0,,-0.013633250902769447,-0.0057437254345427645,False
and:churn_jaccard_mean&tv_x_churn,gov_report:98,0.5555555555555556,0.359375,0.5211748633879781,0.043478260869565216,0.3333333333333333,-0.00971589333018604,0.007427052035676423,False
and:churn_jaccard_mean&tv_x_churn,synthetic_niah_96,0.47619047619047616,0.4921875,,0.0,,-0.011370912885156756,-0.0012810278912706388,False
rankprod:churn_jaccard_mean*tv_x_churn,gov_report:96,0.5751792013101538,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:churn_jaccard_mean*tv_x_churn,gov_report:97,0.3235732353370198,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
rankprod:churn_jaccard_mean*tv_x_churn,gov_report:98,0.5334205885083079,0.0859375,0.5163934426229508,0.0,0.0,-0.0446442851274611,0.005582686411444283,False
rankprod:churn_jaccard_mean*tv_x_churn,synthetic_niah_96,0.40945816923260536,0.2109375,,0.0,,-0.02502983246315873,-0.0012260281999225884,False
and:churn_jaccard_mean&compressed_entropy,gov_report:96,0.5894596517335003,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:churn_jaccard_mean&compressed_entropy,gov_report:97,0.5499712171052629,0.40625,,0.0,,-0.018249697910505347,-0.0020660560694980247,False
and:churn_jaccard_mean&compressed_entropy,gov_report:98,0.5555555555555556,0.375,0.7486338797814208,0.10416666666666667,0.8333333333333334,0.0016569715153309517,0.0010319067625127894,True
and:churn_jaccard_mean&compressed_entropy,synthetic_niah_96,0.5894596517335003,0.0,,,,,-0.006247143161698962,False
rankprod:churn_jaccard_mean*compressed_entropy,gov_report:96,0.5261052696846282,0.0546875,0.8870967741935484,0.14285714285714285,0.25,0.0282539107969829,0.0009346116989613725,True
rankprod:churn_jaccard_mean*compressed_entropy,gov_report:97,0.5213096706610276,0.0859375,,0.0,,-0.0015957170928066428,-0.009303005680403887,True
rankprod:churn_jaccard_mean*compressed_entropy,gov_report:98,0.5352997076023391,0.0859375,0.8060109289617486,0.2727272727272727,0.5,0.06673253259875557,-0.004888638332046175,True
rankprod:churn_jaccard_mean*compressed_entropy,synthetic_niah_96,0.5190620431286551,0.03125,,0.0,,-0.08549364283680916,-0.0036908044625018586,False
and:churn_jaccard_min&churn_x_1minus_margin,gov_report:96,0.5793650793650794,0.0,0.5504032258064516,,0.0,,0.0024286358683844253,False
and:churn_jaccard_min&churn_x_1minus_margin,gov_report:97,0.5555555555555556,0.4453125,,0.0,,-0.011517131379204248,-0.006331381183288532,False
and:churn_jaccard_min&churn_x_1minus_margin,gov_report:98,0.5555555555555556,0.4453125,0.6598360655737705,0.08771929824561403,0.8333333333333334,0.004126909938028933,-0.0010302351088836668,True
and:churn_jaccard_min&churn_x_1minus_margin,synthetic_niah_96,0.5793650793650794,0.0,,,,,-0.006247143161698962,False
rankprod:churn_jaccard_min*churn_x_1minus_margin,gov_report:96,0.3402769489862222,0.3828125,0.5544354838709677,0.04081632653061224,0.5,0.005597166756098516,0.0004633445582832795,True
rankprod:churn_jaccard_min*churn_x_1minus_margin,gov_report:97,0.5429178767023378,0.0625,,0.0,,-0.003336646672909893,-0.008994261493707073,True
rankprod:churn_jaccard_min*churn_x_1minus_margin,gov_report:98,0.39165871026773286,0.3359375,0.6092896174863388,0.06976744186046512,0.5,-0.0047827309018080005,0.00432640708840768,False
rankprod:churn_jaccard_min*churn_x_1minus_margin,synthetic_niah_96,0.5407627037169644,0.0,,,,,-0.006247143161698962,False
and:churn_jaccard_min&tv_x_churn,gov_report:96,0.5912698412698413,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:churn_jaccard_min&tv_x_churn,gov_report:97,0.5555555555555556,0.3671875,,0.0,,-0.013633250902769447,-0.0057437254345427645,False
and:churn_jaccard_min&tv_x_churn,gov_report:98,0.5555555555555556,0.359375,0.505464480874317,0.043478260869565216,0.3333333333333333,-0.00971589333018604,0.007427052035676423,False
and:churn_jaccard_min&tv_x_churn,synthetic_niah_96,0.47619047619047616,0.4921875,,0.0,,-0.011370912885156756,-0.0012810278912706388,False
rankprod:churn_jaccard_min*tv_x_churn,gov_report:96,0.5751792013101538,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:churn_jaccard_min*tv_x_churn,gov_report:97,0.3235732353370198,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
rankprod:churn_jaccard_min*tv_x_churn,gov_report:98,0.5334205885083079,0.0859375,0.5081967213114754,0.0,0.0,-0.0446442851274611,0.005582686411444283,False
rankprod:churn_jaccard_min*tv_x_churn,synthetic_niah_96,0.40945816923260536,0.2109375,,0.0,,-0.02502983246315873,-0.0012260281999225884,False
and:churn_jaccard_min&compressed_entropy,gov_report:96,0.5894596517335003,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:churn_jaccard_min&compressed_entropy,gov_report:97,0.5499712171052629,0.40625,,0.0,,-0.018249697910505347,-0.0020660560694980247,False
and:churn_jaccard_min&compressed_entropy,gov_report:98,0.5555555555555556,0.375,0.7315573770491803,0.10416666666666667,0.8333333333333334,0.0016569715153309517,0.0010319067625127894,True
and:churn_jaccard_min&compressed_entropy,synthetic_niah_96,0.5894596517335003,0.0,,,,,-0.006247143161698962,False
rankprod:churn_jaccard_min*compressed_entropy,gov_report:96,0.5261052696846282,0.0546875,0.8870967741935484,0.14285714285714285,0.25,0.0282539107969829,0.0009346116989613725,True
rankprod:churn_jaccard_min*compressed_entropy,gov_report:97,0.5213096706610276,0.0859375,,0.0,,-0.0015957170928066428,-0.009303005680403887,True
rankprod:churn_jaccard_min*compressed_entropy,gov_report:98,0.5352997076023391,0.0859375,0.7896174863387978,0.2727272727272727,0.5,0.06673253259875557,-0.004888638332046175,True
rankprod:churn_jaccard_min*compressed_entropy,synthetic_niah_96,0.5190620431286551,0.03125,,0.0,,-0.08549364283680916,-0.0036908044625018586,False
and:churn_x_1minus_margin&tv_x_churn,gov_report:96,0.8015873015873016,0.0234375,0.7389112903225806,0.0,0.0,-0.008247097333272299,0.002684853465224186,False
and:churn_x_1minus_margin&tv_x_churn,gov_report:97,0.8015873015873016,0.015625,,0.0,,0.0005447109543672557,-0.008786460115371923,True
and:churn_x_1minus_margin&tv_x_churn,gov_report:98,0.7026817042606519,0.078125,0.5683060109289617,0.1,0.16666666666666666,-0.04919094256161003,0.005542344062313637,False
and:churn_x_1minus_margin&tv_x_churn,synthetic_niah_96,0.5855806182121969,0.25,,0.0,,-0.006448783740528462,-0.006179929635422462,False
rankprod:churn_x_1minus_margin*tv_x_churn,gov_report:96,0.8582545981355512,0.0078125,0.7883064516129032,0.0,0.0,-0.0024138689041137695,0.0024667658272229938,False
rankprod:churn_x_1minus_margin*tv_x_churn,gov_report:97,0.8579868984630896,0.0078125,,0.0,,0.001089422032237053,-0.008717275391026496,True
rankprod:churn_x_1minus_margin*tv_x_churn,gov_report:98,0.5881295169139782,0.0859375,0.5614754098360656,0.09090909090909091,0.16666666666666666,-0.04471903869313871,0.005589714524456706,False
rankprod:churn_x_1minus_margin*tv_x_churn,synthetic_niah_96,0.44882387847926686,0.265625,,0.0,,-0.006601033562571643,-0.006119140250745014,False
and:churn_x_1minus_margin&compressed_entropy,gov_report:96,0.8725000000000005,0.0078125,0.719758064516129,0.0,0.0,-0.005916595458984375,0.0024943463512770926,False
and:churn_x_1minus_margin&compressed_entropy,gov_report:97,0.8613492063492074,0.015625,,0.0,,-0.030412018299102783,-0.00829508346055494,False
and:churn_x_1minus_margin&compressed_entropy,gov_report:98,0.7109375,0.0625,0.8032786885245902,0.125,0.16666666666666666,-0.05255125276744366,0.004854143298970484,False
and:churn_x_1minus_margin&compressed_entropy,synthetic_niah_96,0.9022110615079368,0.0,,,,,-0.006247143161698962,False
rankprod:churn_x_1minus_margin*compressed_entropy,gov_report:96,0.8356758432539684,0.0078125,0.7701612903225806,0.0,0.0,-0.005916595458984375,0.0024943463512770926,False
rankprod:churn_x_1minus_margin*compressed_entropy,gov_report:97,0.6732717209690893,0.0234375,,0.0,,-0.01238560676574707,-0.008550781858647091,False
rankprod:churn_x_1minus_margin*compressed_entropy,gov_report:98,0.6732717209690893,0.0234375,0.8183060109289617,0.3333333333333333,0.16666666666666666,0.04973921179771423,0.00010295630675012912,True
rankprod:churn_x_1minus_margin*compressed_entropy,synthetic_niah_96,0.6843661236424393,0.015625,,0.0,,0.0054216100834310055,-0.0064323614671772155,True
and:tv_x_churn&compressed_entropy,gov_report:96,0.2869777960526315,0.5,0.9657258064516129,0.0625,1.0,0.0046912542063637375,0.00016601753040511254,True
and:tv_x_churn&compressed_entropy,gov_report:97,0.44155427631578936,0.2890625,,0.0,,-0.023302297542073035,-0.00267933564364204,False
and:tv_x_churn&compressed_entropy,gov_report:98,0.7359198778195489,0.078125,0.6639344262295082,0.1,0.16666666666666666,-0.0459736417979002,0.005269691455219583,False
and:tv_x_churn&compressed_entropy,synthetic_niah_96,0.6798454469507101,0.0703125,,0.0,,-0.03527125954214069,-0.0040520419228420234,False
rankprod:tv_x_churn*compressed_entropy,gov_report:96,0.1934336818609022,0.4765625,0.9616935483870968,0.06557377049180328,1.0,0.008056219436274078,-0.0026949849919330206,True
rankprod:tv_x_churn*compressed_entropy,gov_report:97,0.19552308505639096,0.4609375,,0.0,,-0.014192257572985754,-0.003893642837999542,False
rankprod:tv_x_churn*compressed_entropy,gov_report:98,0.5585306038533835,0.1171875,0.7383879781420766,0.06666666666666667,0.16666666666666666,-0.036406694600979485,0.0062671468385097455,False
rankprod:tv_x_churn*compressed_entropy,synthetic_niah_96,0.17953249007936506,0.5,,0.0,,-0.011992672743190269,-0.0005016135802076545,False
