rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:score_tv_mean*stale_action_l1_lag16,synthetic_niah_96,0.394126918859649,0.2421875,,0.0,,-0.02155974881498055,-0.0013534238292069083,False
and:score_tv_mean&churn_jaccard_mean,gov_report:96,0.5912698412698413,0.0,0.8306451612903225,,0.0,,0.0024286358683844253,False
and:score_tv_mean&churn_jaccard_mean,gov_report:97,0.5555555555555556,0.34375,,0.0,,-0.01456194911321383,-0.005539033233889515,False
and:score_tv_mean&churn_jaccard_mean,gov_report:98,0.5396825396825397,0.3515625,0.5293715846994536,0.044444444444444446,0.3333333333333333,-0.009945387956222644,0.007344935322493106,False
and:score_tv_mean&churn_jaccard_mean,synthetic_niah_96,0.4226566416040101,0.53125,,0.0,,-0.011061382968182994,-0.0007910047143503925,False
rankprod:score_tv_mean*churn_jaccard_mean,gov_report:96,0.5732971151423534,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:score_tv_mean*churn_jaccard_mean,gov_report:97,0.29100708119505114,0.3828125,,0.0,,-0.013077206635383004,-0.005888878829042539,False
rankprod:score_tv_mean*churn_jaccard_mean,gov_report:98,0.5571560846560848,0.0546875,0.5122950819672131,0.0,0.0,-0.0702367008583715,0.005402843634260407,False
rankprod:score_tv_mean*churn_jaccard_mean,synthetic_niah_96,0.3898579119757064,0.2421875,,0.0,,-0.02155974881498055,-0.0013534238292069083,False
and:score_tv_mean&churn_jaccard_min,gov_report:96,0.5912698412698413,0.0,0.8306451612903225,,0.0,,0.0024286358683844253,False
and:score_tv_mean&churn_jaccard_min,gov_report:97,0.5555555555555556,0.34375,,0.0,,-0.01456194911321383,-0.005539033233889515,False
and:score_tv_mean&churn_jaccard_min,gov_report:98,0.5396825396825397,0.3515625,0.5102459016393442,0.044444444444444446,0.3333333333333333,-0.009945387956222644,0.007344935322493106,False
and:score_tv_mean&churn_jaccard_min,synthetic_niah_96,0.4226566416040101,0.53125,,0.0,,-0.011061382968182994,-0.0007910047143503925,False
rankprod:score_tv_mean*churn_jaccard_min,gov_report:96,0.5732971151423534,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:score_tv_mean*churn_jaccard_min,gov_report:97,0.29100708119505114,0.3828125,,0.0,,-0.013077206635383004,-0.005888878829042539,False
rankprod:score_tv_mean*churn_jaccard_min,gov_report:98,0.5571560846560848,0.0546875,0.5068306010928961,0.0,0.0,-0.0702367008583715,0.005402843634260407,False
rankprod:score_tv_mean*churn_jaccard_min,synthetic_niah_96,0.3898579119757064,0.2421875,,0.0,,-0.02155974881498055,-0.0013534238292069083,False
and:score_tv_mean&churn_x_1minus_margin,gov_report:96,0.8015873015873016,0.015625,0.7600806451612904,0.0,0.0,-0.004165232181549072,0.0025333004406055916,False
and:score_tv_mean&churn_x_1minus_margin,gov_report:97,0.6252631578947365,0.0703125,,0.0,,0.00011126113518564494,-0.009302570612141167,True
and:score_tv_mean&churn_x_1minus_margin,gov_report:98,0.6825396825396826,0.078125,0.5635245901639344,0.1,0.16666666666666666,-0.04919094256161003,0.005542344062313637,False
and:score_tv_mean&churn_x_1minus_margin,synthetic_niah_96,0.6111111111111112,0.21875,,0.0,,0.00032504120907745065,-0.008087354785516358,True
rankprod:score_tv_mean*churn_x_1minus_margin,gov_report:96,0.8582545981355512,0.0078125,0.7983870967741935,0.0,0.0,-0.0024138689041137695,0.0024667658272229938,False
rankprod:score_tv_mean*churn_x_1minus_margin,gov_report:97,0.8567661879566647,0.0078125,,0.0,,0.001089422032237053,-0.008717275391026496,True
rankprod:score_tv_mean*churn_x_1minus_margin,gov_report:98,0.5786660434154169,0.0859375,0.5601092896174863,0.09090909090909091,0.16666666666666666,-0.04471903869313871,0.005589714524456706,False
rankprod:score_tv_mean*churn_x_1minus_margin,synthetic_niah_96,0.3874302157510178,0.296875,,0.0,,-0.005370957352209935,-0.0066170882812609955,True
and:score_tv_mean&tv_x_churn,gov_report:96,0.626984126984127,0.3359375,0.8608870967741935,0.09302325581395349,1.0,0.013993566039808518,-0.0034218582183359993,True
and:score_tv_mean&tv_x_churn,gov_report:97,0.5793650793650794,0.3828125,,0.0,,-0.015406276739589466,-0.004444265726433469,False
and:score_tv_mean&tv_x_churn,gov_report:98,0.7063492063492064,0.2734375,0.4849726775956284,0.05714285714285714,0.3333333333333333,-0.01225163781814441,0.006353704272816809,False
and:score_tv_mean&tv_x_churn,synthetic_niah_96,0.9854761904761906,0.015625,,0.0,,-0.10253480524988845,-0.004718767572997541,False
rankprod:score_tv_mean*tv_x_churn,gov_report:96,0.39298908647279573,0.359375,0.8568548387096774,0.08695652173913043,1.0,0.013117430198871582,-0.003567517048718127,True
rankprod:score_tv_mean*tv_x_churn,gov_report:97,0.35379162191192265,0.40625,,0.0,,-0.01451745301013507,-0.004619697317119793,False
rankprod:score_tv_mean*tv_x_churn,gov_report:98,0.48750759173064934,0.296875,0.47540983606557374,0.05263157894736842,0.3333333333333333,-0.011685606498629665,0.006734891340942623,False
