layer,head,spearman_attn_delta,var_log_attn,var_log_pv
0,0,0.9956897988193625,1.9731800911492823,0.026494297455677187
0,1,0.9674106770856805,6.504964640337872,0.0916553802583557
0,2,0.9933585578513381,6.3776537656604875,0.030885166835867388
0,3,0.9912379997671129,7.737157371439361,0.07160240574660003
0,4,0.9608684255232224,15.681164447099826,0.08789977484285313
0,5,0.9764139786400253,8.694714158675831,0.18761034956640363
0,6,0.9775731975077296,2.588076667908066,0.04489180900673869
0,7,0.9212020499984349,3.3803562877071975,0.0973557791721237
1,0,0.9659855576565478,4.42139073827801,0.43297639602503085
1,1,0.9785372169089877,2.2895790641817175,0.11975150738279375
1,2,0.9570656485882489,2.9670206259503944,0.3169584349146205
1,3,0.9515732328607226,5.5309877625404,0.5019992505506734
1,4,0.9596299566422245,1.822427160819273,0.07361107929571456
1,5,0.9842334839868626,2.444720621547075,0.14202358672979098
1,6,0.9815151890581297,4.07855567040358,0.30070542133348344
1,7,0.9604589944775543,4.945997809801738,0.23853390987893444
2,0,0.9850012597224781,6.213990924140317,0.2923643640272294
2,1,0.9917060403676082,7.209350913265119,0.24350693366701495
2,2,0.983239945598773,5.034065697009195,0.31923859392613885
2,3,0.9783837290930518,3.872398251907794,0.1859601917250414
2,4,0.9891794211882715,6.225259243116563,0.3145219751158474
2,5,0.9630481992082347,5.485990637133282,0.4182617843234903
2,6,0.991267829616167,3.6346571773861647,0.12429691930624873
2,7,0.9763898720424974,4.054926205453393,0.13528179354269146
3,0,0.9951681477554613,5.34071994035113,0.3089374395803689
3,1,0.9954003392160548,10.92619167540002,0.2174035722898678
3,2,0.9920103545016805,9.117081668772677,0.2890613291729007
3,3,0.9951689109892113,19.898890547231428,0.44419085953331783
3,4,0.9952984701439956,12.586902311528608,0.34230067207418047
3,5,0.9979367672358753,18.322665251017142,0.34328243462714486
3,6,0.9858788390220138,9.259728703853852,0.5761653553115058
3,7,0.9883808865580853,15.722291556321615,0.480552463743397
4,0,0.99323913052528,9.517676579356358,0.46166235639390124
4,1,0.9973998836692101,11.838516431275934,0.2892547179111521
4,2,0.972090592328228,6.851854280320266,0.5182455142643715
4,3,0.9913275606238819,8.89975641630765,0.42367790666975713
4,4,0.9900099511932597,10.03521537192668,0.5631573712586566
4,5,0.9975656384720111,11.132526888833459,0.2772268755110012
4,6,0.9900853240884196,7.0123408509744865,0.2824956404183217
4,7,0.9914125231494137,7.121467025479562,0.2836621434718395
5,0,0.9929519347693316,5.04187190101553,0.12559373084296735
5,1,0.9891757354281855,6.655789947073523,0.18017281909843627
5,2,0.9848642765042249,5.453366265196721,0.4304329610880964
5,3,0.9926751002609109,6.377251028043001,0.24741178074084078
5,4,0.9971589739062681,8.723727633207746,0.27408290488251147
5,5,0.9736721859669039,7.999655087927806,0.552069298750732
5,6,0.9698814663592705,12.272847233962496,0.7228291720156692
5,7,0.9947099563885095,9.757266741831808,0.32329527601333763
6,0,0.9873694312190049,4.805919540319142,0.24030621038816888
6,1,0.9966527486072921,8.31054240098277,0.20332070173208075
6,2,0.9287385093707572,3.6151064944519464,0.4054291687410889
6,3,0.9141668192579452,4.892390378582736,0.531344318875612
6,4,0.9760986968922017,5.657112544832916,0.21416016604420932
6,5,0.9798707545204888,4.962544910693938,0.2401909821977929
6,6,0.9645663553361689,4.977779886678416,0.35034679355844045
6,7,0.9339568561392956,4.766586510114136,0.23853349438110358
7,0,0.9921956488650387,4.917670583578205,0.04608509870936425
7,1,0.9979911016723042,22.76872165032753,0.025296198249688144
7,2,0.9956914096557133,6.595939411311709,0.03317550298178492
7,3,0.997211860149982,5.0023529083321,0.025102776913288497
7,4,0.9782011014846952,5.154815370879129,0.1521570566887717
7,5,0.9954694638652765,5.741202774599401,0.0349550331779766
7,6,0.9915200132570087,3.0753273102737535,0.04741464878584952
7,7,0.9887467411665536,4.678670456590282,0.08617501026724052
8,0,0.980692735582922,5.258529624204804,0.18651973265848398
8,1,0.9853864765880486,5.228188943280829,0.07605076802779628
8,2,0.9911768378818224,4.266628003063262,0.07081367661057578
8,3,0.9861511156423564,4.295391579737533,0.13904765832179808
8,4,0.9980000005973897,8.131072954725372,0.030800008695442166
8,5,0.994993659132873,2.7785513069113734,0.02372322443226468
8,6,0.9980659486637034,5.123103207773198,0.02022086229247842
8,7,0.9957382864340705,10.101371951388721,0.07809652424726916
9,0,0.9928530284506912,2.9753615431142815,0.03650834225872987
9,1,0.990659090927185,3.6915192790524864,0.06392927688425025
9,2,0.997844830346464,15.414013698869445,0.03199261330816015
9,3,0.9921853494214871,6.281620828902812,0.09766641519716333
9,4,0.9940658303044133,6.915807120212484,0.053056090877663505
9,5,0.9913999529464992,5.853038109837759,0.07906840644693149
9,6,0.9981010450588204,6.5159204204185,0.019794853275372407
9,7,0.9969582679290288,21.943974947735075,0.051572374029905
10,0,0.9983951515784732,6.932363582511747,0.015647740788051805
10,1,0.9814674436450028,3.8063604377688396,0.10571767584335832
10,2,0.9975693238838854,5.538972861184381,0.018927115419423622
10,3,0.9969200573650339,3.6949073212760717,0.019887886427270247
10,4,0.9909491542658104,3.930525353586298,0.04139064523697672
10,5,0.9866137301440637,4.408597713733623,0.1353336020967374
10,6,0.9965945937868643,6.954379889682575,0.03397499390795678
10,7,0.986236824910858,6.081924680123457,0.12435385336952584
11,0,0.9943228523459331,5.2825169902075615,0.053089785763059956
11,1,0.9904125074778038,6.051632419821995,0.07665261619771926
11,2,0.997242601934791,6.15354554832636,0.02443418515364498
11,3,0.9867560490196186,4.7879004345300045,0.08010334375763732
11,4,0.9946117595553149,4.508793154938964,0.03663917340595394
11,5,0.9910545024090869,6.017411719363277,0.06804152345262518
11,6,0.9921092313602119,4.874381546171378,0.05391237183605032
11,7,0.9957244773615163,5.734542939033388,0.03374839154710546
12,0,0.9936544951421921,3.4327427541086672,0.03818214900835949
12,1,0.9931614123641571,4.96040408351571,0.047524357449313645
12,2,0.990794839041136,6.805827863165459,0.1018406080149824
12,3,0.9955187340560933,6.80228123834396,0.04672687369778927
12,4,0.9979835069948212,6.310739373025204,0.022019697484651372
12,5,0.9986342550004208,9.751279896072937,0.019598949475924426
12,6,0.997922824904664,7.127052122869129,0.02243117883565518
12,7,0.9958472333263254,6.55071356766843,0.04018769617496674
13,0,0.9928444578280302,7.364839740480052,0.09143172998511168
13,1,0.9872797709926554,3.44452170168397,0.060720242039412925
13,2,0.996255846329463,7.664950889099775,0.031808156348174965
13,3,0.9990042049229296,35.387616998128976,0.019509816264730168
13,4,0.9906114430421288,5.588131284136493,0.049445452253001655
13,5,0.995574626098195,7.187500862493552,0.035106582997576324
13,6,0.9953827776268255,4.945858488495056,0.04601297041388537
13,7,0.9983282223191668,8.17243669778591,0.02024339966692579
14,0,0.9959264682442736,6.939574474749397,0.039544743474086076
14,1,0.9935793667017393,9.10998591064221,0.09948438918572117
14,2,0.9926182889523566,5.445112759643081,0.08126442576149369
14,3,0.9928595457376539,6.120229781755476,0.05098450879530994
14,4,0.9932639927652276,5.036061783194727,0.049299987450855245
14,5,0.9961059512114024,4.304432383008944,0.026847490925280854
14,6,0.9941237807019538,7.648196792073311,0.0805708881115563
14,7,0.9928251611277615,4.85470587020436,0.05763960880768361
15,0,0.9924672738139069,3.8245192949412954,0.052083343893306315
15,1,0.9972631349696033,11.443662922100312,0.042367588557120854
15,2,0.9949409502190475,8.10143095240279,0.034905693374272836
15,3,0.9961158553497661,10.745731202672525,0.050799292229143124
15,4,0.9965436199613346,11.759343773903813,0.04252606322637081
15,5,0.9954040018850274,5.168980473224449,0.036225995488218476
15,6,0.9969059780958496,6.778283508074813,0.025777125405503688
15,7,0.9917334291202472,6.27669171887985,0.06132728640079634
16,0,0.9948062062049879,7.907944868092507,0.07552853414198632
