regime,policy,task,n_samples,prompt_tokens_mean,retained_fraction_mean,traj_kl_mean,traj_kl_median,step_kl_mean,step_kl_p95,niah_retrieval,govreport_rouge_l,official_score,repetition_4gram
s0_768_256,attention,govreport,5,930.0,0.2754483461243649,0.19296928214297537,0.1299926379496181,0.19296928214297543,1.072191619873047,,0.05928316876394561,5.928319999999999,0.013333333333333319
s0_768_256,attention,niah,5,1246.6,0.20535887121371052,0.4986323843576258,0.4702180905312867,0.4986323843576258,2.976689207553866,1.0,,100.0,0.020851070851070803
s0_768_256,full_cache,govreport,5,930.0,1.0,0.0,0.0,,,,0.06270969200728427,6.2709600000000005,0.00909090909090908
s0_768_256,full_cache,niah,5,1246.6,1.0,0.0,0.0,,,1.0,,100.0,0.00941306755260244
s0_768_256,qk_pool,govreport,5,930.0,0.2754483461243649,0.006705662622375161,0.0068121553017235,0.00670566262237521,0.023635372426360848,,0.058295464874018356,5.82952,0.00909090909090908
s0_768_256,qk_pool,niah,5,1246.6,0.20535887121371052,0.01053998034671024,0.0113257869550012,0.01053998034671027,0.059801753237843515,1.0,,100.0,0.004761904761904761
s0_768_256,quest_like,govreport,5,930.0,0.2754483461243649,0.022625017888380977,0.0225191574208752,0.022625017888381022,0.10152898430824299,,0.05919588657771148,5.919579999999999,0.01343873517786558
s0_768_256,quest_like,niah,5,1246.6,0.20535887121371052,0.025895008512849822,0.0295849329603341,0.02589500851284986,0.14694871231913573,1.0,,100.0,0.004761904761904761
s0_768_256,recency,govreport,5,930.0,0.2754483461243649,1.209719538467303,1.293876232960229,1.2097195384673027,6.410128498077394,,0.05468918378555414,5.4689,0.0146341463414634
s0_768_256,recency,niah,5,1246.6,0.20535887121371052,0.38065920777160855,0.3028060698655873,0.38065920777160855,1.9011208176612882,0.0,,0.0,0.0
s0_768_256,statekv_exact_mean,govreport,5,930.0,0.2754483461243649,0.01164377063420306,0.0097060122509276,0.011643770634203108,0.05900009293109184,,0.062943761442917,6.29438,0.00909090909090908
s0_768_256,statekv_exact_mean,niah,5,1246.6,0.20535887121371052,0.030956653308724574,0.0287406127159163,0.03095665330872463,0.19080847054719957,1.0,,100.0,0.030946065428824037
s0_768_256,uniform,govreport,5,930.0,0.2754483461243649,0.6491734175908295,0.5768349688903338,0.6491734175908295,4.333908343315126,,0.05780848178238098,5.78086,0.01465116279069768
s0_768_256,uniform,niah,5,1246.6,0.20535887121371052,1.141217739465596,0.9325436804496696,1.141217739465596,5.513597655296326,0.0,,0.0,0.0
s0_768_128,full_cache,govreport,5,930.0,1.0,0.0,0.0,,,,0.06270969200728427,6.2709600000000005,0.00909090909090908
s0_768_128,full_cache,niah,5,1246.6,1.0,0.0,0.0,,,1.0,,100.0,0.00941306755260244
s0_768_128,qk_pool,govreport,5,930.0,0.13772417306218243,0.021968520664253983,0.0217802959478664,0.02196852066425402,0.11038616858422762,,0.06079849483803525,6.07982,0.014103923647932101
s0_768_128,qk_pool,niah,5,1246.6,0.10267943560685522,0.029452322157253442,0.0314224539788195,0.02945232215725348,0.15793500691652299,1.0,,100.0,0.0
s0_768_128,quest_like,govreport,5,930.0,0.13772417306218243,0.0890952440561388,0.0946593966456046,0.08909524405613886,0.548130923509598,,0.05879942342721713,5.8799399999999995,0.01387163561076602
s0_768_128,quest_like,niah,5,1246.6,0.10267943560685522,0.06430785933685744,0.060548609601412,0.0643078593368575,0.4226710632443431,1.0,,100.0,0.01818181818181818
s0_768_128,uniform,govreport,5,930.0,0.13772417306218243,0.8516390075590221,0.7848278732262212,0.8516390075590223,4.227333211898804,,0.06137966995937614,6.13796,0.0
s0_768_128,uniform,niah,5,1246.6,0.10267943560685522,2.408019290935885,2.337044926495772,2.4080192909358846,13.739046335220342,0.0,,0.0,0.0
s0_768_64,full_cache,govreport,5,930.0,1.0,0.0,0.0,,,,0.06270969200728427,6.2709600000000005,0.00909090909090908
s0_768_64,full_cache,niah,5,1246.6,1.0,0.0,0.0,,,1.0,,100.0,0.00941306755260244
s0_768_64,qk_pool,govreport,5,930.0,0.0688620865310912,0.0896494493959754,0.0761187862976474,0.08964944939597544,0.3989286065101629,,0.060784195070138214,6.0784199999999995,0.01365015166835184
s0_768_64,qk_pool,niah,5,1246.6,0.051339717803427574,0.0741309197001299,0.0738638665800819,0.07413091970012994,0.33816271126270325,1.0,,100.0,0.0
s0_768_64,quest_like,govreport,5,930.0,0.0688620865310912,0.3381638514977238,0.4403793350610304,0.33816385149772393,1.5848218679428103,,0.05849376558149648,5.849359999999999,0.00930232558139534
s0_768_64,quest_like,niah,5,1246.6,0.051339717803427574,1.0748114663581299,0.8227473315443425,1.0748114663581299,6.078563070297242,0.8,,80.0,0.096
s0_768_64,uniform,govreport,5,930.0,0.0688620865310912,1.6267533853535063,1.4543090535272958,1.6267533853535063,7.648375606536867,,0.054506490130672616,5.450619999999999,0.0
s0_768_64,uniform,niah,5,1246.6,0.051339717803427574,2.5659490512692242,2.831603953701986,2.5659490512692247,13.922970914840702,0.0,,0.0,0.0
