policy,arm,samples,mean_kl_all,mean_kl_niah,mean_kl_gov,mean_niah_retrieval,mean_official_score
attention,every,10,0.09023083890307561,0.02395962880737178,0.15650204899877945,1.0,52.92029
attention,fixed_k16,10,0.27237849836813555,0.3347376808071604,0.21001931592911074,1.0,53.281909999999996
attention,never,10,0.28887238617591426,0.3456318691353252,0.23211290321650332,1.0,53.05335
b2_uniform,every,10,0.18182567624079793,0.02417719869488368,0.3394741537867122,1.0,53.10136
b2_uniform,fixed_k16,10,0.3772167152384211,0.351996783555196,0.40243664692164627,1.0,53.2537
b2_uniform,never,10,0.35875525275048414,0.3354985534016492,0.38201195209931915,1.0,53.15260000000001
