sample_id,task,cycle,offset,inside_position,outside_position,inside_attn,outside_attn,attn_margin,layers_swapped,base_kl,swap_kl,swap_regret,inside_delta_l0,inside_delta_mean,inside_pv_l0,inside_pv_mean,inside_vn_l0,inside_vn_mean,outside_delta_l0,outside_delta_mean,outside_pv_l0,outside_pv_mean,outside_vn_l0,outside_vn_mean,delta_diff,pv_diff,vn_diff,regret_negative,regret_positive
synthetic_niah_86,niah_single_1,0,1,2957,3041,0.0003327876329421997,0.0003320947289466858,6.92903995513916e-07,5,9.923247853294015e-05,9.944343037204817e-05,2.1095183910802007e-07,7.140020829865534e-05,9.898649824228538e-05,0.3838724456727505,15.002057434784042,0.21148130297660828,8.870438516967827,0.00011291165844795614,2.7813698925349684e-05,0.4823289141058922,18.183703264842432,0.27979615330696106,10.537479164699713,7.11727993169357e-05,-3.1816458300583896,-1.667040647731886,False,True
synthetic_niah_86,niah_single_1,0,2,4594,3841,0.00033302605152130127,0.000329822301864624,3.203749656677246e-06,3,9.923247853294015e-05,9.962017793441191e-05,3.8769940147176385e-07,0.00018334957803745056,0.0001374674920343476,0.5504622384905815,20.165928670308656,0.31137970089912415,11.564803159071339,0.00019476324933620504,2.5122609859589635e-05,0.514636792242527,22.217491487041116,0.298468679189682,12.760250752998722,0.00011234488217475796,-2.05156281673246,-1.1954475939273834,False,True
synthetic_niah_86,niah_single_1,0,4,4082,4218,0.0003336593508720398,0.0003259330987930298,7.72625207901001e-06,4,9.923247853294015e-05,9.870887879515067e-05,-5.235997377894819e-07,8.173454217796916e-05,9.160721738905093e-05,0.3838724456727505,14.884961939830747,0.21148130297660828,8.80021257698536,0.00014085503835303825,0.00012254674807356104,0.45141787081956863,15.413460918598705,0.2641216218471527,9.011626245246994,-3.093953068451011e-05,-0.5284989787679581,-0.21141366826163477,True,False
synthetic_niah_86,niah_single_1,0,8,4199,4211,0.0003386959433555603,0.00032367557287216187,1.5020370483398438e-05,3,9.923247853294015e-05,9.915010741678998e-05,-8.237111615017056e-08,8.370020441361703e-05,9.79565516455357e-05,0.3838724456727505,14.823292614685165,0.21148130297660828,8.766559944384628,0.0001081009111203457,4.853428514165851e-05,0.4823289141058922,18.288916185912157,0.27979615330696106,10.633112855255604,4.942226650387719e-05,-3.465623571226992,-1.8665529108709755,True,False
synthetic_niah_86,niah_single_1,0,16,4362,4420,0.00034952908754348755,0.00031617283821105957,3.335624933242798e-05,5,9.923247853294015e-05,9.928603685693815e-05,5.35583239980042e-08,0.0001466918697587971,0.00011127503435230206,0.45141787081956863,15.198417102400628,0.2641216218471527,8.897439726524883,9.768799316134391e-05,4.676122346743602e-05,0.4395107217133045,17.941219800876247,0.24894455075263977,10.341921923889053,6.451381088486605e-05,-2.7428026984756197,-1.4444821973641702,False,True
synthetic_niah_86,niah_single_1,0,32,4438,4603,0.00037597864866256714,0.00029850006103515625,7.747858762741089e-05,2,9.923247853294015e-05,9.953979315469041e-05,3.0731462175026536e-07,0.00012306208896006865,3.4629110855820424e-05,0.4395107217133045,17.441896479680306,0.24894455075263977,10.054154333141115,0.00016428235107923683,0.00013134940095824475,0.5504622384905815,20.291873764246702,0.31137970089912415,11.634588914612928,-9.672029010242432e-05,-2.849977284566396,-1.5804345814718133,False,True
synthetic_niah_86,niah_single_1,4,1,3036,4438,0.0004139617085456848,0.00041328370571136475,6.780028343200684e-07,2,9.716027461748045e-12,9.721332246137582e-12,5.304784389537076e-15,0.00010604801173030864,0.00016492815370730242,0.4823289141058922,21.380898712616826,0.27979615330696106,12.289669192499584,0.00010877753857130301,0.00010117777311608517,0.4395107217133045,17.441896479680306,0.24894455075263977,10.054154333141115,6.375038059121725e-05,3.93900223293652,2.235514859358469,False,False
synthetic_niah_86,niah_single_1,4,2,3970,4166,0.0004180148243904114,0.0004108846187591553,7.1302056312561035e-06,3,9.716027461748045e-12,9.717670244879795e-12,1.6427831317500363e-15,0.00011227658701074006,0.0002793025677023664,0.4395107217133045,18.253193462267518,0.24894455075263977,10.543372553255823,0.00014466201787399768,0.00013518848784769646,0.4823289141058922,18.353259848637713,0.27979615330696106,10.639309859110249,0.00014411407985466992,-0.1000663863701945,-0.0959373058544255,False,False
synthetic_niah_86,niah_single_1,4,4,3464,4186,0.0004189237952232361,0.0004082992672920227,1.0624527931213379e-05,4,9.716027461748045e-12,9.719893293014259e-12,3.865831266214315e-15,8.136515828027768e-05,0.00015234424923472723,0.4823289141058922,18.1569757298049,0.27979615330696106,10.526757784187794,0.00010337705975871359,6.263258654115589e-05,0.4395107217133045,18.21501399535272,0.24894455075263977,10.526268312500584,8.971166269357135e-05,-0.058038265547821766,0.0004894716872101412,False,False
synthetic_niah_86,niah_single_1,4,8,4215,4379,0.0004242807626724243,0.0003982856869697571,2.5995075702667236e-05,6,9.716027461748045e-12,9.713307415337713e-12,-2.7200464103316335e-15,0.00014287364456322393,0.0005025726866224477,0.4823289141058922,19.525689950005876,0.27979615330696106,11.324632779591614,0.00015709613271042144,0.00017194314284483012,0.3838724456727505,14.930870606460505,0.21148130297660828,8.824907294578022,0.00033062954377761753,4.594819343545371,2.4997254850135917,False,False
