sample_id,task,anchor,lag,global_generation_index,layer,head,strategy,event_signal,signal_magnitude,robust_z,percentile_rank,event_by_mad,event_by_top_quantile,selected_set_turnover,oracle_overlap,token_text,token_text_availability,event_thresholds,stale_loss,refreshed_loss,refresh_benefit
gov_report:0,gov_report,0,125,124.0,27,1.0,snapkv,selected_core_new_token_residual_spike,1.0708297395467525e-06,1.1820719164845654,0.970136698212408,False,True,,0.2284467002093899,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,22,21.0,0,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,9.711212669571978e-07,3.7202154414351227,0.3333333333333333,True,False,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,4,3.0,14,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0025744359154487e-06,2.222744397332814,0.9779179810725552,False,True,0.00909090909090915,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,1,0.0,14,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0325505854780204e-06,2.46310562007502,0.9505783385909569,False,True,0.004545454545454519,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,3,2.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0709313755796757e-06,1.4135044187860066,0.9882229232386961,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,4,3.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.053179744303634e-06,1.225868403693164,0.9787592008412198,False,True,0.0,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,5,4.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0366535434513935e-06,1.0511852760234586,0.9674027339642481,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,14,13.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1359935569998925e-06,2.1012163403046475,0.9985278654048371,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,17,16.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0653052413545083e-06,1.354035776723087,0.9865404837013669,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,18,17.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0788103281811345e-06,1.4967855125769982,0.990956887486856,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,20,19.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.047459932124184e-06,1.1654095789382817,0.97602523659306,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
