offset,mean,median,size
1,8.278786922784404e-06,1.3632324435963739e-13,48
2,-2.7895001860506036e-06,9.185360805297194e-16,48
4,-3.192601771080182e-05,-6.5879017796532935e-09,48
8,-7.536155440418755e-06,7.940870183631432e-13,48
16,1.1436880654399118e-05,6.770270033484849e-08,48
32,1.4639421469315025e-06,1.0612170864288117e-15,48
