token_class,rows,mean_attn,mean_fut_attn_4,spearman_attn_future,partial_delta_given_attn,revival_4_rate
capitalized,7036956,6.060660878659694e-05,6.0475121478455184e-05,0.8894958269425733,-0.08467020639988028,0.055933559908574106
common,50028840,6.87640287608995e-05,6.881806377544542e-05,0.8748254237020396,-0.07182676321496953,0.036412857064045456
generated,133920,0.002549476197029474,0.002559954683736867,0.7769489198855982,-0.11669741855830566,0.029465352449223416
numeric,918432,0.00030851777432240645,0.00029944910047961906,0.8891409235376432,-0.02678547320084413,0.07603175847531445
punctuation,6935976,8.021359071528848e-05,7.949919964317465e-05,0.9229819700625572,-0.1422046910287426,0.05884060152457275
rare,5478768,0.0002187537585884143,0.00021562437619744712,0.8658579860947448,-0.05738644519247784,0.06322735330278632
structural,372708,0.0005049878048278142,0.0005034237366770331,0.9165600525976875,-0.051976947424173074,0.06131609732015412
