sample_id,cycle,spread_h1,spread_h4,tied_h1,separated_h4,top1_agreement,rank_spearman
gov_report:101,0,0.019850524404319003,0.06281715661801475,False,True,True,0.9999999999999999
gov_report:101,4,0.006280026890938956,0.010920168216519727,False,True,True,0.9999999999999999
gov_report:101,8,9.681747362577653e-05,7.300370817790269e-05,True,False,True,0.9999999999999999
gov_report:101,12,1.198573669943434e-08,9.42065747633336e-09,True,False,True,0.9999999999999999
gov_report:101,16,9.933067000626305e-05,0.0006063280464635099,True,False,False,0.7
gov_report:101,20,0.0019871346200185935,0.0004968559940910708,False,False,True,0.9999999999999999
gov_report:101,24,0.000262544645617405,0.0004156094898159308,True,False,True,0.9999999999999999
gov_report:101,28,0.00027857897699354317,0.00022448897997644213,True,False,False,0.19999999999999998
gov_report:101,32,0.011975379660725594,0.01732025311018026,False,True,True,0.9999999999999999
gov_report:102,0,0.0712819577808356,0.1999557121334874,False,True,True,0.9999999999999999
gov_report:102,4,1.330238550901413,1.0004947011669478,False,True,True,0.9999999999999999
gov_report:103,0,0.03315691027938783,0.057288435034616704,False,True,False,0.7
gov_report:103,4,5.829641047268763e-05,0.0007289845650754086,True,False,True,0.9999999999999999
gov_report:103,8,5.080650434631631,3.8104949709150637,False,True,True,0.9999999999999999
gov_report:103,12,1.1563632216216035e-06,3.184488118989265e-05,True,False,False,0.0
gov_report:103,16,4.408638609731952e-08,4.920643405699911e-08,True,False,False,0.8999999999999998
gov_report:103,20,0.00018804221326718107,0.00011507662384246942,True,False,True,0.9999999999999999
gov_report:103,24,1.9920305281084794e-05,5.899550288975458e-06,True,False,True,0.9999999999999999
gov_report:103,28,0.00019442006790389632,7.093840880164227e-05,True,False,False,0.8999999999999998
gov_report:103,32,2.4364776928909038e-05,0.0007008953002859168,True,False,False,-0.3
gov_report:103,36,0.002238202704271941,0.0024984053307905985,False,True,True,0.9999999999999999
gov_report:103,40,0.009390469488077313,0.007968420667964438,False,True,True,0.9999999999999999
gov_report:103,44,0.006442335744698768,0.0041399430483579636,False,True,False,0.39999999999999997
gov_report:104,0,0.015315941539370213,0.06890209203239314,False,True,False,0.7999999999999999
gov_report:104,4,0.0041541704476912855,0.007271027486315987,False,True,True,0.9999999999999999
gov_report:104,8,8.001207434441918e-05,0.00013969092578717163,True,False,True,0.9999999999999999
gov_report:104,12,0.00012444858536279446,4.409176714640728e-05,True,False,False,-0.3
gov_report:104,16,6.702938530149061e-08,8.072947843551503e-08,True,False,False,0.8999999999999998
gov_report:104,20,0.0016009957732954216,0.0004111541703678747,False,False,True,0.9999999999999999
gov_report:104,24,0.00036370387533679605,0.0001777486419693268,True,False,False,0.8999999999999998
gov_report:104,28,0.005123025427261993,0.001908313153156392,False,True,False,0.8999999999999998
gov_report:104,32,0.000976627430645749,0.0014100590657714351,True,True,False,0.39999999999999997
gov_report:104,36,0.014322269540419569,0.010766142332045092,False,True,True,0.9999999999999999
gov_report:104,40,0.003030219748074131,0.002438866854860805,False,True,True,0.9999999999999999
gov_report:105,0,0.0675740560303287,0.019078066386896353,False,True,False,0.8999999999999998
gov_report:105,4,1.0187820578266837e-05,1.7935558896435165e-05,True,False,True,0.9999999999999999
gov_report:105,8,0.006704320233742086,0.004950724495453566,False,True,True,0.9999999999999999
gov_report:105,12,3.6796493442524e-05,9.199009524380353e-06,True,False,True,0.9999999999999999
gov_report:105,16,0.0011814345828800774,0.0003469693195559861,False,False,True,0.9999999999999999
synthetic_niah_101,0,10.194284970664112,3.3925739744969854,False,True,True,0.9999999999999999
synthetic_niah_101,4,1.3593552190417472e-06,3.398572751338643e-07,True,False,True,0.9999999999999999
synthetic_niah_101,8,0.00029718146349429556,0.0002767826631866182,True,False,True,0.9999999999999999
synthetic_niah_101,12,0.0012514444146725845,0.0009385822088090656,False,False,True,0.9999999999999999
synthetic_niah_101,16,2.2812618718284303e-06,5.70344943891677e-07,True,False,True,0.9999999999999999
synthetic_niah_101,20,0.0032309622773330675,0.005654343014801573,False,True,True,0.9999999999999999
synthetic_niah_101,24,0.0011816016243149825,0.0020900541567243636,False,True,False,0.8999999999999998
synthetic_niah_101,28,0.00042194381772193046,0.0003763624725213767,True,False,False,0.19999999999999998
synthetic_niah_101,32,0.0014293341493711864,0.00022573304696097817,False,False,False,0.7
synthetic_niah_101,36,6.17359184273969e-07,1.7043140553322567e-05,True,False,False,-0.49999999999999994
synthetic_niah_101,40,0.03708503643226968,0.027813777319802724,False,True,True,0.9999999999999999
synthetic_niah_102,0,8.366190592378363,6.274788717406995,False,True,True,0.9999999999999999
synthetic_niah_102,4,2.1382576200397927e-06,5.349266850885697e-07,True,False,True,0.9999999999999999
synthetic_niah_102,8,2.018757097117525e-05,1.5087465644470681e-05,True,False,True,0.9999999999999999
synthetic_niah_102,12,1.1986521049796772e-07,1.0366901726483203e-07,True,False,True,0.9999999999999999
synthetic_niah_102,16,2.2781337751934132e-11,5.902143946918523e-12,True,False,True,0.9999999999999999
synthetic_niah_102,20,0.0008451161471991027,0.000554038094984814,True,False,False,0.8999999999999998
synthetic_niah_102,24,0.00020158225864482307,0.000240516456604686,True,False,False,0.8999999999999998
synthetic_niah_102,28,0.0012833426381511984,0.002995132198008392,False,True,True,0.9999999999999999
synthetic_niah_102,32,0.0006925650053896488,0.0002008406010010808,True,False,False,0.8999999999999998
synthetic_niah_102,36,0.004008325049644101,0.007022778726889556,False,True,True,0.9999999999999999
synthetic_niah_103,0,4.0670651165262335,3.155659382644572,False,True,True,0.9999999999999999
synthetic_niah_103,4,9.181489081609012e-06,2.296248985839189e-06,True,False,True,0.9999999999999999
synthetic_niah_103,8,9.366838876087927e-05,0.00017557634625041743,True,False,False,0.7999999999999999
synthetic_niah_103,12,1.7329528148842975e-05,1.2936264183210965e-05,True,False,True,0.9999999999999999
synthetic_niah_103,16,6.227995111481484e-07,3.167132369607319e-07,True,False,False,-0.09999999999999999
synthetic_niah_103,20,0.0021374060306698084,0.0013209210931866746,False,True,False,0.7
synthetic_niah_103,24,0.0007052654636936495,0.000727756087295953,True,False,True,0.9999999999999999
synthetic_niah_103,28,0.002051810425513688,0.0032282198495523703,False,True,False,0.8999999999999998
synthetic_niah_103,32,0.002985370255359499,0.0009522312255653516,False,False,False,0.3
synthetic_niah_103,36,0.0006747224542777985,0.0014047244191412178,True,True,True,0.9999999999999999
synthetic_niah_103,40,1.1901854386301791e-07,0.00025690854254563936,True,False,False,-0.49999999999999994
synthetic_niah_104,0,7.328313918231502,4.049925746128282,False,True,True,0.9999999999999999
synthetic_niah_104,4,7.424571596024651e-08,1.8571422489362284e-08,True,False,True,0.9999999999999999
synthetic_niah_104,8,3.993976864035895e-05,6.331757613485295e-05,True,False,False,0.7999999999999999
synthetic_niah_104,12,5.6180762063225695e-06,4.102385457365146e-06,True,False,True,0.9999999999999999
synthetic_niah_104,16,4.359702020779836e-07,1.2014409764481474e-07,True,False,True,0.9999999999999999
synthetic_niah_104,20,0.00035588268565334147,0.0006209910835271622,True,False,True,0.9999999999999999
synthetic_niah_104,24,0.00013604215412972923,0.00019141848914235558,True,False,True,0.9999999999999999
synthetic_niah_104,28,1.4292140953386934e-05,2.654841716598355e-05,True,False,True,0.9999999999999999
synthetic_niah_104,32,0.00100164663823913,0.00037443071255438554,False,False,True,0.9999999999999999
synthetic_niah_104,36,0.0016798265805846313,0.00342058762517658,False,True,False,0.7
synthetic_niah_104,40,3.143905806246572e-07,0.002102321348496229,True,True,False,-0.7
synthetic_niah_104,44,0.00026855831108029207,8.113540511218379e-05,True,False,True,0.9999999999999999
synthetic_niah_104,48,1.2032513344214179e-05,1.5656798723284737e-05,True,False,False,0.09999999999999999
synthetic_niah_104,52,0.000738914944425538,0.00047986677357888044,True,False,False,0.8999999999999998
synthetic_niah_104,56,0.04513697884976864,0.06760749888023082,False,True,True,0.9999999999999999
synthetic_niah_104,60,0.0008376816598077621,8.79668944738423e-05,True,False,False,0.8999999999999998
synthetic_niah_105,0,3.292857949548298,5.169166340847138,False,True,True,0.9999999999999999
synthetic_niah_105,4,7.1906811233425595e-06,1.7979870926132846e-06,True,False,True,0.9999999999999999
synthetic_niah_105,8,9.951251554378643e-05,0.0002150460241475364,True,False,True,0.9999999999999999
synthetic_niah_105,12,6.694793928119225e-07,4.5728853667372405e-07,True,False,True,0.9999999999999999
synthetic_niah_105,16,3.0887737811161973e-06,1.1004242416611874e-06,True,False,True,0.9999999999999999
synthetic_niah_105,20,0.0014979219159461836,0.0025962455338420414,False,True,True,0.9999999999999999
