strategy,horizon,task,scope,metric,mean,median,q10,q25,q75,q90,cluster_bootstrap_mean_ci_low,cluster_bootstrap_mean_ci_high,n_rows,n_samples
attention_weighted_v_ridge_leverage,1,gov_report,task,avg_delta_nll,0.010172118046142249,0.00041410781665973673,-0.032140879869572814,-0.012922144849341066,0.007586493584597065,0.04739325836650393,-0.012868532727569477,0.036237778879498965,15,5
attention_weighted_v_ridge_leverage,1,gov_report,task,max_delta_nll,0.010172118046142249,0.00041410781665973673,-0.032140879869572814,-0.012922144849341066,0.007586493584597065,0.04739325836650393,-0.012868532727569477,0.034785457681504775,15,5
attention_weighted_v_ridge_leverage,1,gov_report,task,avg_approx_kl,0.007048726058467764,0.0029252382792716684,0.00018984214019415638,0.0007406372593039414,0.005438562403177395,0.013097203630379629,0.003104082854089667,0.013596467363657178,15,5
attention_weighted_v_ridge_leverage,1,gov_report,task,attention_output_error_mean,0.21728475524319543,0.18631753077109656,0.1479900985956192,0.1643476029857993,0.2348367739468813,0.32464453577995295,0.1874696530401707,0.24709985744622018,15,5
attention_weighted_v_ridge_leverage,1,gov_report,task,oracle_overlap,0.2682478606454371,0.26949729358332225,0.22766863925870112,0.2495170300020924,0.2871327753897692,0.30870958946252686,0.252908770645394,0.2866282147772733,15,5
attention_weighted_v_ridge_leverage,1,niah_single_1,task,avg_delta_nll,0.00952450670298859,7.320383384978868e-05,-0.020031218554947113,-7.62528289932618e-06,0.016720285926535183,0.041506987307812424,-0.00247127308317161,0.023188076882976832,15,5
attention_weighted_v_ridge_leverage,1,niah_single_1,task,max_delta_nll,0.00952450670298859,7.320383384978868e-05,-0.020031218554947113,-7.62528289932618e-06,0.016720285926535183,0.041506987307812424,-0.0010259320299086975,0.023490926576395548,15,5
attention_weighted_v_ridge_leverage,1,niah_single_1,task,avg_approx_kl,0.0024199502407566947,0.0003381722992454782,3.898786184862645e-07,1.121167393639983e-06,0.0007730706526877479,0.0021772395399464136,0.00024884324034981227,0.006264640628482101,15,5
attention_weighted_v_ridge_leverage,1,niah_single_1,task,attention_output_error_mean,0.08627884888899442,0.09989443048834801,0.046481255690256754,0.06949649409701426,0.10640198535596332,0.1121769705787301,0.08128418632162114,0.09007182846326031,15,5
attention_weighted_v_ridge_leverage,1,niah_single_1,task,oracle_overlap,0.48817607807989055,0.4709811813494825,0.42007232347558066,0.4373447287006802,0.5512324202111896,0.5734349136868083,0.48220298074959034,0.49366456928053987,15,5
attention_weighted_v_ridge_leverage,1,reasoning_long_generation,task,avg_delta_nll,0.008142128446307595,8.570376053285145e-06,-0.025203292024758638,-0.005048322122522819,0.021145718802632274,0.05503044574955921,-0.011079379907696089,0.02976393619746934,15,5
attention_weighted_v_ridge_leverage,1,reasoning_long_generation,task,max_delta_nll,0.008142128446307595,8.570376053285145e-06,-0.025203292024758638,-0.005048322122522819,0.021145718802632274,0.05503044574955921,-0.011079379907696089,0.029282416283898983,15,5
attention_weighted_v_ridge_leverage,1,reasoning_long_generation,task,avg_approx_kl,0.004482580887973585,0.003772758559565853,6.032909231689994e-06,0.0005059269447532438,0.004392098292543377,0.011540509824836462,0.0019455358809699341,0.007632821834786459,15,5
attention_weighted_v_ridge_leverage,1,reasoning_long_generation,task,attention_output_error_mean,0.17179816501035625,0.13810263015329838,0.10536706323424976,0.13181312087302405,0.1798640275374055,0.3068520058567325,0.1549808430317009,0.19093298534579742,15,5
attention_weighted_v_ridge_leverage,1,reasoning_long_generation,task,oracle_overlap,0.49045162347888227,0.5075088602503445,0.4317669908955733,0.46016301794320813,0.5251825258930558,0.5376019873056535,0.47148069437756074,0.5067431321439057,15,5
attention_weighted_v_ridge_leverage,4,gov_report,task,avg_delta_nll,0.06008485135362284,0.023037086007438923,0.001263193629516657,0.00962398012970933,0.07194592631551888,0.1644261966488098,0.0142870978502744,0.10626777487468467,15,5
attention_weighted_v_ridge_leverage,4,gov_report,task,max_delta_nll,0.26666648953384614,0.1252609983984314,0.00445398187509909,0.041593642924748764,0.20964790703752634,0.6715677551940067,0.12594064984208325,0.4245599253047778,15,5
attention_weighted_v_ridge_leverage,4,gov_report,task,avg_approx_kl,0.06101451259334136,0.009923267465863387,0.003122133715131201,0.006777378859479611,0.04398074670707093,0.15521063394875084,0.0239779032991846,0.11296877372685452,15,5
attention_weighted_v_ridge_leverage,4,gov_report,task,attention_output_error_mean,0.25142921878852775,0.21629446170603236,0.15299429884180427,0.18220585794188082,0.29427289768743015,0.42140065717200437,0.2261450532927282,0.2720296769418444,15,5
attention_weighted_v_ridge_leverage,4,gov_report,task,oracle_overlap,0.27527882520651265,0.2865946592364578,0.231975123301296,0.25220562108708455,0.2920461150466523,0.3181902539673133,0.25899483269924906,0.2926413607528703,15,5
attention_weighted_v_ridge_leverage,4,niah_single_1,task,avg_delta_nll,0.0056562616740439015,0.0008835014450543355,-0.006223756922050504,-1.0333834902898076e-05,0.006659544490771108,0.02438664315077811,0.0009945143409930926,0.010555206915339236,15,5
attention_weighted_v_ridge_leverage,4,niah_single_1,task,max_delta_nll,0.020622138125203787,0.005231228909092778,5.904802443978953e-06,5.5064136580185163e-05,0.02346449711922638,0.05390461914280066,0.010215285674125833,0.03369127664247031,15,5
attention_weighted_v_ridge_leverage,4,niah_single_1,task,avg_approx_kl,0.0015437330538745715,0.00020184130685689682,1.7644020334630255e-06,2.368682106612224e-05,0.0003779058655670057,0.005415387251991541,0.00018727619534181778,0.003117876943366766,15,5
attention_weighted_v_ridge_leverage,4,niah_single_1,task,attention_output_error_mean,0.08582292889643414,0.09194853769925734,0.04998375145563235,0.06766003155189537,0.10139528529543895,0.11675051995553076,0.08047721847557722,0.09050804167774185,15,5
attention_weighted_v_ridge_leverage,4,niah_single_1,task,oracle_overlap,0.5028060470940946,0.46957915340932027,0.43079749867009753,0.4496396748356457,0.5759688797477918,0.6152493140013013,0.49539238923887513,0.5102616021923109,15,5
attention_weighted_v_ridge_leverage,4,reasoning_long_generation,task,avg_delta_nll,0.02519228337168998,0.014347503414776419,-0.023512001773342027,-0.010120278111747538,0.03480620301699444,0.05371144893832013,0.006256700370821141,0.05765002255891112,15,5
attention_weighted_v_ridge_leverage,4,reasoning_long_generation,task,max_delta_nll,0.114470096947471,0.0552027645065003,0.006901825801480044,0.022808725598123303,0.12701442762753068,0.1814213719304817,0.05118643520097071,0.21721914907400344,15,5
attention_weighted_v_ridge_leverage,4,reasoning_long_generation,task,avg_approx_kl,0.014688949270564734,0.00677542183082946,0.004556524349313012,0.005643684565929369,0.007935920092889768,0.04333209195144905,0.006288542509088369,0.022915702257329185,15,5
attention_weighted_v_ridge_leverage,4,reasoning_long_generation,task,attention_output_error_mean,0.19762643745175915,0.18282222243336338,0.14453072870771091,0.15798024681862444,0.2318001547290199,0.2800062680384144,0.1869056924691904,0.20834718243432793,15,5
attention_weighted_v_ridge_leverage,4,reasoning_long_generation,task,oracle_overlap,0.5009146647479362,0.5158177162746109,0.4443980521373195,0.47881331974971475,0.5345362645760606,0.5404247133905062,0.48686726301677985,0.5170441553815179,15,5
attention_weighted_v_ridge_leverage,16,gov_report,task,avg_delta_nll,0.19146917014340983,0.08781115197167244,0.007276809337272908,0.03240629406849582,0.2339311246609942,0.4427212465463823,0.10498470703614317,0.30135584223310974,15,5
attention_weighted_v_ridge_leverage,16,gov_report,task,max_delta_nll,1.638590519773651,0.8264213320035871,0.18943507261089962,0.4699901470128651,1.557644890040681,2.977977397410092,0.876564683111446,2.74292215185055,15,5
attention_weighted_v_ridge_leverage,16,gov_report,task,avg_approx_kl,0.1544373596107223,0.06815076563016637,0.02808670204776647,0.03842579416222966,0.17289812836087487,0.31603831868928794,0.09216534437955384,0.24129259760487232,15,5
attention_weighted_v_ridge_leverage,16,gov_report,task,attention_output_error_mean,0.27018942828912224,0.248676702613011,0.2040508886959704,0.2137310875702383,0.31517769150862784,0.3664012393159889,0.2613324190536515,0.27831461148508274,15,5
attention_weighted_v_ridge_leverage,16,gov_report,task,oracle_overlap,0.2843753765521766,0.28781248971938,0.2509721233404217,0.2688771164684683,0.30071497970569155,0.3188687842541343,0.264894028478288,0.3018526209459421,15,5
