layer,shared_mass,own_mass,gain,own_shared_overlap
0,0.8557054835067078,0.9037313058081856,0.04802582230147786,0.5945490056818182
1,0.8565885251421818,0.889771698532981,0.03318317339079934,0.6550514914772727
2,0.9164990419704577,0.9380235611571578,0.021524519186700022,0.6075787168560606
3,0.9653708083990312,0.9791097791842143,0.013738970785183192,0.6038085937500001
4,0.9671055952025455,0.9780532658446764,0.010947670642130905,0.6311612215909091
5,0.9498707559047294,0.967196941620332,0.017326185715602575,0.6442974668560606
6,0.931754777641796,0.948252436035518,0.01649765839372185,0.6991122159090909
7,0.9809039012282902,0.988264613530069,0.007360712301778745,0.5556226325757575
8,0.97181224337703,0.9800586609891244,0.008246417612094497,0.6344164299242424
9,0.9688486767464095,0.978818134772371,0.009969458025961534,0.6576734138257575
10,0.9723026728035286,0.9810348981242222,0.00873222532069356,0.6563358191287879
11,0.9636565164086549,0.97426038399075,0.010603867582095078,0.6603397253787878
12,0.9705510199653576,0.9785143071862685,0.007963287220910858,0.7051905776515152
13,0.9678438767629864,0.977938112458092,0.010094235695105482,0.6186434659090909
14,0.9761516467459074,0.9822657022320418,0.006114055486134342,0.6432173295454545
15,0.9711523766298903,0.9780547243911055,0.006902347761215222,0.689056581439394
16,0.9679066855241735,0.9759247923668378,0.008018106842664388,0.7592151988636364
17,0.9710242101696193,0.9793693121083926,0.008345101938773448,0.7408321496212121
18,0.9655460422542338,0.9732335332229308,0.007687490968697,0.7774857954545454
19,0.9741335612762626,0.9816813702811235,0.007547809004860781,0.71474609375
20,0.9748351074149565,0.9827208905865792,0.007885783171622744,0.7096442945075757
21,0.978562357924666,0.9846223359149109,0.006059977990244989,0.731057646780303
22,0.9791565569741193,0.9854384352717583,0.00628187829763902,0.7075372869318182
23,0.9817299265377571,0.9868892023353332,0.005159275797576115,0.7224106297348484
24,0.9809589641625132,0.987198959202317,0.006239995039803921,0.7409564393939393
25,0.9890433127689254,0.9926086991457271,0.003565386376801644,0.6895744554924242
26,0.9844346233892945,0.989512703739746,0.005078080350451445,0.7158321496212121
27,0.985684863490198,0.9898306818835477,0.0041458183933496436,0.6892874053030303
28,0.9841524005884726,0.9902489377450686,0.006096537156595983,0.6540246212121212
29,0.9898247789220583,0.9933508782084991,0.0035260992864407513,0.7150272253787878
30,0.9922697324657045,0.99563689008174,0.0033671576160353243,0.6673532196969697
31,0.9910735683281319,0.9939761531536306,0.0029025848254986297,0.7031575520833333
32,0.9931326963628487,0.99604972235298,0.0029170259901312363,0.624606415719697
33,0.9895639374417112,0.9928291342451815,0.0032651968034701283,0.7381214488636364
34,0.9867127048620309,0.9910595252299378,0.004346820367906903,0.6720969460227272
35,0.9715240857270744,0.9777703891597306,0.006246303432656226,0.6527610085227272
