sample_id,cycle,layer,recall_p4,recall_p8,recall_p16,recall_p32
synthetic_niah_86,0,0,0.7318181818181818,0.7318181818181818,0.740909090909091,0.7090909090909091
synthetic_niah_86,0,1,0.5818181818181818,0.55,0.5545454545454546,0.5409090909090909
synthetic_niah_86,0,2,0.6272727272727273,0.6045454545454545,0.6090909090909091,0.6045454545454545
synthetic_niah_86,0,3,0.6272727272727273,0.6045454545454545,0.6,0.6318181818181818
synthetic_niah_86,0,4,0.6318181818181818,0.6045454545454545,0.6181818181818182,0.6227272727272727
synthetic_niah_86,0,5,0.5954545454545455,0.5363636363636364,0.5227272727272727,0.5318181818181819
synthetic_niah_86,0,6,0.5681818181818182,0.509090909090909,0.5045454545454545,0.5045454545454545
synthetic_niah_86,0,7,0.5409090909090909,0.4727272727272727,0.4727272727272727,0.4681818181818182
synthetic_niah_86,0,8,0.6681818181818182,0.5909090909090909,0.5909090909090909,0.5954545454545455
synthetic_niah_86,0,9,0.65,0.5954545454545455,0.5954545454545455,0.5818181818181818
synthetic_niah_86,0,10,0.7136363636363636,0.6681818181818182,0.6,0.6409090909090909
synthetic_niah_86,0,11,0.6590909090909091,0.5681818181818182,0.5727272727272728,0.5727272727272728
synthetic_niah_86,0,12,0.6818181818181818,0.5954545454545455,0.5909090909090909,0.5863636363636363
synthetic_niah_86,0,13,0.6590909090909091,0.6227272727272727,0.6181818181818182,0.6045454545454545
synthetic_niah_86,0,14,0.6863636363636364,0.6363636363636364,0.6318181818181818,0.6409090909090909
synthetic_niah_86,0,15,0.6181818181818182,0.5818181818181818,0.5727272727272728,0.5727272727272728
synthetic_niah_86,0,16,0.6954545454545454,0.65,0.6636363636363637,0.6272727272727273
synthetic_niah_86,0,17,0.6590909090909091,0.6136363636363636,0.6090909090909091,0.5818181818181818
synthetic_niah_86,0,18,0.6272727272727273,0.5727272727272728,0.5772727272727273,0.5727272727272728
synthetic_niah_86,0,19,0.6636363636363637,0.6318181818181818,0.6136363636363636,0.5636363636363636
synthetic_niah_86,0,20,0.75,0.7045454545454546,0.6772727272727272,0.5818181818181818
synthetic_niah_86,0,21,0.6772727272727272,0.65,0.6272727272727273,0.5954545454545455
synthetic_niah_86,0,22,0.7090909090909091,0.6590909090909091,0.6590909090909091,0.6272727272727273
synthetic_niah_86,0,23,0.7363636363636363,0.6590909090909091,0.6590909090909091,0.5954545454545455
synthetic_niah_86,0,24,0.6909090909090909,0.6227272727272727,0.6181818181818182,0.6090909090909091
synthetic_niah_86,0,25,0.6636363636363637,0.6272727272727273,0.6227272727272727,0.6
synthetic_niah_86,0,26,0.7136363636363636,0.6363636363636364,0.6090909090909091,0.5636363636363636
synthetic_niah_86,0,27,0.6681818181818182,0.6227272727272727,0.6136363636363636,0.6136363636363636
synthetic_niah_86,0,28,0.6818181818181818,0.6636363636363637,0.6545454545454545,0.6181818181818182
synthetic_niah_86,0,29,0.6818181818181818,0.5954545454545455,0.5863636363636363,0.5772727272727273
synthetic_niah_86,0,30,0.65,0.5954545454545455,0.6045454545454545,0.5909090909090909
synthetic_niah_86,0,31,0.6454545454545455,0.5909090909090909,0.6,0.5954545454545455
synthetic_niah_86,0,32,0.6409090909090909,0.6045454545454545,0.5772727272727273,0.5636363636363636
synthetic_niah_86,0,33,0.7318181818181818,0.6590909090909091,0.6590909090909091,0.6045454545454545
synthetic_niah_86,0,34,0.6863636363636364,0.6181818181818182,0.6045454545454545,0.5818181818181818
synthetic_niah_86,0,35,0.7272727272727273,0.6909090909090909,0.6909090909090909,0.6909090909090909
synthetic_niah_86,1,0,0.7318181818181818,0.740909090909091,0.740909090909091,0.7318181818181818
synthetic_niah_86,1,1,0.5590909090909091,0.5454545454545454,0.5272727272727272,0.509090909090909
synthetic_niah_86,1,2,0.6636363636363637,0.65,0.6318181818181818,0.6272727272727273
synthetic_niah_86,1,3,0.7045454545454546,0.65,0.6545454545454545,0.6954545454545454
synthetic_niah_86,1,4,0.6272727272727273,0.5818181818181818,0.5863636363636363,0.5954545454545455
synthetic_niah_86,1,5,0.5727272727272728,0.509090909090909,0.509090909090909,0.5181818181818182
synthetic_niah_86,1,6,0.5636363636363636,0.5227272727272727,0.5136363636363637,0.5181818181818182
synthetic_niah_86,1,7,0.5681818181818182,0.509090909090909,0.5045454545454545,0.5045454545454545
synthetic_niah_86,1,8,0.6636363636363637,0.6136363636363636,0.6090909090909091,0.6045454545454545
synthetic_niah_86,1,9,0.6681818181818182,0.6227272727272727,0.6227272727272727,0.6181818181818182
synthetic_niah_86,1,10,0.6772727272727272,0.6181818181818182,0.6136363636363636,0.6045454545454545
synthetic_niah_86,1,11,0.6454545454545455,0.6090909090909091,0.6,0.6090909090909091
synthetic_niah_86,1,12,0.7136363636363636,0.6727272727272727,0.6727272727272727,0.65
synthetic_niah_86,1,13,0.7,0.6863636363636364,0.6863636363636364,0.6681818181818182
synthetic_niah_86,1,14,0.7136363636363636,0.6863636363636364,0.6818181818181818,0.6590909090909091
synthetic_niah_86,1,15,0.6272727272727273,0.6181818181818182,0.6090909090909091,0.6090909090909091
synthetic_niah_86,1,16,0.6363636363636364,0.6090909090909091,0.6,0.5909090909090909
synthetic_niah_86,1,17,0.7045454545454546,0.6363636363636364,0.65,0.6136363636363636
synthetic_niah_86,1,18,0.6318181818181818,0.5954545454545455,0.6045454545454545,0.5863636363636363
synthetic_niah_86,1,19,0.7,0.6772727272727272,0.6590909090909091,0.6363636363636364
synthetic_niah_86,1,20,0.7636363636363637,0.7181818181818181,0.7,0.65
synthetic_niah_86,1,21,0.7045454545454546,0.6590909090909091,0.6136363636363636,0.5727272727272728
synthetic_niah_86,1,22,0.6909090909090909,0.6409090909090909,0.6454545454545455,0.6227272727272727
synthetic_niah_86,1,23,0.6590909090909091,0.6,0.5727272727272728,0.5818181818181818
synthetic_niah_86,1,24,0.6772727272727272,0.5954545454545455,0.5772727272727273,0.5681818181818182
synthetic_niah_86,1,25,0.6545454545454545,0.6181818181818182,0.6045454545454545,0.5863636363636363
synthetic_niah_86,1,26,0.7181818181818181,0.6590909090909091,0.6454545454545455,0.5772727272727273
synthetic_niah_86,1,27,0.6545454545454545,0.5909090909090909,0.5909090909090909,0.5636363636363636
synthetic_niah_86,1,28,0.6818181818181818,0.6318181818181818,0.6,0.5681818181818182
synthetic_niah_86,1,29,0.7136363636363636,0.65,0.6272727272727273,0.6227272727272727
synthetic_niah_86,1,30,0.6363636363636364,0.5909090909090909,0.5863636363636363,0.5863636363636363
synthetic_niah_86,1,31,0.6227272727272727,0.5909090909090909,0.5818181818181818,0.5954545454545455
synthetic_niah_86,1,32,0.6818181818181818,0.6272727272727273,0.5954545454545455,0.5772727272727273
synthetic_niah_86,1,33,0.7181818181818181,0.6590909090909091,0.65,0.6090909090909091
synthetic_niah_86,1,34,0.6772727272727272,0.6318181818181818,0.6227272727272727,0.5863636363636363
synthetic_niah_86,1,35,0.759090909090909,0.7,0.7181818181818181,0.7
synthetic_niah_86,2,0,0.7,0.7090909090909091,0.6954545454545454,0.7
synthetic_niah_86,2,1,0.6045454545454545,0.5363636363636364,0.5181818181818182,0.4863636363636364
synthetic_niah_86,2,2,0.6636363636363637,0.6409090909090909,0.6227272727272727,0.6090909090909091
synthetic_niah_86,2,3,0.740909090909091,0.6772727272727272,0.7136363636363636,0.7136363636363636
synthetic_niah_86,2,4,0.6363636363636364,0.6,0.6090909090909091,0.5863636363636363
synthetic_niah_86,2,5,0.6,0.5272727272727272,0.5409090909090909,0.5318181818181819
synthetic_niah_86,2,6,0.6136363636363636,0.5727272727272728,0.5636363636363636,0.5636363636363636
synthetic_niah_86,2,7,0.6090909090909091,0.5590909090909091,0.5545454545454546,0.5545454545454546
