task,cycles,p90_kl,rho_missed_core_mass,lift_missed_core_mass,rho_attn_entropy,lift_attn_entropy,rho_cycle_index,lift_cycle_index
govreport,192,0.06168423891067505,0.06472275723625316,1.92,0.30891578276320436,1.92,0.22724436499421782,2.7428571428571424
niah,192,0.05475045032799246,-0.07464802105091828,0.48,-0.13051704961614627,0.48,0.3618044460926027,0.9142857142857141
reasoning,128,0.02712145633995533,0.16725988829884636,2.272189349112426,0.2618911371543673,3.7869822485207103,-0.28672969628490497,0.0
