rule,kind,split,precision,recall,f1,feature_auc,alert_rate,n_alert,mean_benefit_alerted,mean_benefit_not_alerted,benefit_lift
compressed_sketch_l2_gt_18.2819,single,calibration,0.8208955223880597,0.9649122807017544,0.8870967741935484,0.8551007147498375,0.7976190476190477,67,0.39901579100070317,0.0956832197695015,0.30333257123120166
compressed_sketch_l2_gt_18.2819,single,evaluation,0.6818181818181818,0.9375,0.7894736842105263,0.7777777777777778,0.7857142857142857,66,0.27948770977271686,0.0557459704677976,0.22374173930491925
compressed_sketch_l2_gt_18.2819,single,replication,0.746268656716418,0.9259259259259259,0.8264462809917356,0.7685185185185185,0.7976190476190477,67,0.21820464973091866,0.14557888431145377,0.07262576541946489
retained_overlap_le_0.992248,single,calibration,0.7916666666666666,1.0,0.8837209302325582,0.195906432748538,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
retained_overlap_le_0.992248,single,evaluation,0.6666666666666666,1.0,0.8,0.3194444444444444,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
retained_overlap_le_0.992248,single,replication,0.75,1.0,0.8571428571428571,0.2037037037037037,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
recent_window_exits_gt_0.015625,single,calibration,0.7916666666666666,1.0,0.8837209302325582,0.804093567251462,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
recent_window_exits_gt_0.015625,single,evaluation,0.6666666666666666,1.0,0.8,0.6805555555555556,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
recent_window_exits_gt_0.015625,single,replication,0.75,1.0,0.8571428571428571,0.7962962962962963,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
horizon_gt_0.5,single,calibration,0.7916666666666666,1.0,0.8837209302325582,0.804093567251462,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
horizon_gt_0.5,single,evaluation,0.6666666666666666,1.0,0.8,0.6805555555555556,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
horizon_gt_0.5,single,replication,0.75,1.0,0.8571428571428571,0.7962962962962963,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
top_reused_one_midpoint_shift_gt_0.0371001,single,calibration,0.7916666666666666,1.0,0.8837209302325582,0.7732293697205977,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
