baseline,paired_samples,mean_baseline_minus_teacher_kl,ci95_lower,ci95_upper,teacher_wins,ties,teacher_losses,min_diff,max_diff
uniform,10,0.8738953665567489,0.6478034343348298,1.120665403045168,10,0,0,0.2999355222247885,1.5535071270501877
recency,10,0.773889161147992,0.48417471330310896,1.075234336678829,10,0,0,0.18690744963807152,1.5665003910474542
attention,10,0.3245006212788368,0.211416692625118,0.45137784283467525,10,0,0,0.1024153107120998,0.76568692663216
qk_pool,10,-0.01267739048692112,-0.020681150782806277,-0.005896085787402928,0,0,10,-0.0387329437966518,-0.0005221499545697995
quest_like,10,0.0029598012291515807,-0.005912336719958821,0.010115710819081646,7,0,3,-0.0278828464979913,0.015580323106428099
