layer,task,var_log_attn,var_log_vn,var_log_pv,var_log_delta,rows
0,gov_report,1.4859391545714946,0.016233929019999576,0.012961971662118987,1.3655879202950723,669600
0,niah_single_1,1.6019101675167533,0.014789246840407496,0.013066031091687157,1.3747451900884848,901920
0,reasoning_long_generation,1.3038682765417737,0.01508484910359695,0.013228242560743016,1.1890803621876693,398080
1,gov_report,1.5027430016051067,0.13298030627476945,0.12327432845920412,1.142910205204829,669600
1,niah_single_1,1.4911590945758124,0.06495449612388965,0.06860157516773778,1.1236416733246648,901920
1,reasoning_long_generation,1.3940270936629187,0.09123660874819253,0.09056989860775548,1.0502989233981908,398080
2,gov_report,1.1883409406508934,0.07751845920869764,0.06636078691492898,1.068847354854077,669600
2,niah_single_1,1.2721514876813056,0.05038828651418751,0.04484053180877798,1.180837385794657,901920
2,reasoning_long_generation,1.619327417135702,0.08648237245394305,0.07592678948831083,1.3357657845824682,398080
3,gov_report,1.903939180940824,0.09637477240297108,0.09892265736764459,1.65771826355381,669600
3,niah_single_1,2.175746924139199,0.05516734574149657,0.06400998057483365,1.9330610868193352,901920
3,reasoning_long_generation,3.070232817681145,0.11112230781502916,0.11176918297778345,2.609962744941782,398080
4,gov_report,1.7833126655031901,0.0900460358574281,0.08872376456942148,1.7495207994867554,669600
4,niah_single_1,3.5419936943943293,0.03881724077049036,0.041796995714011166,3.349947753795223,901920
4,reasoning_long_generation,3.6421798681113366,0.09699815442478404,0.09792542018476283,3.24999322526658,398080
5,gov_report,1.91001306722354,0.07933200330122003,0.0885414369833495,1.7866479408730882,669600
5,niah_single_1,2.368864810418435,0.036741544549734155,0.04080578832560658,2.1910555175219537,901920
5,reasoning_long_generation,2.71917622263377,0.07562641889442583,0.08176744862464284,2.343844049436962,398080
6,gov_report,1.318846892959285,0.0933760795456386,0.09354941119190628,1.2139430459323608,669600
6,niah_single_1,2.1213714963562627,0.08354470844114914,0.0908623291543404,1.8243065241849625,901920
6,reasoning_long_generation,1.9029480132733403,0.08814609191003832,0.08909504822050758,1.594009963819814,398080
7,gov_report,1.6029053612779989,0.02068550424276715,0.021106001902193156,1.6188044790043261,669600
7,niah_single_1,2.056096804481467,0.012761983358803259,0.01306312478884774,1.9818147852268089,901920
7,reasoning_long_generation,1.6677527641463807,0.01858318796262429,0.019770186390115733,1.7043864495957046,398080
8,gov_report,1.6629543638051232,0.022949357528432798,0.023436122986253635,1.7275044080105468,669600
8,niah_single_1,2.05033736014008,0.01258256487407012,0.01242683564229951,2.0136782741025874,901920
8,reasoning_long_generation,2.1480028731677727,0.02636271815595045,0.026495864712368977,2.2501900252783225,398080
9,gov_report,2.1124115867518896,0.019548050638183545,0.020550524631730786,2.140306664653113,669600
9,niah_single_1,2.4100392902069663,0.013158601231193248,0.013540265779959346,2.271316823269068,901920
9,reasoning_long_generation,2.75908491681591,0.02364900725949659,0.025075811294731305,2.8097880946696794,398080
10,gov_report,2.373666125665817,0.021688771536718228,0.023959582524872063,2.2611127678235463,669600
10,niah_single_1,2.4808966122307945,0.0078141787656902,0.008431634318788924,2.5391635638493946,901920
10,reasoning_long_generation,2.8636931475207175,0.02072773044629668,0.023806233357449243,2.927874302642343,398080
