anchor,average_delta_nll,change_point,change_point_method,config_hash,cumulative_delta_nll,delta_nll_curvature,delta_nll_slope,first_large_loss_spike,git_commit,head,lag,layer,model,run_id,running_max_delta_nll,sample_id,seed,signal_kind,strategy,target_horizon,task,cosine_similarity,normalized_l2_drift,score_autocorrelation,score_max,score_mean,score_min,score_std,selection_boundary_margin_anchor,selection_boundary_margin_future,spearman_rank_correlation,top_core_jaccard,attention_distribution_cosine,attention_entropy,attention_rank_correlation,attention_top1_mass,attention_top8_mass,attention_top_core_overlap,query_cosine_to_anchor,query_norm_change,selected_core_attention_mass,condition_clip_floor,condition_number_clipped,condition_warning,effective_rank,leading_singular_values,selected_core_diversity,selected_pairwise_cosine_mean,selected_pairwise_cosine_std,selected_span_reconstruction_residual_mean,stable_rank,unselected_residual_mean,future_new_token_residual,sample_cluster,geometry_reference,geometry_time_scope,unavailable_geometry_metrics
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,0,27,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,0.00028755572509765623,17.801620851564028,False,106.60874938964844,"[287.5557251  198.29100037 165.28904724 153.77633667 148.67326355
 139.71224976 136.26138306 130.23291016]",0.8973298072814941,0.08391638100147247,0.10442598164081573,9.723609082357143e-07,7.886132616635781,9.665884590503993e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,1,0,27,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,0.0002661520385742187,15.363651647779239,False,106.61556243896484,"[266.15203857 221.442276   192.58877563 174.58911133 174.09106445
 154.55551147 148.31072998 140.02659607]",0.9098147079348564,0.05057649686932564,0.11177042871713638,9.978801926990855e-07,10.638079285118412,1.01222315151972e-06,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,0,0,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,8.509365844726562e-05,40.42010886097338,False,95.31553649902344,"[85.09365845 38.92578506 24.0594883  21.20672798 19.39667511 18.71677399
 17.85556793 17.28959465]",0.6077828705310822,0.39221712946891785,0.07632522284984589,8.172339676093543e-07,2.484569800611298,8.100548711809097e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,1,0,0,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,4.2074054718017576e-05,22.571545787092266,False,103.69607543945312,"[42.07405472 32.86396027 24.02276039 23.32734108 21.99392891 20.63878059
 19.5291996  18.76325417]",0.8949170485138893,0.06993231177330017,0.12218116223812103,9.564780611981405e-07,7.8597416080826985,9.631588682168513e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,0,14,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,0.0001586404571533203,29.155009782947133,False,98.86749267578125,"[158.64045715  76.61454773  63.96941376  58.23041916  56.65784454
  55.21330261  50.43645859  49.39558411]",0.7368978261947632,0.2561732530593872,0.15325747430324554,8.190282301256957e-07,3.7031902543336064,8.273649427792407e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,1,0,14,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,9.791933441162108e-05,11.4551421301465,False,111.10952758789062,"[97.91933441 66.72176361 61.37285233 58.48687363 53.18115616 48.85105133
 47.39359283 44.04773712]",0.87039615213871,0.09772700816392899,0.13513626158237457,9.248726087207615e-07,8.95599804161876,9.375160061608767e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,0,27,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,0.00028755572509765623,17.801620851564028,False,106.60874938964844,"[287.5557251  198.29100037 165.28904724 153.77633667 148.67326355
 139.71224976 136.26138306 130.23291016]",0.8800159022212029,0.10585946589708328,0.11340317130088806,9.698202347863116e-07,7.886132616635781,9.750061735758209e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
0,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,1,0,27,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,attention_weighted_v_ridge_leverage,,gov_report,,,,,,,,,,,,,,,,,,,,,0.0002661520385742187,15.363651647779239,False,106.61556243896484,"[266.15203857 221.442276   192.58877563 174.58911133 174.09106445
 154.55551147 148.31072998 140.02659607]",0.9108592718839645,0.04686180502176285,0.11275963485240936,9.638388291932642e-07,10.638079285118412,9.69185066423961e-07,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
16,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,0,0,0,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,snapkv,,gov_report,,,,,,,,,,,,,,,,,,,,,8.58519058227539e-05,40.334536200260764,False,95.3231201171875,"[85.85190582 39.33211899 24.22493744 21.37838173 19.66342735 18.88827515
 17.92491722 17.53834915]",0.5536854863166809,0.4463145136833191,0.1768060177564621,0.14998434484004974,2.4830851985235265,0.19850847125053406,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
16,,,,8f20b2c1049e7f586cd822cda014b4336a2fa80777504d8f81b8bd7fab06559e,,,,,1d64abc8839e31ee1a0615e19a3b3b1809ca5618,1,0,0,mlx-community/Qwen2.5-1.5B-Instruct-4bit,discovery_small_4bit_seed42_protocol_v4,,gov_report:0,42,value_geometry,snapkv,,gov_report,,,,,,,,,,,,,,,,,,,,,4.2642517089843745e-05,22.815133511171343,False,103.66374206542969,"[42.64251709 33.11852646 24.46029091 23.58267403 22.14893913 20.73213196
 19.6805439  18.93502998]",0.8600524365901947,0.08685750514268875,0.1994961053133011,0.19604668021202087,7.7900608772543665,0.2594732344150543,,gov_report::gov_report:0,selected_core_at_anchor,anchor_only,full-history-new-direction-residual;online-ridge-leverage;expanding-local-ew-covariance-drift;principal-angles;projection-distance;canonical-correlation;time-resolved-effective-rank;whitened-coordinates;mahalanobis;skewness;kurtosis
