policy,steps,mean_step_kl,p95_step_kl,p99_step_kl,cvar95_step_kl,max_step_kl
a2_temporal_volatility,640,0.263762588683528,1.2888700604438776,5.5823789215088,-6.763540318522471e-09,12.636829376220703
attention,640,0.09758068291238269,0.544113609194753,1.4488098311424256,-1.4471754059865172e-08,7.978097915649414
b2_uniform,640,0.09608959366241865,0.41217490136623286,1.804617972373964,-8.516835083537122e-09,6.70003604888916
dynamic_b3,640,0.11877535443925791,0.5964693725109095,2.343066043853766,-5.958092042304686e-09,6.814000129699707
snapkv,640,0.15963503570223853,0.9269505292177188,3.119182202816012,-4.3249345606580225e-09,5.5269269943237305
teacher_panel,640,0.2321563949356223,1.0940563321113566,3.508270251750946,-1.7719953007526434e-08,15.939372062683105
