rule,split,precision,recall,f1,alert_rate,mean_benefit_alerted,mean_benefit_not_alerted
compressed_sketch_l2_gt_18.2819,calibration,0.8208955223880597,0.9649122807017544,0.8870967741935484,0.9305555555555556,0.39901579100070317,0.3253229472163051
compressed_sketch_l2_gt_18.2819,evaluation,0.6818181818181818,0.9375,0.7894736842105263,0.9166666666666666,0.27948770977271686,0.1672379114033928
compressed_sketch_l2_gt_18.2819,replication,0.746268656716418,0.9259259259259259,0.8264462809917356,0.9305555555555556,0.21820464973091866,0.4949682066589428
retained_overlap_le_0.992248,calibration,0.7916666666666666,1.0,0.8837209302325582,1.0,0.3938982324045644,
retained_overlap_le_0.992248,evaluation,0.6666666666666666,1.0,0.8,1.0,0.27013355990860655,
retained_overlap_le_0.992248,replication,0.75,1.0,0.8571428571428571,1.0,0.23742434118425365,
top_reused_one_midpoint_shift_gt_0.0371,calibration,0.8028169014084507,1.0,0.890625,0.9861111111111112,0.39944609483279775,0.0
top_reused_one_midpoint_shift_gt_0.0371,evaluation,0.6666666666666666,1.0,0.8,1.0,0.27013355990860655,
top_reused_one_midpoint_shift_gt_0.0371,replication,0.7571428571428571,0.9814814814814815,0.8548387096774194,0.9722222222222222,0.23621115053400057,0.27988601394311113
REF_frozen_query_norm_drift_gt_0.000579,calibration,0.7887323943661971,0.9824561403508771,0.875,0.9861111111111112,0.39942435203685933,0.001543738511626759
REF_frozen_query_norm_drift_gt_0.000579,evaluation,0.6714285714285714,0.9791666666666666,0.7966101694915253,0.9722222222222222,0.2635659473345668,0.5
REF_frozen_query_norm_drift_gt_0.000579,replication,0.75,1.0,0.8571428571428571,1.0,0.23742434118425365,
