sample_id,task,cycle,offset,inside_position,outside_position,inside_attn,outside_attn,attn_margin,layers_swapped,base_kl,swap_kl,swap_regret,inside_delta_l0,inside_delta_mean,inside_pv_l0,inside_pv_mean,inside_vn_l0,inside_vn_mean,outside_delta_l0,outside_delta_mean,outside_pv_l0,outside_pv_mean,outside_vn_l0,outside_vn_mean,delta_diff,pv_diff,vn_diff,regret_negative,regret_positive
synthetic_niah_86,niah_single_1,0,1,770,1125,0.00044833868741989136,0.00044801831245422363,3.203749656677246e-07,6,1.0550274055276532e-05,1.0494761227164418e-05,-5.551282811211422e-08,0.0001228577006031628,0.00019173242468618746,0.3838724456727505,15.957902691327035,0.21148130297660828,9.383252441883087,0.00023581816458317917,0.00012019708636574262,0.5187519043684006,20.75214846784042,0.29447469115257263,11.978697307407856,7.153533832044485e-05,-4.794245776513385,-2.595444865524769,True,False
synthetic_niah_86,niah_single_1,0,2,626,806,0.0004487037658691406,0.0004430040717124939,5.6996941566467285e-06,3,1.0550274055276532e-05,1.0567712706688326e-05,1.7438651411794126e-08,0.0001113042192599778,0.00021437944952099977,0.3838724456727505,17.038922720174824,0.21148130297660828,9.937179798053371,0.00010942864173557609,0.0002024618480543299,0.3838724456727505,16.041715669342214,0.21148130297660828,9.422305202318562,1.191760146666986e-05,0.9972070508326105,0.5148745957348098,False,True
synthetic_niah_86,niah_single_1,0,4,728,1017,0.0004498213529586792,0.0004386976361274719,1.1123716831207275e-05,24,1.0550274055276532e-05,1.052519837685395e-05,-2.5075678422581404e-08,0.00018570473093859619,0.0014932349213335873,0.4823289141058922,20.230203528992003,0.27979615330696106,11.737028642661041,0.00024391642273258185,0.00013237059265187097,0.5187519043684006,21.14831903970076,0.29447469115257263,12.170180232160622,0.0013608643286817162,-0.9181155107087555,-0.4331515894995803,True,False
synthetic_niah_86,niah_single_1,0,8,1026,671,0.0004659891128540039,0.00043520331382751465,3.078579902648926e-05,1,1.0550274055276532e-05,1.0510346328373998e-05,-3.992772690253332e-08,0.00026223458735330496,7.096832435829172e-05,0.5187519043684006,20.837760355944436,0.29447469115257263,12.000355577303303,0.00014766579803904278,0.00018021197449138684,0.3838724456727505,16.60953392771383,0.21148130297660828,9.72177684555451,-0.00010924365013309512,4.228226428230606,2.2785787317487927,True,False
synthetic_niah_86,niah_single_1,0,16,518,1007,0.00047697871923446655,0.00041940808296203613,5.757063627243042e-05,27,1.0550274055276532e-05,1.0315719919162802e-05,-2.3455413611372933e-07,9.676877573383535e-05,0.0009284354714941637,0.3838724456727505,16.610835296515788,0.21148130297660828,9.732468465963999,0.00019108461356154294,7.151026296260533e-05,0.4823289141058922,18.871771594716442,0.27979615330696106,10.903822200993696,0.0008569252085315584,-2.2609362982006544,-1.1713537350296974,True,False
synthetic_niah_86,niah_single_1,0,32,527,931,0.0005134344100952148,0.0004009529948234558,0.00011248141527175903,23,1.0550274055276532e-05,1.0465721061336808e-05,-8.455299393972382e-08,0.0001177467784145847,0.0006727854024123224,0.3838724456727505,16.605723261212308,0.21148130297660828,9.698733214702871,0.0002176592070100014,0.00013552863330416423,0.5504622384905815,20.185205017733907,0.31137970089912415,11.555469815101889,0.0005372567691081582,-3.5794817565215986,-1.8567366003990173,True,False
synthetic_niah_86,niah_single_1,4,1,488,748,0.000515371561050415,0.0005136057734489441,1.7657876014709473e-06,28,-5.389580519073525e-14,-5.37853487062815e-14,1.1045648445374978e-16,0.00022660823956099918,0.01186435445638867,0.5550470948219299,28.652068535279895,0.30990034341812134,16.329319326414,0.00012868710797420135,0.00038370593968137554,0.4395107217133045,20.455611041333114,0.24894455075263977,11.772725334597958,0.011480648516707295,8.196457493946781,4.556593991816044,False,False
synthetic_niah_86,niah_single_1,4,2,914,1188,0.0005161091685295105,0.0005134046077728271,2.7045607566833496e-06,1,-5.389580519073525e-14,-5.3913033840882404e-14,-1.722865014715247e-17,0.00014992024263449366,0.0002832011912238623,0.3838724456727505,15.666278418981367,0.21148130297660828,9.208423133525583,0.0002990959955795347,0.019671656801886032,0.5387013554573059,21.045482491246528,0.31569501757621765,12.126549269590113,-0.01938845561066217,-5.379204072265161,-2.9181261360645294,False,False
synthetic_niah_86,niah_single_1,4,4,829,638,0.0005253031849861145,0.0005112886428833008,1.401454210281372e-05,2,-5.389580519073525e-14,-5.3915717241259306e-14,-1.9912050524054092e-17,0.0001603214509486861,0.00022172991729934525,0.4395107217133045,22.489748371040655,0.24894455075263977,12.966117918491364,0.00014099409952450515,0.0006024251020520942,0.4823289141058922,19.64576348827945,0.27979615330696106,11.355337072577742,-0.0003806951847527489,2.8439848827612053,1.610780845913622,False,False
synthetic_niah_86,niah_single_1,4,8,1110,671,0.0005392804741859436,0.0005014613270759583,3.781914710998535e-05,6,-5.389580519073525e-14,-5.3881104086902706e-14,1.4701103832545637e-17,0.00019072723330282315,0.00027589622058944567,0.4823289141058922,18.57010385663145,0.27979615330696106,10.793618234495321,0.00021320895956478125,0.0002763357070701349,0.3838724456727505,16.60953392771383,0.21148130297660828,9.72177684555451,-4.39486480689256e-07,1.9605699289176215,1.0718413889408112,False,False
