sample_id,cycle,layer,jaccard_attn_delta,jaccard_attn_apv,recall_future_attn,recall_future_delta,recall_future_apv
gov_report:86,0,0,0.740909090909091,0.85,0.7681818181818182,0.6181818181818182,0.6818181818181818
gov_report:86,0,1,0.5681818181818182,0.6409090909090909,0.8272727272727273,0.5454545454545454,0.6090909090909091
gov_report:86,0,2,0.8090909090909091,0.8227272727272728,0.6590909090909091,0.6,0.6
gov_report:86,0,3,0.8,0.8181818181818182,0.7,0.6727272727272727,0.6590909090909091
gov_report:86,0,4,0.8045454545454546,0.7909090909090909,0.65,0.6318181818181818,0.6136363636363636
gov_report:86,0,5,0.8590909090909091,0.8545454545454545,0.7136363636363636,0.7,0.7
gov_report:86,0,6,0.6818181818181818,0.6863636363636364,0.759090909090909,0.5909090909090909,0.5863636363636363
gov_report:86,0,7,0.9136363636363637,0.9045454545454545,0.6772727272727272,0.6590909090909091,0.6590909090909091
gov_report:86,0,8,0.8909090909090909,0.8909090909090909,0.6090909090909091,0.5818181818181818,0.5772727272727273
gov_report:86,0,9,0.8818181818181818,0.8863636363636364,0.6181818181818182,0.5954545454545455,0.6
gov_report:86,0,10,0.8636363636363636,0.8590909090909091,0.6954545454545454,0.6227272727272727,0.6272727272727273
gov_report:86,0,11,0.9181818181818182,0.9227272727272727,0.7181818181818181,0.6909090909090909,0.6909090909090909
gov_report:86,0,12,0.9409090909090909,0.9454545454545454,0.7545454545454545,0.7272727272727273,0.7272727272727273
gov_report:86,0,13,0.9590909090909091,0.9545454545454546,0.7227272727272728,0.7090909090909091,0.7045454545454546
gov_report:86,0,14,0.9318181818181818,0.9181818181818182,0.7363636363636363,0.7227272727272728,0.7090909090909091
gov_report:86,0,15,0.9272727272727272,0.9363636363636364,0.8045454545454546,0.7954545454545454,0.7863636363636364
gov_report:86,0,16,0.9545454545454546,0.9545454545454546,0.8045454545454546,0.7818181818181819,0.7818181818181819
gov_report:86,0,17,0.9636363636363636,0.9681818181818181,0.759090909090909,0.759090909090909,0.7545454545454545
gov_report:86,0,18,0.9545454545454546,0.9545454545454546,0.7181818181818181,0.7045454545454546,0.7136363636363636
gov_report:86,0,19,0.9409090909090909,0.9454545454545454,0.6954545454545454,0.6863636363636364,0.6818181818181818
gov_report:86,0,20,0.9636363636363636,0.9636363636363636,0.6227272727272727,0.6090909090909091,0.6090909090909091
gov_report:86,0,21,0.9590909090909091,0.9636363636363636,0.6818181818181818,0.6818181818181818,0.6863636363636364
gov_report:86,0,22,0.9590909090909091,0.9590909090909091,0.7454545454545455,0.759090909090909,0.7545454545454545
gov_report:86,0,23,0.9363636363636364,0.9409090909090909,0.7772727272727272,0.7818181818181819,0.7863636363636364
gov_report:86,0,24,0.9318181818181818,0.9318181818181818,0.7272727272727273,0.7272727272727273,0.7272727272727273
gov_report:86,0,25,0.9272727272727272,0.9318181818181818,0.8,0.7863636363636364,0.7818181818181819
gov_report:86,0,26,0.9227272727272727,0.9181818181818182,0.6454545454545455,0.6454545454545455,0.6409090909090909
gov_report:86,0,27,0.9363636363636364,0.9318181818181818,0.6954545454545454,0.7136363636363636,0.7181818181818181
gov_report:86,0,28,0.9136363636363637,0.9045454545454545,0.8045454545454546,0.8,0.8
gov_report:86,0,29,0.8863636363636364,0.8863636363636364,0.7136363636363636,0.75,0.75
gov_report:86,0,30,0.9090909090909091,0.9090909090909091,0.7545454545454545,0.7545454545454545,0.7545454545454545
gov_report:86,0,31,0.8636363636363636,0.8681818181818182,0.7090909090909091,0.7318181818181818,0.7272727272727273
