horizon,model,eval_set,test_spearman,test_r2
1,qk_only,heldout,0.8961309158864831,0.803028835104853
1,qk_plus_v,heldout,0.8978727183453702,0.8063495501631341
2,qk_only,heldout,0.8939553873204052,0.7991376442646909
2,qk_plus_v,heldout,0.8961399535543441,0.8031600280419059
4,qk_only,heldout,0.8822815069898274,0.7784020046381583
4,qk_plus_v,heldout,0.8856144303704253,0.7842751908285762
8,qk_only,heldout,0.8582875585557409,0.7366537908867488
8,qk_plus_v,heldout,0.8641148441464818,0.7463300991757404
