policy,samples,mean_trajectory_kl,median_trajectory_kl,p95_trajectory_kl,mean_official_score,mean_govreport_rouge_l,mean_niah_retrieval,mean_recovered_fraction,mean_churn_layer_mean,recovery_events,mean_candidate_universe,pool_scoring_time_s,official_govreport,official_niah,p95_step_kl,p99_step_kl,max_step_kl
attention,10,0.3458008332503006,0.37011512204842134,0.6578735442976364,52.96416000000001,0.05928316876394561,1.0,0.0,0.0,0.0,1118.8,0.0,5.92832,100.0,1.9267601251602107,4.696071715354922,10.414409637451172
full_cache,10,0.0,0.0,0.0,53.135479999999994,0.0627096920072843,1.0,,,0.0,,,6.2709600000000005,100.0,,,
qk_pool,10,0.0086228214845427,0.00886767461713985,0.012574997324861777,52.91476,0.058295464874018356,1.0,0.21475181502525248,47.99532627865961,63.0,1118.8,8.30751863010047,5.8295200000000005,100.0,0.05092808585613961,0.1283895243704319,0.3684866726398468
quest_like,10,0.0242600132006154,0.02535378307077695,0.03601968383415869,52.95979,0.059195886577711486,1.0,0.21262882733585853,47.52085537918871,63.0,1118.8,8.247446191700964,5.919580000000001,100.0,0.11890686266124247,0.3573222663998606,0.8602781295776367
recency,10,0.7951893731194557,0.7633054000079849,1.4553675371408692,2.73445,0.05468918378555414,0.0,0.0044744318181818,1.0,63.0,1118.8,0.0,5.4689,0.0,4.615316033363341,10.492718954086309,15.542176246643066
statekv_exact_mean,10,0.02130021197146382,0.01814961229733415,0.04590912026930355,53.14719,0.062943761442917,1.0,0.5188784327651514,115.96521164021165,55.5,1118.8,9.265352830500763,6.29438,100.0,0.11237492896616454,0.3665575978159906,0.9218727946281433
uniform,10,0.8951955785282127,0.8408292705580173,1.5717703449885538,2.89043,0.05780848178238098,0.0,0.4921875,110.0,63.0,1118.8,0.0,5.78086,0.0,4.615072774887083,11.007445554733287,24.310129165649414
