strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,35,future_new_token_residual,9.108205460961472e-07,8.932304638165078e-07,9.254144686110521e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,36,future_new_token_residual,9.162847902643989e-07,9.060578065600566e-07,9.374409728479804e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,37,future_new_token_residual,9.334319486242748e-07,9.156453870673431e-07,9.5046237902352e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,38,future_new_token_residual,9.226644124282757e-07,8.97775464636652e-07,9.426721589989029e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,39,future_new_token_residual,9.27587535670682e-07,9.044106057842782e-07,9.407151530638203e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,40,future_new_token_residual,9.324343750449771e-07,9.066879727015476e-07,9.52812229115807e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,41,future_new_token_residual,9.202274497965846e-07,9.082868587029225e-07,9.31009537907812e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,42,future_new_token_residual,9.265040716854855e-07,8.824524705630665e-07,9.533319200727419e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,43,future_new_token_residual,9.028113368003687e-07,8.825412578516989e-07,9.297930603224813e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,44,future_new_token_residual,9.147124728769995e-07,8.960400066371221e-07,9.281492054924456e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,45,future_new_token_residual,9.096077917547518e-07,8.901676551431592e-07,9.305740604759194e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,46,future_new_token_residual,9.252486279365257e-07,9.112530960919685e-07,9.381729491053648e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,47,future_new_token_residual,9.154773294994811e-07,9.04129279888366e-07,9.231189572744825e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,48,future_new_token_residual,9.175804507322027e-07,8.850384787706389e-07,9.435165814863922e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,49,future_new_token_residual,9.098924351746973e-07,9.003611346258822e-07,9.195246427395887e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,50,future_new_token_residual,9.274667149838933e-07,9.119024753090343e-07,9.456790905915113e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,51,future_new_token_residual,9.193985022193374e-07,8.940389278677685e-07,9.375596285110532e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,52,future_new_token_residual,9.237118945293332e-07,9.063487027560768e-07,9.426599689277282e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,53,future_new_token_residual,9.080071663447598e-07,8.926368479933444e-07,9.374106184623088e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,54,future_new_token_residual,9.158755460703105e-07,8.828110843239756e-07,9.396462132826855e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,55,future_new_token_residual,9.180113522688771e-07,8.932345537004948e-07,9.371976261718373e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,56,future_new_token_residual,9.128022497861821e-07,8.935917357177914e-07,9.288017338349164e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,57,future_new_token_residual,9.137643246504012e-07,8.895003105635623e-07,9.299282055508229e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,58,future_new_token_residual,9.100319857680006e-07,8.930748549573764e-07,9.274804142478388e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,59,future_new_token_residual,9.149866002644558e-07,8.915796456676617e-07,9.395068332196388e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,60,future_new_token_residual,9.108966878557112e-07,8.876008337210806e-07,9.346832214873757e-07,15,270,95% sample-cluster bootstrap CI
