sample_id,sample_cluster,task,future_step,delta_nll,record_type,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,4,0.007201884552660687,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,4,0.34012843867964787,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,4,0.04789665852741128,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,4,0.030357883519328038,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,4,0.0017313409973205296,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,4,0.019387071065785005,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,4,0.048382534088304396,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,4,0.003513768246650765,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,4,0.25814491297205205,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,4,0.003726420880373856,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,4,-0.004578425700550781,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,4,-0.013973115557313065,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,4,-0.0024438592705896176,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,4,0.042591343699841154,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,4,0.0036741864681140157,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,5,0.15178418507435035,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,5,-0.014760853254699668,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,5,-0.09393798530600368,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,5,0.02094495692910196,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,5,0.14575616551079307,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,5,0.13772712523776912,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,5,-0.005560233337835285,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,5,0.01269116213328303,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,5,0.12323632239096582,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,5,-0.029734299759535787,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,5,0.07158434751316634,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,5,0.015094154136221505,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,5,-0.08621175823605753,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,5,-0.10208067649415871,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,5,0.030433425828006715,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,6,0.0017207871355632658,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,6,0.03825508569633366,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,6,-0.0745991333835588,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,6,0.022510635273328933,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,6,0.06165736207692755,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,6,-0.0005780420546261192,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,6,-0.012195723478951,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,6,-0.020961670378761472,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,6,0.001321422764834305,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,6,0.02640970676742782,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,6,-0.07384478339609046,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,6,0.09839659756005759,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,6,0.2587858598423847,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,6,0.057662399745132355,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,6,1.1863756763091011,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,7,-0.010605865511254345,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,7,-0.0002600811326954518,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,7,-8.190033835120403e-06,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,7,-0.03814639464077866,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,7,0.09152944244378129,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,7,0.43956548405757206,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,7,-0.03290611912328364,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,7,-0.03038105381057458,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,7,-0.011099568008161734,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,7,-0.017186632561735138,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,7,0.0027924584944839146,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,7,-0.01605941123654257,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,7,0.0068729381119562545,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,7,0.00705430523823954,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,7,0.04624173358790884,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,8,-0.020878463281841658,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,8,-0.006553769503105637,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,8,0.1659975987276212,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,8,-0.04248233385947486,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,8,-0.0948187741310953,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,8,-0.036868476537969506,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,8,0.07335687142370872,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,8,0.10779222412126899,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,8,-0.034792509912701775,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,8,0.15222310192847388,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,8,-0.017275819649808472,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,8,0.4795937611582666,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,8,-0.08237058743955927,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,8,0.007544587821937417,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,8,-0.053801747410190615,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,9,0.0938611573879425,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,9,-0.06792790643455504,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,9,0.013337101146824182,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,9,0.008305764816251818,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,9,0.10016858532040729,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,9,0.19559946722755228,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,9,0.042007745391102226,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,9,0.07728199238646027,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,9,0.053702833188053724,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,9,0.10553168193543765,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,9,-0.31227105305997327,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,9,0.02144927821483004,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,9,0.05035733816949417,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,9,1.5128024734399286,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,9,0.03457682531243833,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,10,0.0425896122963465,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,10,0.15862474879879448,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,10,-0.1332584102811687,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,10,-0.015029675061400146,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,10,-0.1360397897508013,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,10,1.3681824632205029,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,10,0.04482127399270889,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,10,0.023016474378781737,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,10,0.0035087458624225576,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,10,0.5690765224160318,sample_trajectory,,,,,,,
