stratum,value,policy,steps,mean_exact_kl,p95_exact_kl,maximum_exact_kl,mean_delta_nll
task,gov_report,attention_head_peak_w4_shared,144,0.8369042814868332,4.857311177253721,8.640484809875488,1.1233506982068144
task,gov_report,attention_mean_w1_shared,144,0.8415655558990223,4.009759783744812,8.347442626953125,1.1562630742687803
task,gov_report,attention_temporal_volatility_w4_shared,144,0.9097556958582563,5.082200789451596,8.9945650100708,1.240837489213997
task,gov_report,key_diagonal_leverage_shared,144,1.2423975319769491,4.504699611663817,7.634565353393555,1.51215421555717
task,gov_report,uniform_position_coverage_shared,144,1.1756111454603924,4.479035639762876,7.936817169189453,1.4971835281978403
task,gov_report,value_adjacent_change_shared,144,1.1313523871982727,4.817168998718261,6.672675609588623,1.4640523292539076
task,gov_report,value_diagonal_leverage_shared,144,1.0984748405645286,4.21177358627319,6.22147798538208,1.38375316415156
task,niah_single_1,attention_head_peak_w4_shared,144,0.49472421215546625,1.0535782918333958,14.81736946105957,0.4832214397204161
task,niah_single_1,attention_mean_w1_shared,144,0.42303732010332556,0.27646468132734286,12.466399192810059,0.41937082081764426
task,niah_single_1,attention_temporal_volatility_w4_shared,144,0.5998787569858344,5.7737072467803925,12.94207763671875,0.5902211561090761
task,niah_single_1,key_diagonal_leverage_shared,144,0.11619768607384234,0.5066874518990507,3.213604688644409,0.1311202362315795
task,niah_single_1,uniform_position_coverage_shared,144,2.124812208377585,8.322992682456967,13.421699523925781,2.168538602257333
task,niah_single_1,value_adjacent_change_shared,144,1.6456698206157574,8.483308362960814,13.489975929260254,1.7157663886069783
task,niah_single_1,value_diagonal_leverage_shared,144,0.08684824654421419,0.230721117556095,2.6988015174865723,0.11262719351879961
anchor,16,attention_head_peak_w4_shared,96,0.2544538197220089,1.253239244222641,8.640484809875488,0.33060048306319345
anchor,16,attention_mean_w1_shared,96,0.2873060553537652,1.7066031694412231,8.347442626953125,0.42339764454420487
anchor,16,attention_temporal_volatility_w4_shared,96,0.2869148475934538,1.7422192990779877,8.643448829650879,0.4118774182908472
anchor,16,key_diagonal_leverage_shared,96,0.49861946436715243,2.678846061229706,7.634565353393555,0.6234201811810559
anchor,16,uniform_position_coverage_shared,96,1.4226494915591654,4.382221817970276,8.558307647705078,1.5935876895347576
anchor,16,value_adjacent_change_shared,96,1.133522906226517,4.220457911491394,8.102280616760254,1.4096440719869463
anchor,16,value_diagonal_leverage_shared,96,0.4172865763809656,2.4311582446098328,5.686987400054932,0.5485490285823857
anchor,32,attention_head_peak_w4_shared,96,1.0375025361194592,6.225577116012573,14.81736946105957,1.17727236513421
anchor,32,attention_mean_w1_shared,96,0.9781425756418329,4.7801690101623535,12.466399192810059,1.1151817363218772
anchor,32,attention_temporal_volatility_w4_shared,96,1.1936203071653917,8.419259071350098,12.94207763671875,1.3675312862759863
anchor,32,key_diagonal_leverage_shared,96,0.8288455519655334,4.118409752845764,5.751612186431885,0.9223694012014979
anchor,32,uniform_position_coverage_shared,96,1.9189534356404465,8.584498167037964,13.421699523925781,2.019163452167428
anchor,32,value_adjacent_change_shared,96,1.5669545816932728,8.24141001701355,13.489975929260254,1.6251786700170214
anchor,32,value_diagonal_leverage_shared,96,0.6903300872184227,3.5280532240867615,6.141310691833496,0.8133498005120146
anchor,48,attention_head_peak_w4_shared,96,0.705486384621981,5.037300705909729,6.43501615524292,0.9019853586934422
anchor,48,attention_mean_w1_shared,96,0.6314556830079235,3.1224364042282104,11.841340065002441,0.8248714617635547
anchor,48,attention_temporal_volatility_w4_shared,96,0.7839165245072905,5.217531323432922,6.556466579437256,0.9671792634177763
anchor,48,key_diagonal_leverage_shared,96,0.7104278107435013,3.52981698513031,4.83931303024292,0.9191220953005702
anchor,48,uniform_position_coverage_shared,96,1.6090321035573538,6.543963193893433,8.700298309326172,1.8858320539805742
anchor,48,value_adjacent_change_shared,96,1.4650558238012554,6.918355822563171,9.878833770751953,1.734905334787361
anchor,48,value_diagonal_leverage_shared,96,0.6703679670637257,3.596764862537384,6.22147798538208,0.8826717074111391
