sample_id,task,anchor,attention_head_peak_w4_shared,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,key_diagonal_leverage_shared,uniform_position_coverage_shared,value_adjacent_change_shared,value_diagonal_leverage_shared,mean_exact_kl_reduction,primary_wins,primary_nonworse
gov_report:61,gov_report,16,1.4666463740868494,1.6195505834912183,1.651474801445147,1.4138540035346523,1.350939314252173,0.8852359647571575,0.8607478325429838,-0.031924217953928746,False,False
gov_report:61,gov_report,32,1.1497420895611867,1.6701885428046808,1.7413773299049353,2.0822470087587135,2.0330779124051332,2.171070510521531,2.353589616715908,-0.07118878710025456,False,False
gov_report:61,gov_report,48,2.2111160651547834,1.9188199355266988,2.2071385505842045,1.688287505239714,1.9425790266832337,1.980777462827973,1.6228148771333508,-0.28831861505750567,False,False
gov_report:62,gov_report,16,0.023280304955278552,0.018677731214836513,0.03115400781371136,0.6887287854478927,0.4331833514806931,0.6836626857548254,0.7168176679260796,-0.012476276598874847,False,False
gov_report:62,gov_report,32,1.0915680729303858,1.0198372079954652,1.1080729548684758,1.1848799581993035,1.351613411738299,1.2310643585316612,0.7027825700864696,-0.08823574687301061,False,False
gov_report:62,gov_report,48,1.0262014257605188,0.9686247331628692,0.8932724047372176,1.5606164213677403,1.4071251541026868,1.1000010726274922,1.486119033605064,0.07535232842565165,True,True
gov_report:63,gov_report,16,0.01430240195679744,0.0174216764279862,0.01375133049317867,0.6801853474867059,0.7939228472837385,1.0373923898032444,0.7352108055845576,0.0036703459348075285,True,True
gov_report:63,gov_report,32,0.29584799012809526,0.20627163182507502,0.2915557962260209,1.3462174949236214,0.8468082129547838,0.7156523895682767,0.9414776784833521,-0.08528416440094588,False,False
gov_report:63,gov_report,48,0.25343380884760336,0.13469796064237016,0.2500040866514155,0.5365612628341978,0.42125107824278984,0.37731465039229306,0.46671348300299087,-0.11530612600904533,False,False
synthetic_niah_61,niah_single_1,16,0.009581768506858879,0.035338652303043006,0.009504235130492589,0.02212579827006067,1.8706218908773735,1.2848202264940483,0.021430102385366467,0.025834417172550417,True,True
synthetic_niah_61,niah_single_1,32,2.0163246988977335,1.4771482416002755,2.010532696412156,0.25116398811940144,3.541447172581684,2.2066869315831354,0.028316924441895708,-0.5333844548118805,False,False
synthetic_niah_61,niah_single_1,48,0.004096523180230349,0.7468964819401975,0.9567529143364482,0.13631789801229388,1.3939349956344813,1.3146634467411786,0.132636736340487,-0.20985643239625063,False,False
synthetic_niah_62,niah_single_1,16,0.009609305278702962,0.028932194901727826,0.01209571257749431,0.14198004214483717,2.0116514578694478,1.3812251607560029,0.11924525686080045,0.016836482324233515,True,True
synthetic_niah_62,niah_single_1,32,1.656041887416734,1.4785960286213822,1.9941024248056465,0.046792483369358706,3.538596587699203,3.018772054457372,0.050593962044729324,-0.5155063961842643,False,False
synthetic_niah_62,niah_single_1,48,0.013466282652643713,0.015851434637170314,0.012981376740754058,0.10799872325151227,0.48537096002837643,0.5437723217346502,0.06117484881542623,0.002870057896416256,True,True
synthetic_niah_63,niah_single_1,16,0.003302763547566201,0.003915493783779311,0.0035089981006990456,0.04484280931876583,2.075578087591566,1.528801009793824,0.05026779298600559,0.00040649568308026574,True,True
synthetic_niah_63,niah_single_1,32,0.01549047778262036,0.016813801004119,0.016080640775115285,0.06177237842280192,0.20217731646357606,0.058481245497659984,0.0652197715381817,0.0007331602290037154,True,True
synthetic_niah_63,niah_single_1,48,0.7246042021361063,0.0038435521382353954,0.3833498139937035,0.23278505375554914,4.003931406652555,3.473805988483946,0.25274882348503525,-0.3795062618554681,False,False
