sample_id,task,stage,target_anchor,candidate_pool_variant,history_start_anchor,history_length,candidate_id,candidate_source,deleted_position,candidate_raw_rank,candidate_deduplicated,generator_action_argmin_candidate_id,generator_dense_argmin_candidate_id,generator_predicted_normalized_regret,exact_physical_kl,action_only_risk,adjacent_only_risk,dense_actual_boundary_energy,eligible_count,cache_length_prequery,cache_length_baseline,cache_length_candidate,candidate_replay_max_abs_error,multi_all_endpoint_risk,multi_uniform8_endpoint_risk,multi_inherited3_endpoint_risk,multi_pair_endpoint_risk,multi_three_endpoint_risk,probe_b27_path_k1_risk,probe_b27_path_k2_risk,probe_b27_path_k4_risk,probe_b27_path_k8_risk,theory_b1_risk,probe_b1_risk,theory_b5_risk,probe_b5_risk,theory_b8_risk,probe_b8_risk,theory_b11_risk,probe_b11_risk,theory_b15_risk,probe_b15_risk,theory_b19_risk,probe_b19_risk,theory_b23_risk,probe_b23_risk,theory_b27_risk,probe_b27_risk,b1_theory_u_norm,b1_local_r_norm,b1_actual_boundary_norm,b1_deleted_attention_mass_mean,b1_deleted_value_norm,b1_deleted_key_norm,b1_action_state_ratio,b5_theory_u_norm,b5_local_r_norm,b5_actual_boundary_norm,b5_deleted_attention_mass_mean,b5_deleted_value_norm,b5_deleted_key_norm,b5_action_state_ratio,b8_theory_u_norm,b8_local_r_norm,b8_actual_boundary_norm,b8_deleted_attention_mass_mean,b8_deleted_value_norm,b8_deleted_key_norm,b8_action_state_ratio,b11_theory_u_norm,b11_local_r_norm,b11_actual_boundary_norm,b11_deleted_attention_mass_mean,b11_deleted_value_norm,b11_deleted_key_norm,b11_action_state_ratio,b15_theory_u_norm,b15_local_r_norm,b15_actual_boundary_norm,b15_deleted_attention_mass_mean,b15_deleted_value_norm,b15_deleted_key_norm,b15_action_state_ratio,b19_theory_u_norm,b19_local_r_norm,b19_actual_boundary_norm,b19_deleted_attention_mass_mean,b19_deleted_value_norm,b19_deleted_key_norm,b19_action_state_ratio,b23_theory_u_norm,b23_local_r_norm,b23_actual_boundary_norm,b23_deleted_attention_mass_mean,b23_deleted_value_norm,b23_deleted_key_norm,b23_action_state_ratio,b27_theory_u_norm,b27_local_r_norm,b27_actual_boundary_norm,b27_deleted_attention_mass_mean,b27_deleted_value_norm,b27_deleted_key_norm,b27_action_state_ratio
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_attention_45,median_attention,45,1,True,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,3.1671479533488644e-06,0.3118497317783133,0.34105143154099204,1.245266963484812,93,128,129,128,0.0,3.1597794232321203e-06,4.843486620465583e-07,3.930672818921424e-07,6.6592764638313796e-09,1.2045817303569031e-07,3.110912412902816e-06,3.111641676753485e-06,3.110915528111726e-06,3.111059310428345e-06,1.0621171042557673e-10,1.1229011834311665e-10,4.5499828789152263e-10,2.2736536026901963e-09,1.2432364391999395e-10,6.745018756919558e-09,7.726170209325692e-08,8.783253850097627e-08,9.398413049831298e-08,4.349573812648989e-07,3.737211628043643e-09,1.3571991538471211e-06,7.602340138319799e-09,2.4790188204558286e-06,4.2477767546174154e-07,3.1118860488271683e-06,0.003133897641539402,0.003973934576283474,0.00397469337848041,0.0001286811602767557,4.543178081512451,778.50439453125,0.00018092096333279718,0.006465096886155295,0.007531532564790664,0.014669547196611666,0.00020493644115049392,7.795620918273926,19.02149200439453,0.00018861521747300341,0.002485385341511662,0.0025870750629946883,0.022347079368402835,8.156427793437615e-05,6.294495582580566,33.394866943359375,5.0808738252658806e-05,0.06985490594520109,0.06772729217306904,0.07527558876452548,0.0017258230363950133,7.091001033782959,18.695024490356445,0.001402373155524454,0.05610754610018755,0.04800049624756153,0.08373901081888273,0.0006995361181907356,9.833906173706055,19.362041473388672,0.0007987099719484705,0.011105112186572967,0.010354783128642655,0.08039982069795339,0.0002164609031751752,8.907564163208008,22.304595947265625,0.00014035402049851443,0.01918352426772907,0.017919303213942018,0.15638539077618085,0.00021439183910842985,13.645745277404785,20.736465454101562,0.0001470882625097399,0.45120857511009715,0.48508231841326377,0.6139693723124935,0.0011903425911441445,41.60913848876953,16.67084503173828,0.0020499943032492845
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_v_ridge_11,high_v_ridge,11,0,False,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,1.7219256867249055e-05,0.29622974841972827,0.34336579724342586,5.891420708859653,93,128,129,128,,1.7077527832435365e-05,1.4458697584883998e-06,2.5496294394250546e-08,2.2171979961463026e-07,1.385254369417905e-06,1.7134803121699057e-05,1.7132820624052596e-05,1.7131770180388685e-05,1.7130909138157518e-05,1.0509116124389093e-08,1.0553793310567959e-08,8.064927302225413e-07,1.7658068863319004e-06,8.090280961254952e-08,3.3944477521317463e-06,9.279066506995444e-08,4.702718920235338e-06,9.300244948226804e-09,5.266446260744693e-06,5.6442353878882875e-08,1.1836188003334133e-05,2.0758630554516323e-07,1.4490566886214652e-05,9.734899438215624e-09,1.713954118444074e-05,0.015191341219110695,0.0200185492382255,0.02001795171620932,0.0005017056246288121,4.786486625671387,778.4161987304688,0.0009113826972189281,0.24738388895051458,0.35282658729712774,0.4016466735818734,0.002862117253243923,9.124982833862305,15.49339771270752,0.008835978988448423,0.04511717158392139,0.04855427088239749,0.3985028918018196,0.0009837850229814649,6.5965576171875,33.74650192260742,0.0009535793049068914,0.08159708637835038,0.0825996707606978,0.34871512240138863,0.0011364702368155122,8.759201049804688,17.17888069152832,0.001710323227362416,0.010177083023168897,0.008727563585924381,0.34954502333105164,0.0001766858622431755,9.852259635925293,16.852642059326172,0.00014522333333681476,0.020843712778407072,0.019747524495921244,0.3892321231192195,0.00041885406244546175,9.668230056762695,22.558656692504883,0.00026766803548291835,0.20053449619016475,0.1883683306433428,0.5382660351168419,0.0019345638575032353,12.616143226623535,16.273738861083984,0.0015461968657705613,0.07045675527289426,0.07828020348218703,0.8508567034869159,0.00029392566648311913,38.00852966308594,13.287090301513672,0.00033081801810587355
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_low_v_ridge_53,low_v_ridge,53,0,False,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,5.7122945910157005e-06,1.0394766900957206,0.9470234725459263,2.789630075724097,93,128,129,128,,5.601649817982778e-06,1.1437548519995774e-06,9.052465002592971e-07,9.108891487616334e-08,1.2696991305009462e-07,3.749371963742516e-06,3.7495247525177458e-06,3.7494354388572203e-06,3.749531450559498e-06,9.455949265158425e-12,9.087249156893647e-12,7.822649894510468e-10,5.909993582177132e-09,1.1129730443642659e-08,8.471278785865521e-09,2.2975976616568543e-08,4.1643653037236e-08,1.1719978436899251e-08,6.720543396482694e-08,7.447184557865831e-08,1.2385560182096413e-06,9.292059387452684e-08,2.303885650418178e-06,9.62490346511979e-07,3.7488553271129883e-06,0.0005658033272096209,0.0008522658005674597,0.0008557833202759875,4.9732658226275817e-05,3.67757511138916,779.9898681640625,3.880102872716829e-05,0.004206440533603178,0.005372560457968013,0.017001550706061803,0.00016106227121781558,5.304129600524902,16.28050422668457,0.00013454720542586688,0.018761473822357027,0.019276555272683096,0.027633182597996783,0.0006038729916326702,5.897863388061523,33.241233825683594,0.00037858099491281603,0.038673320431471474,0.03388634998396768,0.041458773235848914,0.0012175951851531863,7.142521858215332,17.94597625732422,0.0007016566886328149,0.018536760615285593,0.016126903412874722,0.04994870285458084,0.0004373051633592695,8.940811157226562,17.678844451904297,0.0002683455293062145,0.04677603317713991,0.042577892939316624,0.11192246647467936,0.0012056981213390827,7.7914276123046875,20.90390968322754,0.0005771225127697825,0.10008223568452942,0.10439010210131032,0.21377983269714232,0.003023038851097226,7.600702285766602,16.873821258544922,0.0008568725333778354,0.4825155183983563,0.4999704870127655,0.8075753901506029,0.01586908847093582,10.311748504638672,14.536724090576172,0.0021129128217280213
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_age_95,high_age,95,1,True,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,7.636538040132839e-06,0.3671562636644123,0.36946324357047056,2.705890774787518,93,128,129,128,,7.681141245380893e-06,9.27052973173089e-07,1.0360033902265166e-06,3.277384075170945e-09,1.1860729613939644e-08,7.3877036249439835e-06,7.387137897551751e-06,7.387784658571491e-06,7.387758197329873e-06,2.1256596512543666e-09,2.0934415435865464e-09,6.607354896585501e-10,1.7680874508236422e-08,1.0143398542099605e-10,1.779629423953114e-08,9.095810984369483e-09,3.622306213518707e-08,7.488902804473046e-09,2.437044310661325e-08,2.5841537323082972e-08,2.526736386519507e-07,3.2687751184439576e-09,6.63166460546235e-06,1.0308547167430556e-06,7.386011578246893e-06,0.0049224169905982985,0.006972990838617913,0.006969790395350526,0.00016026859520934522,4.745882987976074,778.1634521484375,0.00031745872902954676,0.0036750541500212286,0.0046317218921713395,0.027602120779271863,9.062667231773958e-05,7.322404861450195,17.636646270751953,0.0001159940854601682,0.003162756039859622,0.0031225943557075526,0.02907536142786582,0.00010311129881301895,6.23518180847168,32.841041564941406,6.132604405560712e-05,0.01759564222019393,0.015834566613299083,0.03097588410332408,0.0003077092987950891,7.648712635040283,16.72698974609375,0.0003278733053598198,0.030615456837164094,0.026835606281476333,0.03829110553156501,0.0008272950653918087,9.033358573913574,17.160310745239258,0.0004465342655991191,0.01663836343380573,0.01584315375902501,0.07815914259689932,0.0003207054396625608,8.501298904418945,20.607521057128906,0.00021474619987978417,0.029168325588402145,0.028072740852942417,0.4103216191314108,0.00033139646984636784,11.590803146362305,19.034996032714844,0.00023043143065589822,0.29337369491707066,0.31609982425833666,0.73750925951252,0.002167615806683898,33.210594177246094,15.93972396850586,0.0013358615937751558
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_random_85,high_random,85,1,True,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,7.782391703786392e-06,0.6725190837868981,0.7817558271437366,3.0051156230934053,93,128,129,128,,7.693156260551504e-06,2.4881495158073216e-06,2.615437874743437e-06,5.103381010514692e-09,1.888863042860755e-08,7.631114550050674e-06,7.631360228575398e-06,7.631290435502602e-06,7.630538595878407e-06,2.1187611187262e-10,2.2131369382092264e-10,1.1861357252527786e-09,2.2240605414223877e-09,2.3162242529504525e-09,9.746775918002072e-09,1.693853679136237e-08,3.4424740486346415e-08,1.2332682469489657e-08,3.1749375110555705e-08,1.3860581144389507e-09,1.3810115470407546e-06,6.380031951128785e-09,3.6792623149271885e-06,2.5574822596398654e-06,7.628888299798168e-06,0.001054165032001683,0.0013705966051001522,0.0013721745619993703,4.576841092784889e-05,4.518459320068359,778.4266357421875,6.239902881523745e-05,0.003174973897756136,0.004214958567928404,0.00994288548572377,9.704035619506612e-05,6.870270252227783,17.915287017822266,0.00010555691289792781,0.011860723449811586,0.011975951870822794,0.019533171065572914,0.00048265568329952657,5.611289978027344,33.34188461303711,0.00023520113994169182,0.05709677479110859,0.05715174507099831,0.06588982912971612,0.0014061086112633348,7.777790069580078,18.41799545288086,0.0011833940278335089,0.015804973986859826,0.01574177218540276,0.05389688675238933,0.00028740146080963314,10.137032508850098,18.68372917175293,0.00026193709239539327,0.011819445979007812,0.010700409918983191,0.06657213184912567,0.0003039600851479918,9.18930435180664,22.29056167602539,0.0001450388225859774,0.02804026044021854,0.027540059498429897,0.1171630715851361,0.00028403918258845806,12.707813262939453,18.229896545410156,0.00022605898525603353,0.478376130437152,0.5059771685746862,0.870078509075567,0.004635999444872141,21.632583618164062,13.99074935913086,0.0021382975090603667
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_aov_23,median_aov,23,0,False,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,1.0435418290481017e-05,1.2920990413194176,0.8408434799158961,1.7037902638983313,93,128,129,128,,1.0430185982454025e-05,9.482969702950263e-07,8.433214201812882e-07,1.3059771750396443e-09,1.038964692999121e-09,8.662248903000037e-06,8.662858732834915e-06,8.663352439924746e-06,8.663270254271065e-06,1.1913976872038765e-10,1.244240351559812e-10,3.083110152148244e-11,6.297385018279382e-09,7.952891340508165e-10,1.4179372104155337e-08,1.0616314634008444e-09,3.602413805340061e-08,1.374504146111011e-10,4.3204463328635714e-08,9.141633898964731e-09,1.3012301717329035e-06,7.16378860296384e-10,1.221458459453649e-06,8.461759455932305e-07,8.663689676847514e-06,0.0008754259933063112,0.001220616160037325,0.0012223375692699487,6.11869982094504e-05,3.102302074432373,778.75634765625,5.5570882533265866e-05,0.0018341987180365198,0.002119839835414872,0.027167020391606816,4.570493183564395e-05,6.958178997039795,18.56948471069336,5.308800674034197e-05,0.004002342578276424,0.0038053873233953425,0.030302676977645087,9.68378153629601e-05,5.9996442794799805,34.653526306152344,7.473572422771902e-05,0.0053894947392595085,0.005377328228232595,0.029133248306722856,0.00013808532094117254,7.499821662902832,18.05988311767578,0.0001113438986523643,0.001085984583694099,0.0009136920397468749,0.04150223942915963,1.732921191432979e-05,10.35297966003418,20.669391632080078,1.520348747379545e-05,0.008737512002837164,0.008008661424529292,0.1562673086594211,0.00020392141595948488,8.0042085647583,20.07023048400879,0.00010855348835213999,0.00960458847551576,0.00966163626776346,0.19557613330690915,0.0003243108803872019,7.187607765197754,16.208757400512695,7.930628075542168e-05,0.7202369585245002,0.4133024472197766,0.6014325120046244,0.010705103166401386,10.905900955200195,11.456228256225586,0.0017466471775161758
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_age_50,median_age,50,0,False,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,1.4303720069683582e-05,0.5987064350295328,0.5405466467876896,7.709948535902252,93,128,129,128,,1.415827062758372e-05,8.098874329407705e-07,1.6338577165952203e-07,1.0780441298842685e-07,1.6697147599308623e-07,1.4074253675078544e-05,1.4073936204656847e-05,1.4075400493829184e-05,1.4075098785896892e-05,8.937868089253312e-12,5.922850084689641e-12,2.979102391934273e-08,4.6741271088815016e-08,4.538381129494477e-08,2.6857091734248375e-06,3.550222837457503e-07,8.767150329598182e-06,1.0708155238055517e-07,1.1914343814655587e-05,2.1295877011264485e-07,1.2211801741495495e-05,5.979713903566828e-08,1.365622119233671e-05,2.586894963256924e-08,1.4072976604799156e-05,0.00029293636255754127,0.0003768500559235618,0.00037904837895046367,1.4623044990003109e-05,4.660738945007324,779.638427734375,1.7156818724850034e-05,0.02567000224546966,0.030008361867894857,0.0427365916013381,0.000581366301048547,8.431625366210938,18.910629272460938,0.0007515115484173559,0.04932893128481603,0.052226233421904196,0.37095007492664206,0.0012981025502085686,6.759822845458984,33.239540100097656,0.0010256946394064637,0.1978096440835783,0.18525149725513518,0.5730998286092613,0.0059359013102948666,6.750420093536377,16.049602508544922,0.003835849897962062,0.11318589268531437,0.09278667939437896,0.574980414846965,0.0027758823707699776,8.090834617614746,17.263914108276367,0.0015439349983812091,0.07016155818062926,0.069218402177779,0.4694123755923174,0.0016052498249337077,8.44414234161377,20.205120086669922,0.0009382215848887509,0.13747597187176028,0.13038755034430974,0.5749117674328449,0.0008749605040065944,14.706306457519531,18.113338470458984,0.001070269195407333,0.09172768684039029,0.0982115360023906,0.8527348990676109,0.0006553896819241345,39.739837646484375,14.354511260986328,0.0004150493260130292
gov_report:128,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_median_random_46,median_random,46,0,False,physical_delete_high_v_ridge_11,physical_delete_median_attention_45,1.0,1.756269056984506e-05,0.7657215964412489,0.8105794426054753,2.3013000107304653,93,128,129,128,,1.7062222507683482e-05,3.621982060875639e-07,2.4734575646955664e-07,3.087643410284828e-08,1.6118229148272965e-07,1.1095783111674494e-05,1.1095689038253349e-05,1.1096658833885603e-05,1.1096383348225929e-05,4.2381049263330665e-11,3.812631296980386e-11,6.772772588222451e-10,1.4176700396966628e-09,9.59125566436862e-09,4.584038497409086e-08,1.6214854607527775e-07,4.105352684807481e-07,1.6019596609700618e-07,1.1242097043377686e-06,1.4480860865608437e-08,1.2861631731285472e-06,2.4452937593242603e-08,4.579780532056954e-06,3.373132967013874e-07,1.1091289068092562e-05,0.0003220060694277257,0.0004453786207046788,0.00044703537134887237,1.7839176507550292e-05,3.664761543273926,778.6583251953125,2.0276712552495493e-05,0.008866582796657528,0.0111301512798247,0.012596066624144163,0.00023751302796881646,6.769032955169678,17.18194580078125,0.00027873688204784554,0.012717679846747546,0.016456819616737624,0.03194266141974349,0.0003070179373025894,6.66815185546875,32.881534576416016,0.0003232029299567948,0.11515409207986461,0.11420764274885097,0.12663469436108277,0.002362235216423869,8.40353012084961,17.867237091064453,0.002364803422783261,0.09568173493555461,0.08018272866457044,0.14308922297312787,0.0021256504114717245,10.152982711791992,19.370983123779297,0.0013342100596654624,0.013552926221346927,0.01279671063748432,0.12879234365901074,0.00037757641985081136,8.49300765991211,21.989181518554688,0.00017345315346671753,0.06091874579247324,0.06007347076995363,0.23000751794075236,0.0008515237714163959,11.02468490600586,18.512088775634766,0.0004931052470615735,0.3251618954625943,0.31635227419720346,0.6585187116613166,0.004218198359012604,23.3736629486084,14.739635467529297,0.001336928466173691
gov_report:129,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_attention_976,high_attention,976,2,True,physical_delete_high_random_62,physical_delete_high_attention_976,1.0,5.102900825845131e-07,0.11832276427709751,0.11365897349314355,0.9414368378244433,93,128,129,128,0.0,5.07819435330978e-07,5.5586005215153036e-08,1.0679604825865807e-07,1.2630550259534877e-08,4.368359166679575e-09,5.119035559473229e-07,5.11810114961329e-07,5.117643560815504e-07,5.117730104826055e-07,1.1031580714956302e-07,1.1046178460790147e-07,2.840404063229131e-09,4.1263080836380153e-07,1.3805841023897437e-08,9.31169085178403e-07,9.851071260242051e-10,1.139566712105727e-06,1.2735964885915059e-11,1.0842848387561973e-06,2.341181282590681e-09,6.171901967955937e-07,3.8421210906559026e-10,5.656574249106655e-07,1.2845875365942987e-11,5.11474622199692e-07,0.049254276913514625,0.08301309323538492,0.08298927091777049,0.011003329418599606,3.514136791229248,779.7247314453125,0.004875265361867486,0.04927489986074377,0.044815366758210594,0.27853334139966773,0.0018208622932434082,5.959353446960449,18.194425582885742,0.001284088997552127,0.052821207312502755,0.048419738045067974,0.22462950819080202,0.001798218465410173,6.474261283874512,33.022056579589844,0.0010880426700835162,0.018475559356140068,0.017870193388229823,0.1740436219589699,0.00034330642665736377,9.288596153259277,19.15972137451172,0.00037858235690485184,0.0015477548236379006,0.001245951728899361,0.14730465753680172,2.1135367205715738e-05,9.823232650756836,23.45128631591797,2.1191834907281187e-05,0.007260593233986037,0.006390211864036421,0.1317343799190533,7.043313962640241e-05,11.486116409301758,23.183284759521484,9.535957450536924e-05,0.0028058133916661946,0.0030501417212952272,0.1239618480083999,3.484755507088266e-05,11.287493705749512,22.409727096557617,2.3601698095707993e-05,0.0007771050760363319,0.0008528779720965658,0.18880750844339017,8.494204848830123e-06,18.694469451904297,19.82040786743164,3.3049172121435823e-06
gov_report:129,gov_report,disagreement_calibration,64,mechanism_disagreement_pool_v1,32,32,physical_delete_high_random_62,high_random,62,0,False,physical_delete_high_random_62,physical_delete_high_attention_976,1.0,1.1295546251135924e-05,0.032519439822801983,0.0345373570150409,1.029787712300923,93,128,129,128,,1.1229006667544132e-05,4.146654634156918e-07,3.686876777529467e-08,4.545956513163442e-09,6.492506593173982e-10,1.1118300693757069e-05,1.1116445853125151e-05,1.1117393170470392e-05,1.111745442856457e-05,5.2102358497330075e-12,4.200799090540448e-12,5.040721789551775e-11,8.27318152215156e-10,3.431722509167093e-11,6.410057826308391e-10,2.968390222923629e-10,2.6030523149861854e-09,2.9486595071546403e-09,3.8056272337608156e-08,2.8520011788770804e-07,4.192464477585669e-07,4.433781619943359e-09,1.0619875916153114e-05,2.277511348967679e-08,1.1120899873400162e-05,0.0012070233255514734,0.001713358138560621,0.0017223866732055592,3.401653884793632e-05,4.650876045227051,778.4764404296875,0.00010062359153047185,0.005011387546665917,0.004470636484200791,0.010566621242961888,0.00010249482147628441,7.551647186279297,18.25074005126953,0.00012809657795259723,0.003209276665153678,0.0029263402678241005,0.00683820836451388,9.310976747656241e-05,7.461635112762451,34.71593475341797,6.575795754228716e-05,0.007234839121338514,0.0059383012866408525,0.01241033463968911,0.00017439427028875798,8.21622371673584,19.44500732421875,0.00012580368036690302,0.01026408846212871,0.008346452537867796,0.029610393268873398,0.00015933236863929778,8.954238891601562,19.030879974365234,0.0001419610729223036,0.04869106160231942,0.04108121988637411,0.05614099886194834,0.0008232358377426863,9.145319938659668,21.10175323486328,0.0006130450338545803,0.0061289820543348455,0.006493447275874546,0.2084288122823695,5.115917883813381e-05,13.808455467224121,19.93520736694336,5.02456594510333e-05,0.04105439386712218,0.04325803631619161,0.49106552054858255,0.00013022070925217122,41.86537170410156,16.497379302978516,0.00016762565509046456
