sample_id,task,stage,target_anchor,candidate_id,candidate_source,boundary,probe_b18_path_k1_risk,probe_b18_path_k2_risk,probe_b18_path_k4_risk,probe_b18_path_k8_risk
gov_report:112,gov_report,calibration,40,physical_delete_age_4,age,18,1.6316291962581225e-06,1.6310508392623638e-06,1.631632009200276e-06,1.631411756295711e-06
gov_report:112,gov_report,calibration,40,physical_delete_aor_14,aor,18,8.013348421693806e-08,8.016788984078224e-08,8.013518272361624e-08,8.014715286247206e-08
gov_report:112,gov_report,calibration,40,physical_delete_aov_85,aov,18,1.372820597938897e-06,1.3731236968114356e-06,1.3729885062324079e-06,1.3729966676614464e-06
gov_report:112,gov_report,calibration,40,physical_delete_attention_22,attention,18,4.032431578268435e-09,4.03319549519972e-09,4.032869751210646e-09,4.033770480198841e-09
gov_report:112,gov_report,calibration,40,physical_delete_key_query_45,key_query,18,5.597205281689956e-07,5.596907278776378e-07,5.597857755031154e-07,5.598100214025117e-07
gov_report:112,gov_report,calibration,40,physical_delete_random_64,random,18,7.137057317575433e-07,7.135118619511042e-07,7.136167888752956e-07,7.136037760826293e-07
gov_report:112,gov_report,calibration,40,physical_delete_v_ridge_89,v_ridge,18,3.0392245630115653e-07,3.039612088491453e-07,3.0390488275461434e-07,3.039318264347479e-07
gov_report:112,gov_report,calibration,40,physical_delete_value_norm_70,value_norm,18,6.8175229909407285e-06,6.8182996308093825e-06,6.818415716678734e-06,6.817967228736854e-06
gov_report:112,gov_report,calibration,64,physical_delete_age_4,age,18,2.3579145456850096e-06,2.357730023051861e-06,2.357674941966579e-06,2.357846103447943e-06
gov_report:112,gov_report,calibration,64,physical_delete_aor_78,aor,18,1.4959265454757043e-07,1.4959035158583473e-07,1.4958198346055022e-07,1.4958654615518016e-07
gov_report:112,gov_report,calibration,64,physical_delete_aov_94,aov,18,3.648638810922701e-07,3.6485025094041266e-07,3.6487625970939015e-07,3.648715165027489e-07
gov_report:112,gov_report,calibration,64,physical_delete_attention_85,attention,18,1.4027012779729755e-05,1.402702589480085e-05,1.4026620479430847e-05,1.4026784105582862e-05
gov_report:112,gov_report,calibration,64,physical_delete_key_query_44,key_query,18,0.0006738658886048034,0.0006735376393810879,0.000673450177459468,0.0006734127889277298
gov_report:112,gov_report,calibration,64,physical_delete_random_34,random,18,7.950166072936765e-06,7.951010200911858e-06,7.950844657868934e-06,7.951547515109225e-06
gov_report:112,gov_report,calibration,64,physical_delete_v_ridge_89,v_ridge,18,2.3817782468837695e-06,2.382095012710202e-06,2.382146721656436e-06,2.381974807372846e-06
gov_report:112,gov_report,calibration,64,physical_delete_value_norm_70,value_norm,18,0.0002701708575872275,0.00027019802174437597,0.00027020435801082326,0.00027016767173351037
gov_report:113,gov_report,calibration,40,physical_delete_age_4,age,18,1.6052002634560342e-08,1.604847937720487e-08,1.6051135946219476e-08,1.604798986099528e-08
gov_report:113,gov_report,calibration,40,physical_delete_aor_18,aor,18,5.83691766498065e-10,5.837028648675483e-10,5.836515063321075e-10,5.837532529281321e-10
gov_report:113,gov_report,calibration,40,physical_delete_aov_15,aov,18,1.5076944950557293e-09,1.5078620701816477e-09,1.5079814407480883e-09,1.5079605417992015e-09
gov_report:113,gov_report,calibration,40,physical_delete_attention_8,attention,18,1.1666659786164208e-09,1.1666821063280303e-09,1.1666905150134096e-09,1.1667502125998364e-09
gov_report:113,gov_report,calibration,40,physical_delete_key_query_67,key_query,18,2.3575108060519247e-07,2.3577080950033116e-07,2.3583151232095444e-07,2.3565691733699907e-07
gov_report:113,gov_report,calibration,40,physical_delete_random_59,random,18,2.5195548328302067e-08,2.5197719701999385e-08,2.5194789432221256e-08,2.519730284020072e-08
gov_report:113,gov_report,calibration,40,physical_delete_v_ridge_77,v_ridge,18,8.439920868725636e-09,8.43886202466723e-09,8.440960794203214e-09,8.441440274690003e-09
gov_report:113,gov_report,calibration,40,physical_delete_value_norm_91,value_norm,18,1.0121730442555196e-08,1.0118107106932671e-08,1.0116768143405182e-08,1.0118368948508179e-08
gov_report:113,gov_report,calibration,64,physical_delete_age_4,age,18,2.086075220726559e-08,2.0858499138748653e-08,2.0861108672035132e-08,2.086058212069503e-08
gov_report:113,gov_report,calibration,64,physical_delete_aor_12,aor,18,4.9314919185925544e-09,4.9276167258030106e-09,4.928755049975753e-09,4.930815138935661e-09
gov_report:113,gov_report,calibration,64,physical_delete_aov_15,aov,18,4.714198784487375e-09,4.714151268071863e-09,4.7145139540442904e-09,4.713971064912475e-09
gov_report:113,gov_report,calibration,64,physical_delete_attention_18,attention,18,4.753639171206963e-09,4.752882468001279e-09,4.755837890883986e-09,4.754703444047758e-09
gov_report:113,gov_report,calibration,64,physical_delete_key_query_66,key_query,18,0.00029875593188799726,0.00029848868528334794,0.00029846048980299706,0.00029848000738710704
gov_report:113,gov_report,calibration,64,physical_delete_random_50,random,18,4.4480988271798284e-08,4.4465775189766085e-08,4.4468408331136436e-08,4.446757854841749e-08
gov_report:113,gov_report,calibration,64,physical_delete_v_ridge_92,v_ridge,18,1.352122991778149e-06,1.3523426152042568e-06,1.3524212579295368e-06,1.3526929742413679e-06
gov_report:113,gov_report,calibration,64,physical_delete_value_norm_91,value_norm,18,1.6297648536563018e-06,1.6295600881399642e-06,1.6298600709045046e-06,1.6295873740293596e-06
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_age_4,age,18,1.3510930136794623e-06,1.3513368837651005e-06,1.3514855459306318e-06,1.3518356000128697e-06
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_aor_94,aor,18,5.63502054088663e-10,5.63520319512008e-10,5.635034724943552e-10,5.635541238226389e-10
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_aov_85,aov,18,1.035964786321952e-09,1.0363151593186269e-09,1.0362241453641701e-09,1.0361838805739024e-09
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_attention_88,attention,18,2.6294491542042315e-09,2.627852297026087e-09,2.628156019174972e-09,2.6282537236258386e-09
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_key_query_7,key_query,18,0.0005644458825066756,0.0005642792595479682,0.0005642783935715695,0.0005642848046543154
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_random_66,random,18,6.042385115998981e-09,6.042310807140218e-09,6.0445972892129605e-09,6.0430890959234655e-09
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_v_ridge_74,v_ridge,18,8.608800517298225e-10,8.608546692948855e-10,8.609713385229089e-10,8.610033636849857e-10
synthetic_niah_112,niah_single_1,calibration,40,physical_delete_value_norm_24,value_norm,18,2.5277966371817673e-05,2.5284405127945497e-05,2.5283941161347012e-05,2.52828540234764e-05
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_age_4,age,18,2.3819556729932736e-06,2.382159135564497e-06,2.3822600770206854e-06,2.3822675406448746e-06
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_aor_66,aor,18,1.9384726968342514e-08,1.938823532613137e-08,1.9387854720258758e-08,1.938725166056097e-08
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_aov_93,aov,18,2.2695680636918177e-08,2.2695065576336044e-08,2.26952768329519e-08,2.2695110945464166e-08
