name,model_class,overall_spearman,replication_spearman,passed,boundary_count,candidate_probe_count,parameter_count,source,score,sequence_count,task_spearman,pairwise_accuracy,top1_accuracy,normalized_regret,positive_sequence_fraction,checks,task_normalized_regret,task_action_only_regret,score_column,features,forward_gain,family,regularization,kv_descriptor_dimension,interaction_rank,path_midpoint_count
M3_single_boundary_b4,M3,0.7023809523809526,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6369047619047621, 'niah_single_1': 0.767857142857143}",0.7723214285714286,0.5,0.007209796588552023,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.014389085686029505, 'niah_single_1': 3.0507491074541343e-05}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b4_risk,,,,,,,
M3_single_boundary_b5,M3,0.7797619047619049,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7678571428571429, 'niah_single_1': 0.7916666666666667}",0.8258928571428572,0.25,0.019920445488268722,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.039576424942077686, 'niah_single_1': 0.0002644660344597593}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b5_risk,,,,,,,
M3_single_boundary_b6,M3,0.7916666666666667,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7916666666666667, 'niah_single_1': 0.7916666666666667}",0.8169642857142857,0.125,0.001234103756878625,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.002274557260069711, 'niah_single_1': 0.00019365025368753928}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b6_risk,,,,,,,
M3_single_boundary_b7,M3,0.642857142857143,,False,1,0,0,,_score,8.0,"{'gov_report': 0.636904761904762, 'niah_single_1': 0.648809523809524}",0.7544642857142857,0.375,0.021267254827424056,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.04200592192481895, 'niah_single_1': 0.0005285877300291596}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b7_risk,,,,,,,
M3_single_boundary_b8,M3,0.7321428571428572,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7380952380952381, 'niah_single_1': 0.7261904761904764}",0.8035714285714286,0.25,0.021415896483619225,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0420181900225917, 'niah_single_1': 0.0008136029446467477}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b8_risk,,,,,,,
M3_single_boundary_b9,M3,0.5148809523809526,,False,1,0,0,,_score,8.0,"{'gov_report': 0.5297619047619049, 'niah_single_1': 0.5000000000000001}",0.7008928571428572,0.125,0.06083972869614815,0.875,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.042476184114784016, 'niah_single_1': 0.07920327327751227}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b9_risk,,,,,,,
M3_single_boundary_b10,M3,0.7410714285714286,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6845238095238096, 'niah_single_1': 0.7976190476190478}",0.8080357142857142,0.375,0.019920613555757093,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.03953499693486401, 'niah_single_1': 0.000306230176650176}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b10_risk,,,,,,,
M3_single_boundary_b11,M3,0.7886904761904763,,False,1,0,0,,_score,8.0,"{'gov_report': 0.8035714285714287, 'niah_single_1': 0.7738095238095238}",0.8214285714285714,0.125,0.0027795475831195625,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.004739742290035308, 'niah_single_1': 0.0008193528762038162}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b11_risk,,,,,,,
M3_single_boundary_b12,M3,0.8035714285714286,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7261904761904763, 'niah_single_1': 0.880952380952381}",0.8392857142857143,0.25,0.019907938165211567,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.039551410295963374, 'niah_single_1': 0.0002644660344597593}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b12_risk,,,,,,,
M3_single_boundary_b13,M3,0.7767857142857143,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6904761904761906, 'niah_single_1': 0.8630952380952381}",0.8169642857142858,0.25,0.02102754040590001,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0420181900225917, 'niah_single_1': 3.689078920831615e-05}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b13_risk,,,,,,,
M3_single_boundary_b14,M3,0.7916666666666667,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6964285714285716, 'niah_single_1': 0.886904761904762}",0.8258928571428571,0.0,0.001750000380787941,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0032352452507796183, 'niah_single_1': 0.0002647555107962636}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b14_risk,,,,,,,
M3_single_boundary_b15,M3,0.7321428571428572,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6964285714285715, 'niah_single_1': 0.7678571428571429}",0.7946428571428571,0.5,0.02240150594113145,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.04200592192481895, 'niah_single_1': 0.0027970899574439488}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b15_risk,,,,,,,
M3_single_boundary_b16,M3,0.7440476190476191,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7023809523809524, 'niah_single_1': 0.7857142857142858}",0.7991071428571428,0.5,0.002385124890554925,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.004739742290035308, 'niah_single_1': 3.0507491074541343e-05}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b16_risk,,,,,,,
M3_single_boundary_b17,M3,0.8125000000000001,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7738095238095238, 'niah_single_1': 0.8511904761904763}",0.8526785714285714,0.375,0.0012865494591299434,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0003001363548529055}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b17_risk,,,,,,,
M3_single_boundary_b18,M3,0.7886904761904763,,False,1,0,0,,_score,8.0,"{'gov_report': 0.8154761904761906, 'niah_single_1': 0.761904761904762}",0.8214285714285714,0.5,0.00027156482909713173,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 1.2268097772748024e-05, 'niah_single_1': 0.0005308615604215155}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b18_risk,,,,,,,
M3_single_boundary_b19,M3,0.7142857142857144,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6964285714285716, 'niah_single_1': 0.7321428571428573}",0.78125,0.125,0.0019135112654047035,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0036039909919994536, 'niah_single_1': 0.00022303153880995363}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b19_risk,,,,,,,
M3_single_boundary_b20,M3,0.6875,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6130952380952381, 'niah_single_1': 0.7619047619047621}",0.7678571428571428,0.0,0.002809332351957404,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.005197736382227628, 'niah_single_1': 0.0004209283216871802}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b20_risk,,,,,,,
M3_single_boundary_b21,M3,0.7410714285714287,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7202380952380953, 'niah_single_1': 0.761904761904762}",0.7946428571428572,0.25,0.0026946026428320653,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.005196141685564898, 'niah_single_1': 0.00019306360009923272}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b21_risk,,,,,,,
M3_single_boundary_b22,M3,0.6696428571428572,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6547619047619049, 'niah_single_1': 0.6845238095238096}",0.7633928571428571,0.25,0.00579172083476259,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.005646148744549358, 'niah_single_1': 0.005937292924975821}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b22_risk,,,,,,,
M3_single_boundary_b23,M3,0.8005952380952381,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7440476190476191, 'niah_single_1': 0.8571428571428573}",0.8303571428571428,0.375,0.0013825216953192857,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.0025368891927141195, 'niah_single_1': 0.0002281541979244518}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b23_risk,,,,,,,
M3_single_boundary_b24,M3,0.7767857142857144,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7321428571428573, 'niah_single_1': 0.8214285714285715}",0.8169642857142856,0.375,0.002447242740965322,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.00472906888892529, 'niah_single_1': 0.00016541659300535388}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b24_risk,,,,,,,
M3_single_boundary_b25,M3,0.6696428571428572,,False,1,0,0,,_score,8.0,"{'gov_report': 0.6011904761904762, 'niah_single_1': 0.7380952380952382}",0.7633928571428572,0.25,0.0026815764876164908,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.005197736382227628, 'niah_single_1': 0.00016541659300535388}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b25_risk,,,,,,,
M3_single_boundary_b26,M3,0.7410714285714286,,False,1,0,0,,_score,8.0,"{'gov_report': 0.636904761904762, 'niah_single_1': 0.8452380952380953}",0.7991071428571428,0.375,0.0025095238407261892,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.004727474192262561, 'niah_single_1': 0.0002915734891898177}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b26_risk,,,,,,,
M3_single_boundary_b27,M3,0.773809523809524,,False,1,0,0,,_score,8.0,"{'gov_report': 0.7440476190476192, 'niah_single_1': 0.8035714285714286}",0.8169642857142857,0.5,0.00136494720362175,1.0,"{'overall_spearman': False, 'each_task_spearman': False, 'pairwise_accuracy': False, 'positive_sequence_fraction': True, 'top1_accuracy': False, 'each_task_action_only_regret_gain': False}","{'gov_report': 0.002726744446926333, 'niah_single_1': 3.1499603171668395e-06}","{'gov_report': 0.002272962563406981, 'niah_single_1': 0.0002284980881646538}",theory_b27_risk,,,,,,,
