gamma,passed,overall_sequence_first_cosine,overall_sequence_first_relative_l2,task_cosine,row_pass_fraction,all_finite,check_overall_cosine,check_each_task_cosine,check_overall_relative_l2,check_row_pass_fraction,check_all_finite
0.0625,True,0.9998648435406507,0.014860795703730787,"{'gov_report': 0.999100339492157, 'niah_single_1': 0.999989687195894}",1.0,True,True,True,True,True,True
0.125,True,0.9994625686244998,0.02946337345998437,"{'gov_report': 0.9964501661081346, 'niah_single_1': 0.999959649130644}",0.9913194444444444,True,True,True,True,True,True
0.25,False,0.9978817655431169,0.057877934404378426,"{'gov_report': 0.986113947432874, 'niah_single_1': 0.9998393608091255}",0.9548611111111112,True,True,True,False,True,True
0.5,False,0.9913719885194061,0.11395891442227861,"{'gov_report': 0.9462422547364902, 'niah_single_1': 0.9993621267440551}",0.9270833333333334,True,True,False,False,False,True
0.75,False,0.9781498491391375,0.17658277733469285,"{'gov_report': 0.8834940715302386, 'niah_single_1': 0.9985773613246869}",0.8767361111111112,True,False,False,False,False,True
1.0,False,0.9546333262124307,0.2478327573601593,"{'gov_report': 0.8039392956754752, 'niah_single_1': 0.9974969328318726}",0.8368055555555556,True,False,False,False,False,True
