sample_id,task,anchor,layer,score_type,candidate_count,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,finite
gov_report:57,gov_report,48,14,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9615406350347337,True
gov_report:57,gov_report,48,26,direct,8,0.8333333333333335,0.8214285714285714,0.0,1.0,0.02388668886998872,4.186754417129114e-07,True
gov_report:57,gov_report,48,26,local,8,0.7619047619047621,0.7857142857142857,0.0,0.5,0.02388668886998872,5.917275265657426e-07,True
gov_report:57,gov_report,48,26,fisher,8,1.0,1.0,1.0,1.0,0.0,0.8775875882923794,True
gov_report:57,gov_report,48,26,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9989124295364615,True
synthetic_niah_56,niah_single_1,16,0,direct,8,0.9523809523809524,0.9285714285714286,1.0,1.0,0.0,4.220424338075615e-08,True
synthetic_niah_56,niah_single_1,16,0,local,8,0.9523809523809524,0.9285714285714286,1.0,1.0,0.0,2.1951578518270487e-08,True
synthetic_niah_56,niah_single_1,16,0,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.9341588212054424,True
synthetic_niah_56,niah_single_1,16,0,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9990564019639326,True
synthetic_niah_56,niah_single_1,16,14,direct,8,0.9285714285714287,0.9285714285714286,0.0,0.5,7.635519951635531e-08,0.00011297052901255167,True
synthetic_niah_56,niah_single_1,16,14,local,8,0.9047619047619048,0.8928571428571429,0.0,0.5,7.635519951635531e-08,4.35705916684809e-05,True
synthetic_niah_56,niah_single_1,16,14,fisher,8,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.003995517299529118,True
synthetic_niah_56,niah_single_1,16,14,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9266122969369006,True
synthetic_niah_56,niah_single_1,16,26,direct,8,0.9285714285714287,0.8928571428571429,1.0,0.5,0.0,1.7800484231529484e-08,True
synthetic_niah_56,niah_single_1,16,26,local,8,0.9285714285714287,0.8928571428571429,1.0,0.5,0.0,2.5205032753873134e-08,True
synthetic_niah_56,niah_single_1,16,26,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.8672184768877171,True
synthetic_niah_56,niah_single_1,16,26,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9862350054810356,True
synthetic_niah_56,niah_single_1,48,0,direct,8,0.5476190476190477,0.7142857142857143,0.0,0.5,0.09050742504014667,1.9258911987256856e-05,True
synthetic_niah_56,niah_single_1,48,0,local,8,0.523809523809524,0.7142857142857143,0.0,0.5,0.09050742504014667,4.509318194328513e-06,True
synthetic_niah_56,niah_single_1,48,0,fisher,8,-0.3333333333333334,0.35714285714285715,0.0,0.0,0.10014078998104937,0.6806266841910744,True
synthetic_niah_56,niah_single_1,48,0,midpoint_oracle,8,0.9047619047619048,0.8928571428571429,1.0,0.5,0.0,0.9929460623006994,True
synthetic_niah_56,niah_single_1,48,14,direct,8,0.9047619047619048,0.8928571428571429,1.0,0.5,0.0,0.0001889597495851037,True
synthetic_niah_56,niah_single_1,48,14,local,8,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.0002328191979777018,True
synthetic_niah_56,niah_single_1,48,14,fisher,8,1.0,1.0,1.0,1.0,0.0,0.9968042732992034,True
synthetic_niah_56,niah_single_1,48,14,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9977508328330421,True
synthetic_niah_56,niah_single_1,48,26,direct,8,0.9761904761904763,0.9642857142857143,1.0,0.5,0.0,2.6587449340687492e-06,True
synthetic_niah_56,niah_single_1,48,26,local,8,1.0,1.0,1.0,1.0,0.0,6.382278422579876e-06,True
synthetic_niah_56,niah_single_1,48,26,fisher,8,1.0,1.0,1.0,1.0,0.0,0.981870933168055,True
synthetic_niah_56,niah_single_1,48,26,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9971963410671242,True
synthetic_niah_57,niah_single_1,16,0,direct,8,0.7619047619047621,0.7857142857142857,1.0,0.5,0.0,8.185788340631464e-08,True
synthetic_niah_57,niah_single_1,16,0,local,8,0.7619047619047621,0.7857142857142857,1.0,0.5,0.0,4.466047031366257e-08,True
synthetic_niah_57,niah_single_1,16,0,fisher,8,0.9761904761904763,0.9642857142857143,1.0,0.5,0.0,0.9199811851357803,True
synthetic_niah_57,niah_single_1,16,0,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9981466351667582,True
synthetic_niah_57,niah_single_1,16,14,direct,8,1.0,1.0,1.0,1.0,0.0,1.44283493690991e-05,True
synthetic_niah_57,niah_single_1,16,14,local,8,1.0,1.0,1.0,1.0,0.0,6.873745597053059e-06,True
synthetic_niah_57,niah_single_1,16,14,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.15282307957314623,True
synthetic_niah_57,niah_single_1,16,14,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.8903200758401639,True
synthetic_niah_57,niah_single_1,16,26,direct,8,0.7857142857142858,0.7857142857142857,0.0,0.5,0.017578010691912775,1.3276118341324897e-08,True
synthetic_niah_57,niah_single_1,16,26,local,8,0.7857142857142858,0.7857142857142857,0.0,0.5,0.017578010691912775,1.7803985018989473e-08,True
synthetic_niah_57,niah_single_1,16,26,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.8805690036230553,True
synthetic_niah_57,niah_single_1,16,26,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9941496149043467,True
synthetic_niah_57,niah_single_1,48,0,direct,8,0.9047619047619048,0.8928571428571429,1.0,0.5,0.0,1.6824389889795982e-06,True
synthetic_niah_57,niah_single_1,48,0,local,8,0.4047619047619048,0.6785714285714286,1.0,0.5,0.0,6.73252564299449e-07,True
synthetic_niah_57,niah_single_1,48,0,fisher,8,1.0,1.0,1.0,1.0,0.0,0.944922746078037,True
synthetic_niah_57,niah_single_1,48,0,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9984042954768628,True
synthetic_niah_57,niah_single_1,48,14,direct,8,0.8571428571428572,0.8214285714285714,0.0,1.0,0.0006084397876861599,5.66443912997057e-06,True
synthetic_niah_57,niah_single_1,48,14,local,8,0.8571428571428572,0.8214285714285714,0.0,1.0,0.0006084397876861599,6.027140740407266e-06,True
synthetic_niah_57,niah_single_1,48,14,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.9057259269370062,True
synthetic_niah_57,niah_single_1,48,14,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9931474304399039,True
synthetic_niah_57,niah_single_1,48,26,direct,8,0.9047619047619048,0.8928571428571429,1.0,0.5,0.0,3.7285060357220096e-07,True
synthetic_niah_57,niah_single_1,48,26,local,8,0.9285714285714287,0.9285714285714286,1.0,0.5,0.0,7.555509036398336e-07,True
synthetic_niah_57,niah_single_1,48,26,fisher,8,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.9466103681870184,True
synthetic_niah_57,niah_single_1,48,26,midpoint_oracle,8,1.0,1.0,1.0,1.0,0.0,0.9909839810191703,True
